Date,RIC,Earnings Per Share - Mean
2025-09-23,AA.N,2.65444
2026-02-06,AAMI.N,4.46333
2026-02-10,ADPT.OQ,-0.485
2026-02-11,ACM.N,5.94136
2026-02-13,AFG.N,11.08433
2026-02-20,ACLS.OQ,3.64833
2026-02-26,ADC.N,2.01667
2026-02-26,ADMA.OQ,0.955
2026-02-27,AEVA.OQ,-1.744
2026-02-28,ADUS.OQ,6.89571
2026-03-02,ACHC.OQ,1.48692
2026-03-02,ACI.N,2.14494
2026-03-02,AEHR.OQ,-0.1275
2026-03-03,AAON.OQ,1.98017
2026-03-03,ADT.N,0.8964
2026-03-04,ABR.N,0.7
2026-03-04,ACAD.OQ,0.48733
2026-03-04,ADNT.N,2.08046
2026-03-04,ADTN.OQ,0.48857
2026-03-05,AAP.N,2.77483
2026-03-05,ACA.N,4.794
2026-03-05,ACMR.OQ,1.786
2026-03-05,AEO.N,1.76846
2026-03-06,ADSK.OQ,12.40331
2026-03-09,ACHR.N,-1.20125
2026-03-10,ADI.OQ,11.33384
2026-03-10,AES.N,2.32092
2026-03-11,ABM.N,3.96
2026-03-11,AESI.N,-0.47144
2026-03-12,ACT.OQ,4.77
2026-03-13,ABNB.OQ,4.95357
2026-03-13,ACIW.OQ,2.618
2026-03-16,ADEA.OQ,1.43625
2026-03-17,AAOI.OQ,0.81571
2026-03-17,ABBV.N,14.5537
2026-03-17,ADBE.OQ,23.55162
2026-03-18,A.N,5.97285
2026-03-18,ADP.OQ,10.96741
2026-03-19,ABCB.N,6.51029
2026-03-19,AFL.N,7.34362
2026-03-20,ABG.N,26.74956
2026-03-20,AEIS.OQ,8.6765
2026-03-20,AEP.OQ,6.34195
2026-03-23,AAL.OQ,1.3471
2026-03-23,AAPL.OQ,8.52592
2026-03-23,ABT.N,5.67
2026-03-23,ACGL.OQ,9.39584
2026-03-23,AEE.N,5.36453
2026-03-24,ACN.N,13.87074
2026-03-24,ADM.N,4.13755
2026-03-25,A.N,5.97511
2026-03-25,AAPL.OQ,8.52568
2026-03-25,ABT.N,5.66231
2026-03-25,ADM.N,4.13846
2026-03-25,ADUS.OQ,6.89279
2026-03-25,AFL.N,7.35892
2026-03-26,A.N,5.97616
2026-03-26,AAL.OQ,1.33633
2026-03-26,ACA.N,4.78667
2026-03-26,AEO.N,1.76192
2026-03-27,ABG.N,26.75956
2026-03-29,ADT.N,0.8964
2026-03-30,AAP.N,2.76765
2026-03-30,ABG.N,26.7006
2026-03-30,ABNB.OQ,4.93614
2026-03-30,ABT.N,5.64577
2026-03-30,ACI.N,2.15161
2026-03-30,ACM.N,5.94591
2026-03-30,ADC.N,1.9975
2026-03-30,ADI.OQ,11.35466
2026-03-30,AEIS.OQ,8.6845
2026-03-31,AAL.OQ,0.94519
2026-03-31,AAP.N,2.76778
2026-03-31,ABG.N,26.6461
2026-03-31,ABNB.OQ,4.93931
2026-03-31,ACA.N,4.79929
2026-03-31,ADC.N,1.99
2026-03-31,ADNT.N,2.07136
2026-03-31,ADP.OQ,10.968
