Date,RIC,0
2026-02-12,Price Close,6832.76
2026-02-13,Price Close,6836.17
2026-02-17,Price Close,6843.22
2026-02-18,Price Close,6881.31
2026-02-19,Price Close,6861.89
2026-02-20,Price Close,6909.51
2026-02-23,Price Close,6837.75
2026-02-24,Price Close,6890.07
2026-02-25,Price Close,6946.13
2026-02-26,Price Close,6908.86
2026-02-27,Price Close,6878.88
2026-03-02,Price Close,6881.62
2026-03-03,Price Close,6816.63
2026-03-04,Price Close,6869.5
2026-03-05,Price Close,6830.71
2026-03-06,Price Close,6740.02
2026-03-09,Price Close,6795.99
2026-03-10,Price Close,6781.48
2026-03-11,Price Close,6775.8
2026-03-12,Price Close,6672.62
2026-03-13,Price Close,6632.19
2026-03-16,Price Close,6699.38
2026-03-17,Price Close,6716.09
2026-03-18,Price Close,6624.7
2026-03-19,Price Close,6606.49
