Date,RIC,Currency,Daily Total Return,Price Close,Volume
2026-02-12,ABX.N,USD,5.06970849176172,8.29,189231
2026-02-12,ADP.OQ,USD,-3.49772487015672,209.96,2488203
2026-02-12,ADV.OQ,USD,2.60460426819023,0.6106,184546
2026-02-12,ALB.N,USD,-9.40546086758251,158.93,978610
2026-02-12,ALMS.OQ,USD,4.56496293406165,26.8,384981
2026-02-12,AMSC.OQ,USD,-6.74255691768826,31.95,482295
2026-02-12,AXON.OQ,USD,0.31303947519853,435.81,287786
2026-02-12,BKD.N,USD,-2.74299344066786,16.31,2333472
2026-02-12,BRBR.N,USD,0.170551449687329,17.62,1205057
2026-02-12,CDXS.OQ,USD,-0.840336134453782,1.18,214988
2026-02-12,CFLT.OQ,USD,0.032776138970823,30.52,6221420
2026-02-12,CLB.N,USD,-4.17106652587119,18.15,142460
2026-02-12,CR.N,USD,-0.30407257863517,200.0,306927
2026-02-12,CUZ.N,USD,-5.9662775616083,21.75,1445421
2026-02-12,CZWI.OQ,USD,-1.49333333333334,18.47,17215
2026-02-12,ECPG.OQ,USD,-0.418118466898958,57.16,47118
2026-02-12,EDIT.OQ,USD,-5.08474576271187,1.68,309163
2026-02-12,EL.N,USD,0.977322326596452,106.42,1144812
2026-02-12,EPAC.N,USD,-2.58019525801954,41.91,148081
2026-02-12,EVH.N,USD,-1.12359550561797,2.64,716407
2026-02-12,FOLD.OQ,USD,0.139762403913344,14.33,1563524
2026-02-12,FSBC.OQ,USD,0.522128294380907,40.43,21541
2026-02-12,FUL.N,USD,-0.358690778657891,66.67,137648
2026-02-12,GEF.N,USD,0.73946916677671,76.29,88719
2026-02-12,HON.OQ,USD,-1.18252987227028,239.83,2798674
2026-02-12,IBKR.OQ,USD,-4.30910281597903,73.06,2335759
2026-02-12,IVR.N,USD,0.784753363228703,8.99,482052
2026-02-12,JRVR.OQ,USD,2.42792109256449,6.75,72662
2026-02-12,MHO.N,USD,0.983561455395837,146.82,88920
2026-02-12,NEE.N,USD,0.623905429071812,91.93,2646694
