Date,RIC,Price Close,Volume,Currency,Daily Total Return
2026-02-12,ACU.A,44.14,2686,USD,0.799269239552412
2026-02-12,ADP.OQ,209.96,2488203,USD,-3.49772487015672
2026-02-12,ADPT.OQ,15.54,689146,USD,-0.512163892445583
2026-02-12,ALLE.N,178.2,262503,USD,-0.66335916160321
2026-02-12,ALTG.N,6.61,67517,USD,-4.75504322766571
2026-02-12,AMAL.OQ,40.3,62486,USD,-0.469251667078303
2026-02-12,AMD.OQ,205.94,8442766,USD,-3.57711396198147
2026-02-12,AMSF.OQ,38.3,51179,USD,-0.312337324310267
2026-02-12,ASGN.N,41.85,320914,USD,-1.55257586450246
2026-02-12,ATKR.N,65.76,85355,USD,-2.28826151560177
2026-02-12,AVY.N,195.55,182559,USD,1.43687104471419
2026-02-12,BBSI.OQ,31.385,155917,USD,-2.0748829953198
2026-02-12,BCO.N,129.09,108899,USD,-1.25449399525739
2026-02-12,BTMD.OQ,2.09,28348,USD,-1.41509433962265
2026-02-12,CAKE.OQ,58.69,406745,USD,-4.6776027286016
2026-02-12,CDNA.OQ,19.1,201035,USD,-3.14401622718051
2026-02-12,CMI.N,588.79,260794,USD,-1.68809484054099
2026-02-12,CTO.N,18.5,76785,USD,0.054083288263935
2026-02-12,CVRX.OQ,5.69,54828,USD,-6.41447368421052
2026-02-12,DCOM.OQ,35.06,98809,USD,-1.54450996910979
2026-02-12,EDIT.OQ,1.68,309163,USD,-5.08474576271187
2026-02-12,FLEX.OQ,62.6,2010633,USD,-3.45465761875386
2026-02-12,FTI.N,61.04,756682,USD,-1.26172759624717
2026-02-12,HE.N,16.3,1052211,USD,-1.74804098854731
2026-02-12,HROW.OQ,47.12,116604,USD,-3.16481709823263
2026-02-12,MCS.N,15.79,86861,USD,-2.04714640198512
2026-02-12,NODK.OQ,13.26,2342,USD,-0.075357950263751
2026-02-12,NRDY.N,1.01,217442,USD,1.0
2026-02-12,OLED.OQ,126.77,244065,USD,-4.08564727245214
2026-02-12,ORI.N,42.63,403924,USD,0.661157024793391
2026-02-12,OSW.OQ,22.56,500367,USD,0.133155792276953
2026-02-12,PANL.OQ,8.45,290208,USD,-6.21531631520533
2026-02-12,PMTS.OQ,11.29,15103,USD,-3.50427350427351
