Date,RIC,Earnings Per Share - Mean,Earnings Per Share - Predicted Surprise PCT,Earnings Per Share - SmartEstimate®,Earnings Per Share - Standard Deviation
2014-10-23,ABCB.N,2.008,,,0.016
2014-10-23,ABG.N,4.30417,-0.014,4.30358,0.02722
2014-10-29,ADC.N,1.235,0.086,1.23606,0.015
2014-10-31,ADUS.OQ,1.0775,,,0.01479
2014-11-01,ADUS.OQ,,-0.201,1.07534,
2014-11-04,AEIS.OQ,1.65,-0.003,1.64995,0.01871
2014-11-05,ACHC.OQ,1.52857,-0.041,1.52794,0.00833
2014-11-06,ACLS.OQ,-0.45,,,0.0436
2014-11-07,AAON.OQ,0.53667,-0.006,0.53663,0.01667
2014-11-10,ABR.N,1.65069,0.005,1.65077,0.01398
2014-11-11,AAOI.OQ,0.7,0.047,0.70033,0.00633
2014-11-23,ABCB.N,,-0.398,2.0,
2014-12-01,ADSK.OQ,1.16661,0.11,1.1679,0.01104
2014-12-02,ADP.OQ,2.92608,-0.074,2.92393,0.0147
2014-12-02,AFG.N,4.78629,-0.459,4.76432,0.06644
2014-12-07,ADM.N,3.05786,0.007,3.06687,0.05124
2014-12-08,ADMA.OQ,-1.71667,-0.185,-1.71984,0.15965
2014-12-08,AEE.N,2.36167,0.309,2.36896,0.04259
2014-12-09,ACGL.OQ,1.44863,0.525,1.45624,0.02854
2014-12-11,AEO.N,0.58919,0.71,0.59337,0.01984
2014-12-16,AAP.N,7.70547,0.07,7.71085,0.06536
2014-12-16,ACIW.OQ,0.61333,1.741,0.62401,0.04346
2014-12-16,ACM.N,3.035,-0.789,3.01105,0.0944
2014-12-17,A.N,1.736,-0.328,1.7303,0.01744
2014-12-17,ABCB.N,1.6,0.166,1.60265,0.02345
2014-12-18,ADBE.OQ,2.07652,0.718,2.09144,0.05742
2014-12-18,ADI.OQ,2.82733,-0.444,2.81479,0.08115
2014-12-18,AEP.OQ,3.463,-0.154,3.45767,0.04183
2014-12-19,ADEA.OQ,2.185,0.286,2.19125,0.055
2014-12-21,AES.N,1.282,-0.206,1.27936,0.01249
2014-12-22,ABT.N,2.26167,0.011,2.26192,0.01302
2014-12-22,ACAD.OQ,-0.91429,-0.396,-0.91791,0.01294
2014-12-23,AAL.OQ,5.71722,0.261,5.73212,0.07302
2014-12-23,ABBV.N,3.30293,-0.019,3.30231,0.05077
2014-12-23,ABM.N,1.72875,-0.429,1.72134,0.03219
2014-12-25,ACLS.OQ,,-2.226,-0.46,
2014-12-25,ACN.N,4.78788,-0.093,4.78343,0.02822
2015-01-02,AAPL.OQ,1.94213,-0.005,1.94205,0.08747
2015-01-04,AEO.N,0.58993,0.715,0.59414,0.01986
2015-01-05,ABT.N,2.26111,,,0.01286
2015-01-05,AAL.OQ,5.71167,0.009,5.71216,0.07918
2015-01-05,AAPL.OQ,1.94235,-0.005,1.94224,0.08744
2015-01-05,ABM.N,1.74125,0.242,1.74546,0.0491
2015-01-05,ABT.N,2.26111,-0.048,2.26002,0.01286
2015-01-05,ACN.N,4.78719,-0.093,4.78273,0.02789
2015-01-05,ADUS.OQ,1.266,,,0.05713
2015-01-06,A.N,1.73688,-0.268,1.73222,0.01722
2015-01-06,AEO.N,0.58956,0.692,0.59364,0.02031
2015-01-07,A.N,1.7375,-0.275,1.73272,0.01714
2015-01-07,ACGL.OQ,1.45059,0.804,1.46225,0.03077
2015-01-07,ADP.OQ,2.92567,-0.096,2.92287,0.01444
2015-01-08,AAP.N,7.70495,0.04,7.70806,0.06512
2015-01-08,AAPL.OQ,1.94277,-0.018,1.94242,0.08737
2015-01-08,ACGL.OQ,1.45294,0.891,1.46589,0.03089
2015-01-08,ADC.N,1.23,0.234,1.23288,0.01
2015-01-08,ADM.N,3.06714,-0.159,3.07043,0.03705
2015-01-08,AEO.N,0.60215,0.764,0.60675,0.01695
2015-01-09,A.N,1.735,-0.239,1.73086,0.01803
2015-01-09,ABBV.N,3.3015,-0.072,3.29912,0.05139
2015-01-09,ABT.N,,-0.05,2.25999,
2015-01-09,ACGL.OQ,1.45922,0.638,1.46853,0.03159
2015-01-09,ACLS.OQ,-0.01,,,0.11792
2015-01-09,ACM.N,3.01833,-0.992,2.98839,0.11818
2015-01-09,AEO.N,0.60511,0.77,0.60977,0.01302
2015-01-09,AEP.OQ,3.46247,-0.107,3.45878,0.04154
2015-01-11,ACGL.OQ,1.46039,2.089,1.49089,0.03282
2015-01-11,ACLS.OQ,,-6.482,-0.47916,
2015-01-12,AAL.OQ,5.69611,-0.139,5.68821,0.06865
2015-01-12,AAPL.OQ,1.94389,0.049,1.94485,0.08883
2015-01-12,ABT.N,2.26056,0.028,2.2612,0.01224
2015-01-12,ACM.N,3.02333,-1.555,2.97633,0.13683
2015-01-12,ACN.N,4.78604,-0.093,4.78157,0.02877
2015-01-12,ADBE.OQ,2.07557,0.851,2.09323,0.05719
2015-01-12,AEE.N,2.36917,-0.346,2.36097,0.02139
2015-01-12,AES.N,1.279,-0.193,1.27653,0.01578
2015-01-13,AAL.OQ,5.68778,-0.178,5.67766,0.06468
2015-01-13,AAOI.OQ,0.686,-0.37,0.68346,0.02871
2015-01-13,AAPL.OQ,1.94796,0.275,1.95331,0.09842
2015-01-13,ABM.N,1.75375,0.584,1.764,0.04973
2015-01-13,ABT.N,2.26,0.076,2.26172,0.01155
2015-01-13,ACGL.OQ,1.46608,1.722,1.49133,0.03359
2015-01-13,ADUS.OQ,1.08,0.0,1.08,0.01633
2015-01-14,AAOI.OQ,0.666,,,0.03262
2015-01-14,AAL.OQ,5.68722,-0.191,5.67636,0.06496
2015-01-14,AAOI.OQ,0.666,-0.562,0.66226,0.03262
2015-01-14,AAPL.OQ,1.94956,0.372,1.95681,0.09784
2015-01-14,ABBV.N,3.30436,-0.051,3.30268,0.05122
2015-01-14,ACIW.OQ,0.61571,1.77,0.62661,0.04066
2015-01-14,ACN.N,4.78412,-0.137,4.77755,0.03071
2015-01-14,ADP.OQ,2.92358,-0.217,2.91724,0.01439
2015-01-14,AFG.N,4.77843,-0.45,4.75694,0.061
2015-01-15,AAOI.OQ,,-3.864,0.64026,
2015-01-15,AAPL.OQ,1.95155,0.387,1.9591,0.09777
2015-01-15,ABBV.N,3.29864,0.015,3.29915,0.04549
2015-01-15,ACGL.OQ,1.46706,1.748,1.4927,0.03441
2015-01-15,ACM.N,2.93343,-1.999,2.87479,0.25406
2015-01-15,ACN.N,4.78258,-0.175,4.7742,0.03137
2015-01-15,ADBE.OQ,2.07605,0.872,2.09415,0.05718
2015-01-15,AEO.N,0.60585,0.656,0.60983,0.01271
2015-01-15,ACN.N,4.78258,,,0.03137
2015-01-16,A.N,1.73188,-0.229,1.72792,0.02098
2015-01-16,AAL.OQ,5.68944,-0.107,5.68335,0.06151
2015-01-16,AAPL.OQ,1.95431,0.715,1.96828,0.10154
2015-01-16,ABBV.N,3.29793,0.021,3.29862,0.04553
2015-01-16,ADEA.OQ,2.225,-0.042,2.22407,0.015
2015-01-16,ADEA.OQ,1.81667,0.0,1.81667,0.34121
2015-01-19,AFG.N,4.77986,-0.417,4.75991,0.06113
2015-01-20,A.N,1.72875,-0.178,1.72567,0.02176
2015-01-20,AAL.OQ,5.67833,0.097,5.68385,0.03775
2015-01-20,AAPL.OQ,1.95988,1.012,1.97972,0.09937
2015-01-20,ABT.N,2.25889,0.057,2.26017,0.01149
2015-01-20,ACGL.OQ,1.47137,1.243,1.48966,0.02964
2015-01-20,ADBE.OQ,2.08214,0.84,2.09962,0.06245
2015-01-20,ADM.N,3.07857,-0.328,3.07589,0.03284
2015-01-20,ADP.OQ,2.92287,-0.213,2.91665,0.01428
2015-01-20,AEP.OQ,3.46142,-0.085,3.45849,0.04134
2015-01-21,AAPL.OQ,1.95967,1.101,1.98125,0.10035
2015-01-21,ABT.N,2.25826,0.019,2.2587,0.0115
2015-01-21,ACGL.OQ,1.47529,1.007,1.49015,0.02874
2015-01-22,A.N,1.72563,-0.358,1.71946,0.02423
2015-01-22,AAPL.OQ,1.95983,1.128,1.98193,0.10047
2015-01-22,ABG.N,4.30333,-0.027,4.30217,0.02718
2015-01-22,ACGL.OQ,1.4802,0.663,1.49,0.02248
2015-01-22,ACM.N,2.90914,-0.179,2.90394,0.22958
2015-01-22,ADM.N,3.08357,-0.219,3.08391,0.0363
2015-01-22,AEE.N,2.36667,-0.249,2.36077,0.02055
2015-01-22,AEP.OQ,3.46353,0.013,3.46397,0.0407
2015-01-22,ACGL.OQ,1.4802,,,0.02248
2015-01-23,ABT.N,2.25721,,,0.01175
2015-01-23,ADM.N,3.08,,,0.03287
2015-01-23,ABT.N,2.25721,-0.023,2.25669,0.01175
2015-01-23,ACN.N,,-0.184,4.77377,
2015-01-23,ADM.N,3.08,-0.226,3.08036,0.03287
2015-01-25,ABG.N,4.30417,0.064,4.30694,0.02871
2015-01-25,ABR.N,1.66057,0.0,1.66057,0.0
2015-01-25,ABT.N,,-0.27,2.25112,
2015-01-25,ACGL.OQ,,0.194,1.48307,
2015-01-26,A.N,1.7225,-0.328,1.71686,0.02488
2015-01-26,AAP.N,7.7062,0.044,7.7096,0.06371
2015-01-26,AAPL.OQ,1.96493,1.002,1.98462,0.09676
2015-01-26,ABBV.N,3.2965,0.079,3.2991,0.04449
2015-01-26,ADM.N,,-0.23,3.08025,
2015-01-26,AEE.N,2.36333,-0.433,2.35309,0.02427
2015-01-26,AEP.OQ,3.46074,-0.361,3.44825,0.03469
2015-01-26,AES.N,1.277,-0.22,1.2742,0.01676
2015-01-27,ADC.N,1.55,0.44,1.55681,0.07
2015-01-27,ADUS.OQ,1.07333,,,0.00943
2015-01-27,AAL.OQ,10.15794,-0.08,10.14987,1.33926
2015-01-27,AAP.N,7.7057,0.045,7.70917,0.06356
2015-01-27,AAPL.OQ,2.0015,1.279,2.0271,0.11235
2015-01-27,ADC.N,1.22,0.108,1.22132,0.02
2015-01-27,ADM.N,3.08357,-0.172,3.08535,0.03168
2015-01-27,ADUS.OQ,1.07333,0.621,1.08,0.00943
2015-01-27,AEP.OQ,3.45705,-0.357,3.4447,0.03614
2015-01-28,AAL.OQ,10.3905,-1.051,10.28126,1.25882
2015-01-28,AAPL.OQ,2.10683,1.779,2.14431,0.09914
2015-01-28,ABT.N,2.25668,-0.111,2.25419,0.01091
2015-01-28,ACN.N,4.78026,-0.214,4.77005,0.03365
