Date,RIC,Earnings Per Share - Mean,Earnings Per Share - Predicted Surprise PCT,Earnings Per Share - SmartEstimate®,Earnings Per Share - Standard Deviation
2023-01-27,PLXS.OQ,5.55667,0.052,5.55955,0.10209
2023-02-03,THR.N,1.695,0.001,1.69501,0.005
2023-02-03,THR.N,1.565,-0.001,1.56499,0.005
2023-03-02,SNPS.OQ,10.55785,0.241,10.58333,0.07842
2023-03-10,AOUT.OQ,0.30333,-4.485,0.28973,0.06799
2023-03-10,AOUT.OQ,0.30333,,,0.06799
2023-03-10,AOUT.OQ,0.59,,,0.1314
2023-03-13,SLAB.OQ,4.62944,-0.022,4.62843,0.52836
2023-03-15,CAL.N,4.1925,0.303,4.20518,0.05629
2023-03-15,EXAS.OQ,-2.64718,,,0.31513
2023-03-16,CUBE.N,1.435,0.279,1.439,0.06371
2023-03-20,AURA.OQ,-2.109,-1.2,-2.13431,0.36425
2023-03-27,QLYS.OQ,4.14593,0.072,4.14892,0.01707
2023-03-27,QLYS.OQ,4.14593,,,0.01707
2023-03-29,PRGS.OQ,4.13617,,,0.02015
2023-03-29,SWX.N,3.294,-1.01,3.26072,0.16717
2023-03-31,IAC.OQ,-1.79385,,,1.12689
2023-04-03,CPNG.N,0.24655,,,0.07236
2023-04-03,RIGL.OQ,-3.02,2.658,-2.9397,0.581
2023-04-04,FRT.N,2.575,1.08,2.60281,0.13913
2023-04-04,SAMG.OQ,1.5325,0.873,1.54588,0.08584
2023-04-04,SEVN.OQ,1.44,-0.259,1.43627,0.04
2023-04-05,PRGS.OQ,,0.05,4.13823,
2023-04-06,STEL.N,2.872,-1.884,2.8179,0.11089
2023-04-10,CPNG.N,,3.905,0.25617,
2023-04-11,ASIX.N,4.73667,-0.74,4.70163,0.57535
2023-04-11,CRMT.OQ,3.84667,-0.461,3.82895,0.30901
2023-04-11,SWK.N,0.94441,3.717,0.97952,0.34516
2023-04-11,UTHR.OQ,19.05262,-1.689,18.73088,1.83155
2023-04-14,REYN.OQ,1.34033,-0.302,1.33629,0.02714
2023-04-15,RXO.N,0.731,,,0.08484
