Date,RIC,Earnings Per Share - Mean,Earnings Per Share - Standard Deviation,Earnings Per Share - Predicted Surprise PCT,Earnings Per Share - SmartEstimate®
2024-03-27,ABAT.OQ,-0.14,0.17,,
2024-07-17,AEHR.OQ,0.305,0.025,0.0,0.305
2024-08-02,ACLS.OQ,6.0625,0.05238,0.028,6.0642
2024-08-05,ACT.OQ,4.332,0.18659,,
2024-08-07,AAOI.OQ,-0.674,0.0198,0.616,-0.66985
2024-08-07,ADPT.OQ,-1.21625,0.06183,1.466,-1.19841
2024-08-08,ACMR.OQ,1.78625,0.13488,,
2024-08-08,ACT.OQ,,,0.975,4.37423
2024-08-08,ADT.N,0.68,0.03082,0.461,0.68314
2024-08-08,AEVA.OQ,-2.306,0.04271,,
2024-08-09,AEVA.OQ,,,-0.3,-2.31291
2024-08-12,ACAD.OQ,0.50422,0.103,,
2024-08-13,ADEA.OQ,1.3655,0.0145,-0.072,1.36452
2024-08-15,ADMA.OQ,0.49,0.0,0.0,0.49
2024-08-21,ACIW.OQ,1.53833,0.04375,-0.136,1.53624
2024-08-23,ADC.N,1.79429,0.07169,,
2024-08-29,ACM.N,4.48922,0.02826,,
2024-08-29,AESI.N,1.265,0.05339,-0.105,1.26367
2024-08-30,ADUS.OQ,5.22444,0.03833,-0.123,5.218
2024-09-03,ACHR.N,-1.25571,0.12466,0.507,-1.24935
2024-09-03,ACLX.OQ,-1.52444,0.72657,,
2024-09-04,AEO.N,1.7943,0.02307,0.066,1.79548
2024-09-05,ABBV.N,10.87688,0.11205,0.082,10.88581
2024-09-06,ADI.OQ,6.32789,0.08126,0.297,6.34665
2024-09-09,ABM.N,3.5375,0.01785,-0.056,3.53551
2024-09-11,ABG.N,27.01956,0.58572,-0.892,26.77865
2024-09-16,ACMR.OQ,,,3.091,1.84146
2024-09-16,ADBE.OQ,18.27581,0.01906,,
2024-09-17,ADBE.OQ,,,0.02,18.27946
2024-09-18,AAP.N,2.17989,0.33783,-1.644,2.14404
2024-09-19,AAL.OQ,1.08361,0.31673,-3.699,1.04353
2024-09-19,ACHC.OQ,3.524,0.04718,0.35,3.53632
2024-09-19,AEIS.OQ,3.332,0.06739,0.188,3.33826
2024-09-19,AEP.OQ,5.63306,0.03163,0.117,5.63965
2024-09-19,AES.N,1.9194,0.02198,0.112,1.92156
2024-09-22,ACLX.OQ,,,8.846,-1.38959
2024-09-23,ACGL.OQ,9.04769,0.29645,0.23,9.0685
2024-09-24,ADP.OQ,10.03463,0.03847,0.023,10.03693
2024-09-25,ADNT.N,1.736,0.09117,-0.505,1.72723
2024-09-25,AEE.N,4.61591,0.03611,0.388,4.63383
2024-09-26,ABNB.OQ,4.11929,0.16661,0.645,4.14586
2024-09-26,ACM.N,,,0.037,4.49089
2024-09-26,ACVA.N,-0.48182,0.02587,2.905,-0.46782
2024-09-26,ADSK.OQ,8.27688,0.0945,0.099,8.28504
2024-09-27,AAON.OQ,2.26571,0.03156,0.134,2.26876
2024-09-27,ABR.N,1.725,0.09725,1.551,1.75176
2024-09-27,ACAD.OQ,,,-4.854,0.47975
2024-09-28,ADC.N,,,-0.972,1.77684
2024-10-01,AAPL.OQ,6.69955,0.04063,,
2024-10-01,ACN.N,12.81791,0.08942,,
2024-10-01,A.N,5.23789,0.01136,-0.018,5.23693
2024-10-01,AA.N,0.403,0.4042,-21.96,0.3145
2024-10-01,AAPL.OQ,6.69955,0.04063,0.076,6.70466
2024-10-01,ABCB.N,4.748,0.10127,0.757,4.78392
2024-10-01,ABT.N,4.66038,0.02288,-0.075,4.65687
2024-10-01,ACA.N,3.504,0.15001,1.118,3.54317
2024-10-01,ACI.N,2.35765,0.10469,-1.156,2.33039
2024-10-01,ACN.N,12.81791,0.08942,-0.114,12.80328
2024-10-01,ADM.N,5.38242,0.19014,-0.796,5.33959
2024-10-01,AFG.N,11.04,0.12939,0.287,11.07164
2024-10-02,A.N,5.23678,0.0111,-0.01,5.23624
2024-10-02,AAL.OQ,1.10083,0.3333,-2.001,1.07881
2024-10-02,ABAT.OQ,0.03,0.0,,
2024-10-02,ACT.OQ,,,1.296,4.38815
2024-10-02,ADM.N,5.36575,0.17876,-0.4,5.34431
2024-10-03,AAL.OQ,1.14117,0.32423,,
2024-10-03,AAL.OQ,1.14117,0.32423,-3.369,1.10273
2024-10-03,AAP.N,2.17412,0.33701,-1.763,2.13578
2024-10-03,ABBV.N,10.87884,0.11178,0.11,10.89085
2024-10-03,ACT.OQ,4.334,0.18693,1.279,4.38944
2024-10-03,ADI.OQ,6.34233,0.01565,0.058,6.34601
2024-10-03,AEIS.OQ,3.336,0.07176,0.321,3.34672
2024-10-03,AESI.N,1.25071,0.0692,-0.448,1.24512
2024-10-04,AA.N,0.35325,0.36543,-0.423,0.35176
2024-10-04,AAL.OQ,,,14.496,1.30659
2024-10-04,ABBV.N,10.87924,0.11055,0.082,10.88812
2024-10-04,ACAD.OQ,0.50922,0.10259,-3.957,0.48908
2024-10-04,ACIW.OQ,1.544,0.04587,0.027,1.54441
2024-10-04,ADC.N,1.8,0.07502,-0.496,1.79108
2024-10-04,ADNT.N,1.72509,0.09457,-0.741,1.71231
2024-10-04,ADC.N,1.8,0.07502,,
2024-10-06,AAPL.OQ,,,0.08,6.70491
2024-10-07,AA.N,0.337,0.36853,-4.24,0.32271
2024-10-07,AAL.OQ,1.1795,0.31466,15.587,1.36334
2024-10-07,ABBV.N,10.88248,0.10445,0.019,10.88449
2024-10-07,ABNB.OQ,4.11635,0.16797,0.571,4.13985
2024-10-07,ABR.N,1.72667,0.09809,1.873,1.759
2024-10-07,ABT.N,4.66163,0.0231,-0.079,4.65796
2024-10-07,ACGL.OQ,9.05769,0.29704,0.221,9.0777
2024-10-07,ACIW.OQ,1.54667,0.0423,0.087,1.54801
2024-10-07,ACLX.OQ,,,9.764,-1.37559
2024-10-07,ACM.N,4.48844,0.02797,0.04,4.49022
2024-10-07,ACT.OQ,4.338,0.19041,1.51,4.40351
2024-10-07,ADBE.OQ,,,0.023,18.28
2024-10-07,ADM.N,5.34858,0.17529,-0.562,5.31853
2024-10-07,ADNT.N,1.71691,0.09508,-1.045,1.69897
2024-10-07,AFG.N,11.06857,0.14515,0.585,11.13334
2024-10-08,A.N,5.23733,0.011,-0.005,5.23705
2024-10-08,AAL.OQ,1.19888,0.31317,13.731,1.3635
2024-10-08,ABBV.N,10.86688,0.08374,0.038,10.87099
2024-10-08,ABNB.OQ,4.12109,0.16825,0.773,4.15293
2024-10-08,ABR.N,1.71833,0.11654,0.537,1.72755
2024-10-08,ABT.N,4.66163,0.0231,-0.079,4.65793
