Date,RIC,Earnings Per Share - Mean
2025-11-06,HDSN.OQ,0.451
2025-11-07,HDSN.OQ,0.476
2025-11-10,PESI.OQ,0.33
2025-11-10,PESI.OQ,-0.52
2025-11-10,GPGI.N,1.045
2025-11-13,KOP.N,4.57
2025-11-13,KOP.N,3.99333
2025-11-17,BATRA.OQ,-0.29
2025-11-20,MG.N,1.0
2025-11-20,MG.N,0.85
2025-11-26,AMWD.OQ,2.20667
2025-12-01,MRP.N,2.425
2025-12-16,GSAT.OQ,-0.0125
2025-12-16,GSAT.OQ,-0.05667
2026-01-07,WGO.N,2.47807
2026-01-08,CGON.OQ,-2.17839
2026-01-11,SLVM.N,5.22
2026-01-13,INGM.N,2.83758
2026-01-14,SPXC.N,6.7441
2026-01-14,KRUS.OQ,-0.24683
2026-01-16,APOG.OQ,3.4425
2026-01-20,NSA.N,0.648
2026-01-26,CIFR.OQ,-0.33254
2026-01-28,ASC.N,0.94667
2026-01-30,ENOV.N,3.18782
2026-01-30,APPF.OQ,6.55786
2026-02-01,STBA.OQ,3.6226
2026-02-02,EGBN.OQ,1.74
2026-02-02,CFFN.OQ,0.67
2026-02-03,NSSC.OQ,1.40833
2026-02-04,WTFC.OQ,12.37569
2026-02-04,ZION.OQ,6.221
2026-02-07,VECO.OQ,1.534
2026-02-07,VECO.OQ,1.3265
2026-02-08,NSA.N,0.66
2026-02-08,ELS.N,2.01667
2026-02-09,FIVE.OQ,6.2957
2026-02-09,MTG.N,3.02333
2026-02-10,SLQT.N,-0.155
2026-02-10,RRX.N,10.66292
2026-02-10,SHW.N,11.88177
2026-02-11,BEN.N,2.63809
2026-02-11,ASTS.OQ,-1.11863
2026-02-11,NYT.N,2.7486
2026-02-11,CTBI.OQ,5.785
2026-02-11,RDDT.N,4.08273
2026-02-12,DAR.N,2.56239
2026-02-12,CTSH.OQ,5.665
2026-02-12,BK.N,8.37033
2026-02-12,LECO.OQ,10.82809
2026-02-12,ODFL.OQ,5.00183
2026-02-12,FDX.N,18.55664
2026-02-12,NET.N,1.13697
2026-02-12,APP.OQ,15.18792
2026-02-12,PRI.N,23.75875
2026-02-13,DAR.N,2.757
2026-02-13,LECO.OQ,10.84464
2026-02-13,FDX.N,18.59132
2026-02-13,NET.N,1.14061
2026-02-13,SLVM.N,3.87
2026-02-13,SHW.N,11.884
2026-02-13,RDDT.N,4.055
2026-02-13,ASC.N,1.17667
2026-02-13,ELS.N,2.01714
2026-02-13,SBFG.OQ,2.47
2026-02-14,GPGI.N,1.14667
2026-02-14,FDX.N,18.60204
2026-02-14,GPGI.N,1.04
2026-02-16,CTSH.OQ,5.65989
