Date,RIC,Earnings Per Share - Mean
2014-11-07,GLDD.OQ,0.135
2014-11-12,AGM.N,4.595
2014-12-22,INVX.N,5.015
2015-01-08,INVX.N,5.015
2015-01-09,GLDD.OQ,0.13167
2015-01-11,INVX.N,5.02167
2015-01-21,INVX.N,5.02455
2015-02-24,GLDD.OQ,0.53667
2015-02-25,GLDD.OQ,0.38333
2015-02-27,INVX.N,5.09929
2015-03-02,GLDD.OQ,0.30333
2015-03-02,INVX.N,4.8
2015-03-04,INVX.N,4.77692
2015-03-09,AGM.N,4.64
2015-03-09,INVX.N,4.76786
2015-03-09,AGM.N,3.915
2015-03-16,INVX.N,4.75643
2015-03-23,AGM.N,4.07
2015-03-27,GLDD.OQ,0.31167
2015-03-27,INVX.N,4.756
2015-04-02,GLDD.OQ,0.318
2015-04-10,INVX.N,4.76813
2015-04-20,INVX.N,4.75375
2015-04-24,INVX.N,4.75063
2015-04-30,INVX.N,4.77143
2015-05-01,GLDD.OQ,0.285
2015-05-01,INVX.N,4.785
2015-05-04,INVX.N,4.8075
2015-05-05,GLDD.OQ,0.255
2015-05-06,GLDD.OQ,0.23
2015-05-07,INVX.N,4.81273
2015-05-08,GLDD.OQ,0.22
2015-05-12,AGM.N,4.085
2015-05-18,INVX.N,4.814
2015-05-26,INVX.N,4.802
2015-06-16,GLDD.OQ,0.2125
2015-07-07,GLDD.OQ,0.21
2015-07-30,INVX.N,4.788
2015-07-31,INVX.N,4.74556
2015-08-03,INVX.N,4.72222
2015-08-04,INVX.N,4.68222
2015-08-05,GLDD.OQ,0.1625
2015-08-06,INVX.N,4.678
2015-08-11,AGM.N,3.95
2015-08-11,GLDD.OQ,0.15
2015-08-17,GLDD.OQ,0.145
2015-08-31,INVX.N,4.689
2015-09-09,AGM.N,3.965
2015-09-09,INVX.N,4.686
2015-09-21,GLDD.OQ,0.1325
2015-09-25,INVX.N,4.679
2015-09-28,INVX.N,4.67111
2015-09-29,INVX.N,4.68
2015-09-30,INVX.N,4.68
2015-10-14,INVX.N,4.665
2015-10-19,GLDD.OQ,0.0575
2015-10-20,GLDD.OQ,0.0175
2015-10-24,GLDD.OQ,-0.02
2015-10-29,INVX.N,4.6875
2015-10-30,INVX.N,4.71625
2015-11-02,INVX.N,4.755
2015-11-03,GLDD.OQ,-0.0325
2015-11-04,GLDD.OQ,-0.045
2015-11-06,INVX.N,4.75556
2015-11-10,AGM.N,4.07
2015-11-11,AGM.N,4.11
2015-11-16,GLDD.OQ,-0.0475
2015-11-26,INVX.N,4.755
2015-12-14,INVX.N,4.76
2016-01-05,INVX.N,4.76
2016-01-15,INVX.N,4.76
2016-01-21,INVX.N,4.76375
2016-01-27,AGM.N,4.15333
2016-02-22,INVX.N,4.76125
2016-02-23,GLDD.OQ,0.16
2016-02-24,GLDD.OQ,0.0875
2016-02-25,INVX.N,2.76929
2016-02-26,INVX.N,2.7125
2016-02-29,INVX.N,2.58539
2016-03-02,INVX.N,2.5125
2016-03-07,INVX.N,2.50692
2016-03-10,AGM.N,4.74
2016-03-11,AGM.N,4.76333
2016-03-17,AGM.N,4.72
2016-04-11,GLDD.OQ,0.09
2016-04-12,INVX.N,2.515
2016-04-26,INVX.N,2.5225
2016-04-27,INVX.N,2.554
2016-04-28,AGM.N,4.75
2016-04-29,INVX.N,2.56889
2016-05-02,INVX.N,2.5775
2016-05-03,GLDD.OQ,0.0625
2016-05-03,INVX.N,2.57143
2016-05-04,GLDD.OQ,0.06
2016-05-10,AGM.N,4.66333
2016-05-10,INVX.N,2.589
2016-05-11,AGM.N,4.65667
2016-05-12,AGM.N,4.65
2016-05-18,AGM.N,4.57
2016-06-13,INVX.N,2.58091
2016-06-14,GLDD.OQ,0.055
2016-06-22,INVX.N,2.57417
2016-07-29,INVX.N,2.34846
