Date,RIC,Price to Earning
2017-05-22,GNTX.OQ,14.842122902
2017-05-22,THRM.OQ,15.051468282
2017-05-22,QXO.N,2.71994130696248
2017-05-22,AZZ.N,22.298638394
2017-05-22,EIG.N,11.540459877
2017-05-22,CODI.N,54.0283868
2017-05-22,FFIC.OQ,12.00550145
2017-05-22,LOPE.OQ,22.850722216
2017-05-22,CYTK.OQ,161.473087819
2017-05-22,CB.N,13.766677666
2017-05-22,MPB.OQ,14.2656537846043
2017-05-22,HTLD.OQ,27.84549971
2017-05-22,WKC.N,24.552694313
2017-05-22,CCBG.OQ,24.49357871
2017-05-22,CABO.N,37.558841712
2017-05-22,CNXN.OQ,14.223700315
2017-05-22,SABR.OQ,29.194481531
2017-05-22,BLD.N,32.823339352
2017-05-22,BJRI.OQ,25.187883561
2017-05-23,GNTX.OQ,14.98575635
2017-05-23,THRM.OQ,15.051468282
2017-05-23,QXO.N,2.71255016210661
2017-05-23,AZZ.N,22.380318389
2017-05-23,EIG.N,11.626689964
2017-05-23,CODI.N,53.697937951
2017-05-23,FFIC.OQ,12.0397784
2017-05-23,LOPE.OQ,22.862549712
2017-05-23,CYTK.OQ,158.640226629
2017-05-23,CB.N,13.850404598
2017-05-23,MPB.OQ,14.3250156259938
2017-05-23,HTLD.OQ,27.975483889
2017-05-23,WKC.N,24.199041207
2017-05-23,CCBG.OQ,24.281742354
2017-05-23,CABO.N,37.840943628
2017-05-23,CNXN.OQ,14.023671082
2017-05-23,SABR.OQ,29.143620065
2017-05-23,BLD.N,32.981722576
2017-05-23,BJRI.OQ,24.887051076
2017-05-24,GNTX.OQ,15.113430525
2017-05-24,THRM.OQ,15.132937664
2017-05-24,QXO.N,2.66820329297135
2017-05-24,AZZ.N,22.339478392
2017-05-24,EIG.N,11.540459877
2017-05-24,CODI.N,53.863162376
2017-05-24,FFIC.OQ,11.928378315
2017-05-24,LOPE.OQ,22.844808468
2017-05-24,CYTK.OQ,159.206798867
2017-05-24,CB.N,13.876015189
2017-05-24,MPB.OQ,14.2134508976783
2017-05-24,HTLD.OQ,27.975483889
2017-05-24,WKC.N,23.734052865
2017-05-24,CCBG.OQ,24.83781279
2017-05-24,CABO.N,37.968080468
2017-05-24,CNXN.OQ,14.234512706
2017-05-24,SABR.OQ,29.359781296
2017-05-24,BLD.N,32.950045931
2017-05-24,BJRI.OQ,25.051141523
2017-05-25,GNTX.OQ,15.153328705
2017-05-25,THRM.OQ,15.112570318
2017-05-25,QXO.N,2.71994130696248
2017-05-25,AZZ.N,22.257798397
2017-05-25,EIG.N,11.597946602
2017-05-25,CODI.N,53.367489102
2017-05-25,FFIC.OQ,11.915524459
2017-05-25,LOPE.OQ,23.03109153
2017-05-25,CYTK.OQ,159.206798867
2017-05-25,CB.N,14.062184485
2017-05-25,MPB.OQ,13.9259953611614
2017-05-25,HTLD.OQ,28.365436427
2017-05-25,WKC.N,23.71440547
2017-05-25,CCBG.OQ,24.864292334
2017-05-25,CABO.N,38.304747552
2017-05-25,CNXN.OQ,14.293980856
2017-05-25,SABR.OQ,29.207196897
2017-05-25,BLD.N,33.50755488
2017-05-25,BJRI.OQ,25.187883561
2017-05-26,GNTX.OQ,15.281002881
2017-05-26,THRM.OQ,15.377345809
2017-05-26,QXO.N,2.808635045233
2017-05-26,AZZ.N,22.380318389
2017-05-26,EIG.N,11.482973153
2017-05-26,CODI.N,53.697937951
2017-05-26,FFIC.OQ,11.885532128
2017-05-26,LOPE.OQ,22.862549712
2017-05-26,CYTK.OQ,159.773371105
2017-05-26,CB.N,14.010963303
2017-05-26,MPB.OQ,14.0043780742636
2017-05-26,HTLD.OQ,28.004369262
2017-05-26,WKC.N,23.531029785
2017-05-26,CCBG.OQ,24.731894611
2017-05-26,CABO.N,38.946433921
2017-05-26,CNXN.OQ,14.250731292
2017-05-26,SABR.OQ,28.68586687
2017-05-26,BLD.N,34.039722513
2017-05-26,BJRI.OQ,24.887051076
2017-05-30,GNTX.OQ,15.057573074
2017-05-30,THRM.OQ,15.255141736
2017-05-30,QXO.N,2.71255016210661
2017-05-30,AZZ.N,22.2169584
2017-05-30,EIG.N,11.468601472
2017-05-30,CODI.N,53.367489102
2017-05-30,FFIC.OQ,11.786985899
2017-05-30,LOPE.OQ,22.732447257
2017-05-30,CYTK.OQ,153.541076487
2017-05-30,CB.N,13.976487507
2017-05-30,MPB.OQ,14.0043780742636
2017-05-30,HTLD.OQ,28.192124188
2017-05-30,WKC.N,23.229769733
2017-05-30,CCBG.OQ,24.705415067
2017-05-30,CABO.N,39.04083166
2017-05-30,CNXN.OQ,14.131794992
2017-05-30,SABR.OQ,29.054612499
2017-05-30,BLD.N,33.957363236
2017-05-30,BJRI.OQ,24.531521775
2017-05-31,GNTX.OQ,15.145349069
2017-05-31,THRM.OQ,15.356978464
2017-05-31,QXO.N,2.69924610136603
2017-05-31,AZZ.N,22.155698405
2017-05-31,EIG.N,11.511716515
2017-05-31,CODI.N,53.367489102
2017-05-31,FFIC.OQ,11.902670603
2017-05-31,LOPE.OQ,23.181892104
2017-05-31,CYTK.OQ,153.541076487
2017-05-31,CB.N,14.104540462
2017-05-31,MPB.OQ,14.2369134564669
2017-05-31,HTLD.OQ,28.091025382
2017-05-31,WKC.N,23.144631022
2017-05-31,CCBG.OQ,24.83781279
2017-05-31,CABO.N,39.210529331
2017-05-31,CNXN.OQ,14.099357819
2017-05-31,SABR.OQ,28.520567105
2017-05-31,BLD.N,33.925686591
2017-05-31,BJRI.OQ,24.504173367
2017-06-01,GNTX.OQ,15.448575236
2017-06-01,THRM.OQ,15.8661621
2017-06-01,QXO.N,2.73147149293765
2017-06-01,AZZ.N,22.64577837
2017-06-01,EIG.N,11.741663412
2017-06-01,CODI.N,53.863162376
