Date,RIC,Currency,Daily Total Return,Price Close,Volume
2015-01-02,AGM.N,USD,-4.251812788,29.05,11117
2015-01-02,GLDD.OQ,USD,-2.102803738,8.38,45222
2015-01-02,INVX.N,USD,-0.234588818,76.55,41557
2015-01-05,AGM.N,USD,-1.996557659,28.47,13776
2015-01-05,GLDD.OQ,USD,-2.983293556,8.13,64628
2015-01-05,INVX.N,USD,-4.049640758,73.45,68396
2015-01-06,AGM.N,USD,-2.950474183,27.63,8743
2015-01-06,GLDD.OQ,USD,-1.59901599,8.0,77011
2015-01-06,INVX.N,USD,-1.320626276,72.48,74086
2015-01-07,AGM.N,USD,-0.217155266,27.57,7967
2015-01-07,GLDD.OQ,USD,1.25,8.1,50726
2015-01-07,INVX.N,USD,-0.220750552,72.32,47071
2015-01-08,AGM.N,USD,-1.015596663,27.29,11637
2015-01-08,GLDD.OQ,USD,1.728395062,8.24,76794
2015-01-08,INVX.N,USD,1.659292035,73.52,131117
2015-01-09,AGM.N,USD,-1.319164529,26.93,11171
2015-01-09,GLDD.OQ,USD,-2.184466019,8.06,82440
2015-01-09,INVX.N,USD,-3.19640914,71.17,51738
2015-01-12,AGM.N,USD,-1.113999257,26.63,8059
2015-01-12,GLDD.OQ,USD,-2.109181141,7.89,90925
2015-01-12,INVX.N,USD,-3.821835043,68.45,100928
2015-01-13,AGM.N,USD,0.375516335,26.73,7939
2015-01-13,GLDD.OQ,USD,1.394169835,8.0,77642
2015-01-13,INVX.N,USD,1.709276844,69.62,87217
2015-01-14,AGM.N,USD,2.057613169,27.28,9265
2015-01-14,GLDD.OQ,USD,-0.875,7.93,50992
2015-01-14,INVX.N,USD,4.165469693,72.52,120690
2015-01-15,AGM.N,USD,2.859237537,28.06,23154
2015-01-15,GLDD.OQ,USD,-2.648171501,7.72,85495
2015-01-15,INVX.N,USD,0.0,72.52,117601
2015-01-16,AGM.N,USD,2.387740556,28.73,11143
2015-01-16,GLDD.OQ,USD,0.906735751,7.79,80005
2015-01-16,INVX.N,USD,2.095973525,74.04,55934
2015-01-20,AGM.N,USD,-1.009397842,28.44,13971
2015-01-20,GLDD.OQ,USD,-2.053915276,7.63,69386
2015-01-20,INVX.N,USD,-0.513236089,73.66,45635
2015-01-21,AGM.N,USD,-2.848101266,27.63,6782
2015-01-21,GLDD.OQ,USD,1.572739187,7.75,66837
2015-01-21,INVX.N,USD,3.407548194,76.17,53389
2015-01-22,AGM.N,USD,2.352515382,28.28,10571
