Date,RIC,Combined Alpha Sector Rank
2015-03-25,A.N,85
2015-03-25,AAL.OQ,80
2015-03-25,AAOI.OQ,16
2015-03-25,AAON.OQ,12
2015-03-25,AAP.N,21
2015-03-25,AAPL.OQ,92
2015-03-25,ABBV.N,95
2015-03-25,ABCB.N,58
2015-03-25,ABG.N,34
2015-03-25,ABM.N,79
2015-03-25,ABR.N,93
2015-03-25,ABT.N,92
2015-03-25,ACAD.OQ,14
2015-03-25,ACGL.OQ,69
2015-03-25,ACHC.OQ,25
2015-03-25,ACIW.OQ,21
2015-03-25,ACLS.OQ,26
2015-03-25,ACM.N,48
2015-03-25,ACN.N,64
2015-03-25,ADBE.OQ,47
2015-03-25,ADC.N,87
2015-03-25,ADEA.OQ,88
2015-03-25,ADI.OQ,70
2015-03-25,ADM.N,92
2015-03-25,ADMA.OQ,29
2015-03-25,ADP.OQ,62
2015-03-25,ADSK.OQ,26
2015-03-25,ADUS.OQ,79
2015-03-25,AEE.N,85
2015-03-25,AEHR.OQ,5
2015-03-25,AEIS.OQ,93
2015-03-25,AEO.N,98
2015-03-25,AEP.OQ,82
2015-03-25,AES.N,58
2015-03-25,AFG.N,75
2015-03-26,A.N,85
2015-03-26,AAL.OQ,81
2015-03-26,AAOI.OQ,17
2015-03-26,AAON.OQ,12
2015-03-26,AAP.N,21
2015-03-26,AAPL.OQ,91
2015-03-26,ABBV.N,95
2015-03-26,ABCB.N,57
2015-03-26,ABG.N,34
2015-03-26,ABM.N,75
2015-03-26,ABR.N,93
2015-03-26,ABT.N,91
2015-03-26,ACAD.OQ,13
2015-03-26,ACGL.OQ,70
2015-03-26,ACHC.OQ,26
2015-03-26,ACIW.OQ,23
2015-03-26,ACLS.OQ,25
2015-03-26,ACM.N,49
2015-03-26,ACN.N,51
2015-03-26,ADBE.OQ,47
2015-03-26,ADC.N,87
2015-03-26,ADEA.OQ,88
2015-03-26,ADI.OQ,71
2015-03-26,ADM.N,92
2015-03-26,ADMA.OQ,30
2015-03-26,ADP.OQ,63
2015-03-26,ADSK.OQ,27
2015-03-26,ADUS.OQ,79
2015-03-26,AEE.N,81
2015-03-26,AEHR.OQ,5
2015-03-26,AEIS.OQ,92
2015-03-26,AEO.N,98
2015-03-26,AEP.OQ,85
2015-03-26,AES.N,63
2015-03-26,AFG.N,75
2015-03-27,A.N,86
2015-03-27,AAL.OQ,84
2015-03-27,AAOI.OQ,21
2015-03-27,AAON.OQ,13
2015-03-27,AAP.N,21
2015-03-27,AAPL.OQ,92
2015-03-27,ABBV.N,95
2015-03-27,ABCB.N,57
2015-03-27,ABG.N,34
2015-03-27,ABM.N,75
2015-03-27,ABR.N,93
2015-03-27,ABT.N,92
2015-03-27,ACAD.OQ,12
2015-03-27,ACGL.OQ,69
2015-03-27,ACHC.OQ,25
2015-03-27,ACIW.OQ,25
2015-03-27,ACLS.OQ,26
2015-03-27,ACM.N,51
2015-03-27,ACN.N,58
2015-03-27,ADBE.OQ,48
2015-03-27,ADC.N,90
2015-03-27,ADEA.OQ,89
2015-03-27,ADI.OQ,69
2015-03-27,ADM.N,92
2015-03-27,ADMA.OQ,31
2015-03-27,ADP.OQ,64
2015-03-27,ADSK.OQ,29
2015-03-27,ADUS.OQ,78
2015-03-27,AEE.N,83
2015-03-27,AEHR.OQ,7
2015-03-27,AEIS.OQ,93
2015-03-27,AEO.N,98
2015-03-27,AEP.OQ,78
2015-03-27,AES.N,63
2015-03-27,AFG.N,74
2015-03-30,A.N,76
2015-03-30,AAL.OQ,86
2015-03-30,AAOI.OQ,20
2015-03-30,AAON.OQ,17
2015-03-30,AAP.N,22
2015-03-30,AAPL.OQ,91
2015-03-30,ABBV.N,95
2015-03-30,ABCB.N,57
2015-03-30,ABG.N,34
2015-03-30,ABM.N,75
2015-03-30,ABR.N,94
2015-03-30,ABT.N,92
2015-03-30,ACAD.OQ,12
2015-03-30,ACGL.OQ,68
2015-03-30,ACHC.OQ,23
2015-03-30,ACIW.OQ,25
2015-03-30,ACLS.OQ,28
2015-03-30,ACM.N,51
2015-03-30,ACN.N,58
2015-03-30,ADBE.OQ,45
2015-03-30,ADC.N,87
2015-03-30,ADEA.OQ,91
2015-03-30,ADI.OQ,61
2015-03-30,ADM.N,92
2015-03-30,ADMA.OQ,30
2015-03-30,ADP.OQ,66
2015-03-30,ADSK.OQ,33
2015-03-30,ADUS.OQ,77
2015-03-30,AEE.N,82
2015-03-30,AEHR.OQ,7
2015-03-30,AEIS.OQ,92
2015-03-30,AEO.N,98
2015-03-30,AEP.OQ,85
2015-03-30,AES.N,63
2015-03-30,AFG.N,74
2015-03-31,A.N,78
2015-03-31,AAL.OQ,86
2015-03-31,AAOI.OQ,20
2015-03-31,AAON.OQ,17
2015-03-31,AAP.N,22
2015-03-31,AAPL.OQ,90
2015-03-31,ABBV.N,93
2015-03-31,ABCB.N,57
2015-03-31,ABG.N,33
2015-03-31,ABM.N,78
2015-03-31,ABR.N,94
2015-03-31,ABT.N,92
2015-03-31,ACAD.OQ,11
2015-03-31,ACGL.OQ,72
2015-03-31,ACHC.OQ,25
2015-03-31,ACIW.OQ,24
2015-03-31,ACLS.OQ,27
2015-03-31,ACM.N,51
2015-03-31,ACN.N,59
2015-03-31,ADBE.OQ,46
2015-03-31,ADC.N,87
2015-03-31,ADEA.OQ,90
2015-03-31,ADI.OQ,62
2015-03-31,ADM.N,92
2015-03-31,ADMA.OQ,31
2015-03-31,ADP.OQ,65
2015-03-31,ADSK.OQ,32
2015-03-31,ADUS.OQ,77
2015-03-31,AEE.N,81
2015-03-31,AEHR.OQ,5
2015-03-31,AEIS.OQ,92
2015-03-31,AEO.N,98
2015-03-31,AEP.OQ,85
2015-03-31,AES.N,61
2015-03-31,AFG.N,75
2015-04-01,A.N,78
2015-04-01,AAL.OQ,85
2015-04-01,AAOI.OQ,20
2015-04-01,AAON.OQ,22
2015-04-01,AAP.N,25
2015-04-01,AAPL.OQ,90
2015-04-01,ABBV.N,95
2015-04-01,ABCB.N,56
2015-04-01,ABG.N,35
2015-04-01,ABM.N,76
2015-04-01,ABR.N,94
2015-04-01,ABT.N,93
2015-04-01,ACAD.OQ,11
2015-04-01,ACGL.OQ,71
2015-04-01,ACHC.OQ,25
2015-04-01,ACIW.OQ,33
2015-04-01,ACLS.OQ,25
2015-04-01,ACM.N,50
2015-04-01,ACN.N,58
2015-04-01,ADBE.OQ,44
2015-04-01,ADC.N,87
2015-04-01,ADEA.OQ,88
2015-04-01,ADI.OQ,61
2015-04-01,ADM.N,92
2015-04-01,ADMA.OQ,30
2015-04-01,ADP.OQ,65
2015-04-01,ADSK.OQ,31
2015-04-01,ADUS.OQ,75
2015-04-01,AEE.N,81
2015-04-01,AEHR.OQ,5
2015-04-01,AEIS.OQ,91
2015-04-01,AEO.N,98
2015-04-01,AEP.OQ,85
2015-04-01,AES.N,61
2015-04-01,AFG.N,75
2015-04-02,A.N,76
2015-04-02,AAL.OQ,82
2015-04-02,AAOI.OQ,20
2015-04-02,AAON.OQ,23
2015-04-02,AAP.N,26
2015-04-02,AAPL.OQ,92
2015-04-02,ABBV.N,95
2015-04-02,ABCB.N,57
2015-04-02,ABG.N,34
2015-04-02,ABM.N,77
2015-04-02,ABR.N,94
2015-04-02,ABT.N,93
2015-04-02,ACAD.OQ,12
2015-04-02,ACGL.OQ,74
2015-04-02,ACHC.OQ,27
2015-04-02,ACIW.OQ,32
2015-04-02,ACLS.OQ,25
2015-04-02,ACM.N,50
2015-04-02,ACN.N,57
2015-04-02,ADBE.OQ,44
2015-04-02,ADC.N,87
2015-04-02,ADEA.OQ,89
2015-04-02,ADI.OQ,62
2015-04-02,ADM.N,92
2015-04-02,ADMA.OQ,31
2015-04-02,ADP.OQ,64
2015-04-02,ADSK.OQ,29
2015-04-02,ADUS.OQ,76
2015-04-02,AEE.N,77
2015-04-02,AEHR.OQ,3
2015-04-02,AEIS.OQ,92
2015-04-02,AEO.N,98
2015-04-02,AEP.OQ,86
2015-04-02,AES.N,61
2015-04-02,AFG.N,75
2015-04-06,A.N,76
2015-04-06,AAL.OQ,81
2015-04-06,AAOI.OQ,20
2015-04-06,AAON.OQ,14
2015-04-06,AAP.N,26
2015-04-06,AAPL.OQ,93
2015-04-06,ABBV.N,96
2015-04-06,ABCB.N,62
2015-04-06,ABG.N,31
2015-04-06,ABM.N,79
2015-04-06,ABR.N,94
2015-04-06,ABT.N,93
2015-04-06,ACAD.OQ,11
2015-04-06,ACGL.OQ,73
2015-04-06,ACHC.OQ,27
2015-04-06,ACIW.OQ,33
2015-04-06,ACLS.OQ,27
2015-04-06,ACM.N,49
2015-04-06,ACN.N,60
2015-04-06,ADBE.OQ,44
2015-04-06,ADC.N,88
2015-04-06,ADEA.OQ,88
2015-04-06,ADI.OQ,62
2015-04-06,ADM.N,94
2015-04-06,ADMA.OQ,29
2015-04-06,ADP.OQ,67
2015-04-06,ADSK.OQ,31
2015-04-06,ADUS.OQ,73
2015-04-06,AEE.N,79
2015-04-06,AEHR.OQ,2
2015-04-06,AEIS.OQ,91
2015-04-06,AEO.N,98
2015-04-06,AEP.OQ,83
2015-04-06,AES.N,67
2015-04-06,AFG.N,74
2015-04-07,A.N,74
2015-04-07,AAL.OQ,80
2015-04-07,AAOI.OQ,20
2015-04-07,AAON.OQ,14
2015-04-07,AAP.N,25
2015-04-07,AAPL.OQ,94
2015-04-07,ABBV.N,95
2015-04-07,ABCB.N,62
2015-04-07,ABG.N,26
2015-04-07,ABM.N,79
2015-04-07,ABR.N,93
2015-04-07,ABT.N,92
2015-04-07,ACAD.OQ,11
2015-04-07,ACGL.OQ,72
2015-04-07,ACHC.OQ,26
2015-04-07,ACIW.OQ,34
2015-04-07,ACLS.OQ,26
2015-04-07,ACM.N,47
2015-04-07,ACN.N,57
2015-04-07,ADBE.OQ,44
2015-04-07,ADC.N,90
2015-04-07,ADEA.OQ,90
2015-04-07,ADI.OQ,61
2015-04-07,ADM.N,94
2015-04-07,ADMA.OQ,29
2015-04-07,ADP.OQ,69
2015-04-07,ADSK.OQ,31
2015-04-07,ADUS.OQ,70
2015-04-07,AEE.N,80
2015-04-07,AEHR.OQ,2
2015-04-07,AEIS.OQ,92
2015-04-07,AEO.N,98
2015-04-07,AEP.OQ,83
2015-04-07,AES.N,67
2015-04-07,AFG.N,73
2015-04-08,A.N,71
2015-04-08,AAL.OQ,83
2015-04-08,AAOI.OQ,21
2015-04-08,AAON.OQ,17
2015-04-08,AAP.N,24
2015-04-08,AAPL.OQ,91
2015-04-08,ABBV.N,96
2015-04-08,ABCB.N,62
2015-04-08,ABG.N,26
2015-04-08,ABM.N,77
2015-04-08,ABR.N,93
2015-04-08,ABT.N,92
2015-04-08,ACAD.OQ,12
2015-04-08,ACGL.OQ,79
2015-04-08,ACHC.OQ,26
2015-04-08,ACIW.OQ,35
2015-04-08,ACLS.OQ,25
2015-04-08,ACM.N,46
2015-04-08,ACN.N,62
2015-04-08,ADBE.OQ,44
2015-04-08,ADC.N,89
2015-04-08,ADEA.OQ,89
2015-04-08,ADI.OQ,62
2015-04-08,ADM.N,92
2015-04-08,ADMA.OQ,30
2015-04-08,ADP.OQ,69
2015-04-08,ADSK.OQ,31
