Date,RIC,Price Target - Mean,Recommendation - Mean (1-5),Revenue - Mean
2014-02-03,AAOI.OQ,,1.8,
2014-03-05,AFG.N,,2.14286,
2014-07-25,ABCB.N,,2.0,
2014-08-26,ACLS.OQ,,1.75,
2014-09-30,ADUS.OQ,,1.4,
2014-12-02,ACN.N,,2.40741,
2014-12-08,ADMA.OQ,,1.5,
2014-12-19,ADEA.OQ,,1.5,
2015-01-14,ACGL.OQ,,2.55556,
2015-01-14,ACIW.OQ,,2.22222,
2015-01-20,ADM.N,,2.375,
2015-01-30,ABCB.N,30.0,,
2015-02-02,AAON.OQ,16.66667,,
2015-02-03,AAPL.OQ,,1.92,
2015-02-03,ABCB.N,,,260233340
2015-02-03,AEIS.OQ,,1.75,
2015-02-04,AFG.N,,,4220266670
2015-02-05,ABG.N,78.5,,
2015-02-06,AAON.OQ,,3,
2015-02-06,ACLS.OQ,14.0,,
2015-02-10,ABR.N,,2.25,
2015-02-10,AES.N,,2.18182,
2015-02-11,ADEA.OQ,51.25,,
2015-02-11,ADEA.OQ,51.25,,261923330
2015-02-13,ACHC.OQ,,1.8,
2015-02-17,AAP.N,168.66667,,
2015-02-18,ABR.N,8.4017,,
2015-02-23,ABR.N,,,65804500
2015-02-23,ADMA.OQ,18.875,,
2015-02-24,AAL.OQ,,1.88889,
2015-02-25,ADBE.OQ,,2.04348,
2015-02-26,AAOI.OQ,16.6,,159902400
2015-02-26,ACIW.OQ,22.14286,,
2015-02-26,AAOI.OQ,16.6,,
2015-02-27,ADP.OQ,,2.82609,
2015-02-27,AEIS.OQ,28.14286,,
2015-02-27,AES.N,14.375,,
2015-03-02,AAON.OQ,,,384027000
2015-03-02,ACIW.OQ,,,1058309630
2015-03-02,ADM.N,52.23077,,
2015-03-04,ABG.N,,2.54546,
2015-03-04,ADP.OQ,84.4375,,
2015-03-04,AEE.N,,2.72727,
2015-03-04,AEP.OQ,,2.28571,
2015-03-05,ABBV.N,,2.33333,
2015-03-05,AEO.N,,2.37931,
2015-03-06,ABBV.N,69.38462,,
2015-03-06,ABG.N,,,6444644560
2015-03-09,A.N,,2.25,
2015-03-09,ABT.N,,2.09524,
2015-03-09,ACAD.OQ,,1.75,
2015-03-09,ACGL.OQ,,,4147674490
2015-03-09,AEIS.OQ,,,578564290
2015-03-10,ACM.N,33.88889,2.18182,18157994400
2015-03-10,ADI.OQ,61.84615,2.34483,3300648300
2015-03-10,ADMA.OQ,,,6356750
2015-03-10,AES.N,,,17455611440
2015-03-12,ABM.N,,,5257742500
2015-03-12,ACAD.OQ,42.5,,7542860
2015-03-12,ADSK.OQ,71.76471,2.0,2626974290
2015-03-12,ADUS.OQ,,,347426000
2015-03-13,ABT.N,,,20928283940
2015-03-13,AAP.N,,2.32,
2015-03-13,ABT.N,48.37941,,20928283940
2015-03-13,ADUS.OQ,29.0,,
2015-03-14,AEO.N,17.78,,
2015-03-16,AEE.N,43.75,,
2015-03-17,ABM.N,33.71429,2.0,
2015-03-17,AEP.OQ,64.83333,,17135396070
2015-03-17,ABM.N,,2.0,
2015-03-18,AAL.OQ,,,43104920120
2015-03-18,ADBE.OQ,84.95238,,
2015-03-19,A.N,,,4081869560
2015-03-19,ADBE.OQ,,,4885539660
2015-03-19,AEE.N,,,6221435380
2015-03-19,AEO.N,,,3400560930
2015-03-20,A.N,44.64286,,
2015-03-20,AAL.OQ,69.26471,,
2015-03-20,AAP.N,,,9987879170
2015-03-20,ACHC.OQ,74.28571,,1667621930
2015-03-20,ACLS.OQ,,,257170000
2015-03-20,ACHC.OQ,,,1667621930
2015-03-23,ADC.N,,1.4,
2015-03-23,ADC.N,36.9,1.4,
2015-03-23,ABBV.N,,,22477792250
2015-03-23,ACN.N,,,30538814790
2015-03-23,ADC.N,36.9,1.4,66660690
2015-03-23,ADM.N,,,83323337620
2015-03-23,ADP.OQ,,,11002399100
