Date,RIC,Price Target - Mean,Recommendation - Mean (1-5),Revenue - Mean
2014-01-22,GLDD.OQ,,2.66667,
2014-04-08,AGM.N,,1.33333,
2014-11-07,GLDD.OQ,8.8,,796363170
2014-11-07,GLDD.OQ,,,796363170
2014-11-12,AGM.N,,,71100000
2014-11-12,AGM.N,,,102100000
2014-11-12,AGM.N,41.33333,,71100000
2014-12-05,INVX.N,,2.42857,
2014-12-22,INVX.N,,,924515640
2014-12-23,INVX.N,95.75,,
2015-01-06,INVX.N,94.75,,
2015-01-08,INVX.N,93.61539,2.53333,924056000
2015-01-08,INVX.N,,,924056000
2015-01-08,INVX.N,,2.53333,924056000
2015-01-09,GLDD.OQ,9.0,,
2015-01-09,INVX.N,93.0,,
2015-01-11,INVX.N,92.30769,,
2015-01-14,INVX.N,91.53846,,
2015-01-15,INVX.N,90.76923,,
2015-01-21,INVX.N,89.84615,,
2015-01-22,INVX.N,89.46154,,
2015-02-06,INVX.N,,2.53333,
2015-02-24,GLDD.OQ,,3.0,
2015-02-24,GLDD.OQ,8.7,3.0,998633330
2015-02-25,GLDD.OQ,7.95,,948833330
2015-02-25,GLDD.OQ,,,948833330
2015-02-27,GLDD.OQ,7.75,,
2015-02-27,INVX.N,88.07692,2.4,990146000
2015-02-27,INVX.N,,2.4,
2015-03-02,GLDD.OQ,,,939700000
2015-03-02,INVX.N,84.33333,,929746000
2015-03-09,AGM.N,,1.5,
2015-03-09,AGM.N,40.0,1.5,
2015-03-09,INVX.N,84.08333,,923654330
2015-03-16,AGM.N,38.0,,
2015-03-16,INVX.N,83.25,,920904330
2015-03-16,INVX.N,,,920904330
2015-03-23,AGM.N,,,105600000
2015-03-23,INVX.N,82.91667,,
2015-03-27,GLDD.OQ,,,944150000
2015-03-27,INVX.N,81.53846,,
2015-03-30,GLDD.OQ,7.65,,
2015-04-01,INVX.N,,,921654330
2015-04-01,INVX.N,81.23077,,921654330
2015-04-02,GLDD.OQ,,3.0,955680000
2015-04-07,INVX.N,81.0,,
2015-04-10,INVX.N,80.23077,,918776830
2015-04-10,INVX.N,80.23077,,
2015-04-20,INVX.N,,,916360170
2015-04-30,INVX.N,81.61539,2.46667,913510170
2015-04-30,INVX.N,,2.46667,
2015-05-01,GLDD.OQ,7.8125,,
2015-05-01,INVX.N,83.61539,,
2015-05-01,GLDD.OQ,7.8125,2.75,947100000
2015-05-01,INVX.N,83.61539,,901275920
2015-05-04,INVX.N,,,902242580
2015-05-05,GLDD.OQ,,2.75,
2015-05-05,GLDD.OQ,,2.75,937365000
2015-05-06,GLDD.OQ,7.5,,916790000
2015-05-07,INVX.N,,,899173730
2015-05-08,GLDD.OQ,7.25,,
2015-05-08,GLDD.OQ,7.25,,912690000
2015-05-12,AGM.N,,,133911000
2015-05-18,INVX.N,83.69231,,900800920
2015-06-15,INVX.N,,,900634250
2015-06-15,INVX.N,83.0,,900634250
2015-06-16,GLDD.OQ,,,908940000
2015-06-16,INVX.N,83.38462,,
2015-06-24,INVX.N,83.15385,,
2015-07-07,GLDD.OQ,,,906440000
2015-07-08,INVX.N,82.61539,,897781750
2015-07-30,INVX.N,81.92308,,893992460
2015-07-31,INVX.N,,2.6,
2015-07-31,INVX.N,77.92308,2.6,880910150
2015-08-03,INVX.N,78.15385,,875840920
2015-08-04,GLDD.OQ,,,901657500
2015-08-04,INVX.N,77.38462,2.53333,875371690
2015-08-04,INVX.N,,2.53333,
2015-08-05,GLDD.OQ,,,908682500
2015-08-05,INVX.N,77.23077,,868694770
2015-08-06,INVX.N,75.76923,,867595140
2015-08-11,AGM.N,36.0,,135575500
2015-08-11,GLDD.OQ,,,910076670
2015-08-17,GLDD.OQ,,,908395250
2015-08-23,INVX.N,75.46154,,868166570
2015-08-23,INVX.N,,,868166570
2015-08-31,INVX.N,75.15385,,
2015-09-08,INVX.N,75.07692,,
2015-09-09,AGM.N,37.0,,135549500
2015-09-17,INVX.N,74.46154,,
2015-09-21,GLDD.OQ,,,905145250
2015-09-21,INVX.N,73.69231,,
2015-09-25,INVX.N,,,867952290
2015-09-29,INVX.N,,2.5,
2015-09-29,INVX.N,73.75,2.5,867737850
2015-09-30,INVX.N,74.54546,,865116000
2015-09-30,INVX.N,,,865116000
2015-10-05,INVX.N,73.63636,,
2015-10-07,INVX.N,73.72727,,864007670
2015-10-14,INVX.N,73.27273,,862749250
2015-10-19,GLDD.OQ,,2.5,
2015-10-19,GLDD.OQ,7.0,2.5,904245250
2015-10-20,GLDD.OQ,7.0,,898620250
2015-10-20,GLDD.OQ,7.0,,
2015-10-24,GLDD.OQ,,,897043330
2015-10-29,INVX.N,68.09091,,852784080
2015-10-30,INVX.N,67.90909,,846042920
2015-11-02,INVX.N,67.72727,,839884580
2015-11-03,GLDD.OQ,6.125,,877975000
2015-11-04,GLDD.OQ,5.625,2.75,855350000
2015-11-04,GLDD.OQ,,2.75,
2015-11-04,GLDD.OQ,,2.75,855350000
2015-11-06,INVX.N,67.66667,2.53333,840231920
2015-11-10,AGM.N,37.5,,136199500
2015-11-10,AGM.N,37.5,,
2015-11-11,AGM.N,,,136430500
2015-11-26,INVX.N,67.72727,2.5,839884580
2015-11-26,INVX.N,,,839884580
2015-12-01,INVX.N,68.33333,2.35714,
2015-12-14,INVX.N,69.0,2.4,839355000
2016-01-05,INVX.N,67.64286,2.5,838901070
2016-01-05,INVX.N,,2.5,
2016-01-12,INVX.N,67.21429,,838613290
2016-01-12,INVX.N,,,838613290
2016-01-13,GLDD.OQ,5.375,,
2016-01-13,INVX.N,66.92857,,
2016-01-15,INVX.N,,,838168150
2016-01-15,INVX.N,,2.46667,838168150
2016-01-15,INVX.N,66.92308,2.46667,838168150
2016-01-20,INVX.N,65.76923,,
2016-01-21,INVX.N,65.23077,,
2016-01-27,AGM.N,38.33333,1.33333,136476670
2016-02-22,INVX.N,63.92308,2.53333,
2016-02-23,GLDD.OQ,5.3125,,872850000
2016-02-24,GLDD.OQ,4.9375,,869686000
2016-02-24,INVX.N,62.84615,2.6,838175850
2016-02-24,GLDD.OQ,,,869686000
2016-02-24,INVX.N,,2.6,
2016-02-25,INVX.N,61.69231,,622785460
2016-02-26,INVX.N,59.07692,2.71429,602953580
2016-02-29,INVX.N,,2.66667,
2016-02-29,INVX.N,58.53846,2.66667,591311000
2016-03-02,INVX.N,58.0,,590980230
2016-03-02,INVX.N,,,590980230
2016-03-10,AGM.N,,1.66667,
2016-03-10,AGM.N,39.0,1.66667,142733330
2016-03-10,INVX.N,58.15385,,
2016-03-11,AGM.N,39.33333,,142116670
2016-03-17,AGM.N,40.33333,,141447670
2016-03-18,GLDD.OQ,5.3125,2.25,
2016-03-18,GLDD.OQ,,2.25,
2016-03-28,INVX.N,57.38462,,
2016-04-12,INVX.N,,,591018690
2016-04-18,INVX.N,57.92308,,
2016-04-20,INVX.N,,2.6,
2016-04-20,INVX.N,58.69231,2.6,
2016-04-25,INVX.N,58.15385,,
2016-04-26,INVX.N,58.78571,,590995620
2016-04-27,INVX.N,59.42857,2.66667,593106310
2016-04-28,AGM.N,42.33333,,141386000
2016-04-29,INVX.N,60.07692,2.64286,
2016-04-29,INVX.N,60.07692,2.64286,594006830
2016-05-02,INVX.N,,,593023500
2016-05-03,GLDD.OQ,5.5,,868205000
2016-05-03,INVX.N,,,587789270
2016-05-03,GLDD.OQ,5.5,,
2016-05-04,GLDD.OQ,,,852292000
2016-05-04,INVX.N,,,587671090
2016-05-10,AGM.N,41.33333,,140557000
