Date,RIC,0
2015-12-09,Price Close,2047.62
2015-12-10,Price Close,2052.23
2015-12-11,Price Close,2012.37
2015-12-14,Price Close,2021.94
2015-12-15,Price Close,2043.41
2015-12-16,Price Close,2073.07
2015-12-17,Price Close,2041.89
2015-12-18,Price Close,2005.55
2015-12-21,Price Close,2021.15
2015-12-22,Price Close,2038.97
2015-12-23,Price Close,2064.29
2015-12-24,Price Close,2060.99
2015-12-28,Price Close,2056.5
2015-12-29,Price Close,2078.36
2015-12-30,Price Close,2063.36
2015-12-31,Price Close,2043.94
2016-01-04,Price Close,2012.66
2016-01-05,Price Close,2016.71
2016-01-06,Price Close,1990.26
2016-01-07,Price Close,1943.09
2016-01-08,Price Close,1922.03
2016-01-11,Price Close,1923.67
2016-01-12,Price Close,1938.68
2016-01-13,Price Close,1890.28
2016-01-14,Price Close,1921.84
2016-01-15,Price Close,1880.33
2016-01-19,Price Close,1881.33
2016-01-20,Price Close,1859.33
2016-01-21,Price Close,1868.99
2016-01-22,Price Close,1906.9
2016-01-25,Price Close,1877.08
2016-01-26,Price Close,1903.63
2016-01-27,Price Close,1882.95
2016-01-28,Price Close,1893.36
2016-01-29,Price Close,1940.24
2016-02-01,Price Close,1939.38
2016-02-02,Price Close,1903.03
2016-02-03,Price Close,1912.53
2016-02-04,Price Close,1915.45
2016-02-05,Price Close,1880.05
2016-02-08,Price Close,1853.44
2016-02-09,Price Close,1852.21
2016-02-10,Price Close,1851.86
2016-02-11,Price Close,1829.08
2016-02-12,Price Close,1864.78
2016-02-16,Price Close,1895.58
2016-02-17,Price Close,1926.82
2016-02-18,Price Close,1917.83
2016-02-19,Price Close,1917.78
2016-02-22,Price Close,1945.5
2016-02-23,Price Close,1921.27
2016-02-24,Price Close,1929.8
2016-02-25,Price Close,1951.7
2016-02-26,Price Close,1948.05
2016-02-29,Price Close,1932.23
2016-03-01,Price Close,1978.35
2016-03-02,Price Close,1986.45
2016-03-03,Price Close,1993.4
2016-03-04,Price Close,1999.99
2016-03-07,Price Close,2001.76
2016-03-08,Price Close,1979.26
2016-03-09,Price Close,1989.26
2016-03-10,Price Close,1989.57
2016-03-11,Price Close,2022.19
2016-03-14,Price Close,2019.64
2016-03-15,Price Close,2015.93
2016-03-16,Price Close,2027.22
2016-03-17,Price Close,2040.59
2016-03-18,Price Close,2049.58
2016-03-21,Price Close,2051.6
2016-03-22,Price Close,2049.8
2016-03-23,Price Close,2036.71
2016-03-24,Price Close,2035.94
2016-03-28,Price Close,2037.05
2016-03-29,Price Close,2055.01
2016-03-30,Price Close,2063.95
2016-03-31,Price Close,2059.74
2016-04-01,Price Close,2072.78
2016-04-04,Price Close,2066.13
2016-04-05,Price Close,2045.17
2016-04-06,Price Close,2066.66
2016-04-07,Price Close,2041.91
2016-04-08,Price Close,2047.6
2016-04-11,Price Close,2041.99
2016-04-12,Price Close,2061.72
2016-04-13,Price Close,2082.42
2016-04-14,Price Close,2082.78
2016-04-15,Price Close,2080.73
2016-04-18,Price Close,2094.34
2016-04-19,Price Close,2100.8
2016-04-20,Price Close,2102.4
2016-04-21,Price Close,2091.48
2016-04-22,Price Close,2091.58
2016-04-25,Price Close,2087.79
2016-04-26,Price Close,2091.7
2016-04-27,Price Close,2095.15
2016-04-28,Price Close,2075.81
2016-04-29,Price Close,2065.3
2016-05-02,Price Close,2081.43
2016-05-03,Price Close,2063.37
2016-05-04,Price Close,2051.12
2016-05-05,Price Close,2050.63
2016-05-06,Price Close,2057.14
2016-05-09,Price Close,2058.69
2016-05-10,Price Close,2084.39
2016-05-11,Price Close,2064.46
2016-05-12,Price Close,2064.11
2016-05-13,Price Close,2046.61
2016-05-16,Price Close,2066.66
2016-05-17,Price Close,2047.21
2016-05-18,Price Close,2047.63
2016-05-19,Price Close,2040.04
2016-05-20,Price Close,2052.32
2016-05-23,Price Close,2048.04
2016-05-24,Price Close,2076.06
2016-05-25,Price Close,2090.54
2016-05-26,Price Close,2090.1
2016-05-27,Price Close,2099.06
2016-05-31,Price Close,2096.96
2016-06-01,Price Close,2099.33
2016-06-02,Price Close,2105.26
2016-06-03,Price Close,2099.13
2016-06-06,Price Close,2109.41
2016-06-07,Price Close,2112.13
2016-06-08,Price Close,2119.12
2016-06-09,Price Close,2115.48
2016-06-10,Price Close,2096.07
2016-06-13,Price Close,2079.06
2016-06-14,Price Close,2075.32
2016-06-15,Price Close,2071.5
2016-06-16,Price Close,2077.99
2016-06-17,Price Close,2071.22
2016-06-20,Price Close,2083.25
2016-06-21,Price Close,2088.9
2016-06-22,Price Close,2085.45
2016-06-23,Price Close,2113.32
2016-06-24,Price Close,2037.41
2016-06-27,Price Close,2000.54
2016-06-28,Price Close,2036.09
2016-06-29,Price Close,2070.77
2016-06-30,Price Close,2098.86
2016-07-01,Price Close,2102.95
2016-07-05,Price Close,2088.55
2016-07-06,Price Close,2099.73
2016-07-07,Price Close,2097.9
2016-07-08,Price Close,2129.9
2016-07-11,Price Close,2137.16
2016-07-12,Price Close,2152.14
2016-07-13,Price Close,2152.43
2016-07-14,Price Close,2163.75
2016-07-15,Price Close,2161.74
2016-07-18,Price Close,2166.89
2016-07-19,Price Close,2163.78
2016-07-20,Price Close,2173.02
2016-07-21,Price Close,2165.17
2016-07-22,Price Close,2175.03
