index,RIC,ADV_USD,Days_Used,Latest_Date
0,A.N,84343796.44136986,73,2026-02-14
1,AA.N,77481442.68397261,73,2026-02-14
2,AAL.OQ,113172520.99164383,73,2026-02-14
3,AAMI.N,4494334.602465753,73,2026-02-14
4,AAOI.OQ,52078899.32568493,73,2026-02-14
5,AAON.OQ,31254084.985136986,73,2026-02-14
6,AAP.N,27106187.779452052,73,2026-02-14
7,AAPL.OQ,4928081636.917125,73,2026-02-14
8,AARD.OQ,731628.5710958904,73,2026-02-14
9,AAT.N,3239621.346164384,73,2026-02-14
10,ABAT.OQ,6383467.658150685,73,2026-02-14
11,ABBV.N,414378133.55205476,73,2026-02-14
12,ABCB.N,12511404.54438356,73,2026-02-14
13,ABEO.OQ,2183739.246438356,73,2026-02-14
14,ABG.N,13751204.41739726,73,2026-02-14
15,ABM.N,11065237.855753426,73,2026-02-14
16,ABNB.OQ,219435232.8572603,73,2026-02-14
17,ABR.N,7643079.158767124,73,2026-02-14
18,ABSI.OQ,2969700.622465754,73,2026-02-14
19,ABT.N,258587442.98616442,73,2026-02-14
20,ABUS.OQ,1985433.5854794518,73,2026-02-14
21,ABX.N,1550972.914520548,73,2026-02-14
22,ACA.N,9344512.307671232,73,2026-02-14
23,ACAD.OQ,15490090.69410959,73,2026-02-14
24,ACCO.N,717773.4053424658,73,2026-02-14
25,ACDC.OQ,1764509.8453424657,73,2026-02-14
26,ACEL.N,1945396.3786301373,73,2026-02-14
27,ACGL.OQ,89261341.53452055,73,2026-02-14
28,ACH.N,1279365.5141095892,73,2026-02-14
29,ACHC.OQ,19305969.68342466,73,2026-02-14
30,ACHR.N,49306100.285205476,73,2026-02-14
31,ACI.N,46015521.667534254,73,2026-02-14
32,ACIC.OQ,778544.9698484032,73,2026-02-14
33,ACIW.OQ,14685031.272534247,73,2026-02-14
34,ACLS.OQ,18626048.508219175,73,2026-02-14
35,ACLX.OQ,21200467.037602738,73,2026-02-14
36,ACM.N,48804163.6630137,73,2026-02-14
37,ACMR.OQ,20838862.248219177,73,2026-02-14
38,ACN.N,293155141.04657537,73,2026-02-14
39,ACNB.OQ,649386.8289041095,73,2026-02-14
40,ACNT.OQ,392042.78041095886,73,2026-02-14
41,ACR.N,222257.51150684935,73,2026-02-14
42,ACRE.N,994105.5180821917,73,2026-02-14
43,ACRS.OQ,1319055.6123287668,73,2026-02-14
44,ACT.OQ,5422193.865,73,2026-02-14
45,ACTG.OQ,251422.10136986306,73,2026-02-14
46,ACTU.OQ,116891.1152739726,73,2026-02-14
47,ACU.A,80429.44575342465,73,2026-02-14
48,ACVA.N,6497551.121369862,73,2026-02-14
49,ADAM.OQ,1939718.085068493,73,2026-02-14
50,ADBE.OQ,483410936.1005479,73,2026-02-14
51,ADC.N,31327508.406027395,73,2026-02-14
52,ADCT.N,1216987.5616438356,73,2026-02-14
53,ADEA.OQ,6242453.88,73,2026-02-14
54,ADI.OQ,431487003.63041097,73,2026-02-14
55,ADM.N,73452913.99493152,73,2026-02-14
56,ADMA.OQ,18290232.00753425,73,2026-02-14
57,ADNT.N,10434828.926986303,73,2026-02-14
58,ADP.OQ,245234478.24157536,73,2026-02-14
59,ADPT.OQ,14372467.04561644,73,2026-02-14
60,ADSK.OQ,191189567.71931505,73,2026-02-14
61,ADT.N,24732773.039452057,73,2026-02-14
62,ADTN.OQ,4068876.2341095894,73,2026-02-14
63,ADUS.OQ,7945881.2386301365,73,2026-02-14
64,ADV.OQ,245628.87289315063,73,2026-02-14
65,AEBI.OQ,1072460.728082192,73,2026-02-14
66,AEE.N,68419623.4478082,73,2026-02-14
67,AEHR.OQ,7638140.029589042,73,2026-02-14
68,AEIS.OQ,47934513.345342465,73,2026-02-14
69,AEO.N,35685916.83972603,73,2026-02-14
70,AEP.OQ,174644948.53513697,73,2026-02-14
71,AES.N,33452859.66904109,73,2026-02-14
72,AESI.N,9293921.67589041,73,2026-02-14
73,AEVA.OQ,11055208.578287672,73,2026-02-14
74,AEYE.OQ,378012.2632876712,73,2026-02-14
75,AFG.N,23255307.79091665,73,2026-02-14
76,AFL.N,106500344.97863014,73,2026-02-14
77,AFRI.OQ,48898.23047945205,73,2026-02-14
78,AFRM.OQ,119691087.03226027,73,2026-02-14
79,AGCO.N,29464680.739589043,73,2026-02-14
80,AGIO.OQ,13628671.07979452,73,2026-02-14
81,AGL.N,1079344.6687246573,73,2026-02-14
82,AGM.N,3817449.972328767,73,2026-02-14
83,AGNC.OQ,40989854.79945206,73,2026-02-14
84,AGO.N,10698107.471780822,73,2026-02-14
85,AGX.N,26245682.555479452,73,2026-02-14
86,AGYS.OQ,10115796.618904108,73,2026-02-14
87,AHCO.OQ,4490345.373972603,73,2026-02-14
88,AHH.N,1929050.3604109585,73,2026-02-14
89,AHL.N,2084593.4215068494,73,2026-02-14
90,AHR.N,41722079.645205475,73,2026-02-14
91,AI.N,20641245.310958903,73,2026-02-14
92,AIG.N,112766835.45219178,73,2026-02-14
93,AII.N,1193235.910547945,73,2026-02-14
94,AIN.N,6386590.49520548,73,2026-02-14
95,AIOT.OQ,2119328.0838356162,73,2026-02-14
96,AIP.OQ,3084678.2657534247,73,2026-02-14
97,AIR.N,12005989.27041096,73,2026-02-14
98,AIRJ.OQ,499063.4833561644,73,2026-02-14
99,AIRO.OQ,2066223.4206164386,73,2026-02-14
100,AIRS.OQ,1747860.2450684933,73,2026-02-14
101,AISP.OQ,628978.0053424657,73,2026-02-14
102,AIT.N,25881679.805753425,73,2026-02-14
103,AIV.N,2914589.713150685,73,2026-02-14
104,AIZ.N,24873980.50287671,73,2026-02-14
105,AJG.N,125562401.07438357,73,2026-02-14
106,AKAM.OQ,108633791.39986302,73,2026-02-14
107,AKBA.OQ,1503018.8357534248,73,2026-02-14
108,AKR.N,10138039.242739726,73,2026-02-14
109,AL.N,35198716.57835617,73,2026-02-14
110,ALAB.OQ,285269083.0006849,73,2026-02-14
111,ALB.N,133261631.19917807,73,2026-02-14
112,ALCO.OQ,405079.8908219178,73,2026-02-14
113,ALDX.OQ,1359982.4109589043,73,2026-02-14
114,ALEC.OQ,521132.9628767123,73,2026-02-14
115,ALEX.N,4872209.044931508,73,2026-02-14
116,ALG.N,5514881.630547945,73,2026-02-14
117,ALGM.OQ,25798807.74952055,73,2026-02-14
118,ALGN.OQ,74566980.15082191,73,2026-02-14
119,ALGT.OQ,13807361.529863015,73,2026-02-14
120,ALH.N,6466728.752602739,73,2026-02-14
121,ALHC.OQ,19261016.645068493,73,2026-02-14
122,ALIT.N,6250446.719315068,73,2026-02-14
123,ALK.N,44161214.99342466,73,2026-02-14
124,ALKS.OQ,24863484.709452055,73,2026-02-14
125,ALKT.OQ,10983726.561164383,73,2026-02-14
126,ALL.N,105732985.16068494,73,2026-02-14
127,ALLE.N,42768220.96917808,73,2026-02-14
128,ALLO.OQ,1067729.7368493152,73,2026-02-14
129,ALLY.N,40931965.94821918,73,2026-02-14
130,ALMS.OQ,10434529.608835615,73,2026-02-14
131,ALMU.OQ,1781220.351369863,73,2026-02-14
132,ALNT.OQ,3727426.6202739724,73,2026-02-14
133,ALNY.OQ,192229123.04164386,73,2026-02-14
134,ALRM.OQ,7943253.606301368,73,2026-02-14
135,ALRS.OQ,1148296.6002739726,73,2026-02-14
136,ALSN.N,29639615.058630135,73,2026-02-14
137,ALT.OQ,4857146.911643835,73,2026-02-14
138,ALTG.N,448476.5257534247,73,2026-02-14
139,ALTI.OQ,242364.41534246577,73,2026-02-14
140,ALX.N,3681524.740958904,73,2026-02-14
141,AM.N,16128830.053424658,73,2026-02-14
142,AMAL.OQ,2710392.430410959,73,2026-02-14
143,AMAT.OQ,803384303.5258219,73,2026-02-14
144,AMBA.OQ,22399594.978082195,73,2026-02-14
145,AMBP.N,1125207.8617808218,73,2026-02-14
146,AMBQ.N,1485120.5457534245,73,2026-02-14
147,AMC.N,5092632.5772602735,73,2026-02-14
148,AMCR.N,75457754.20547946,73,2026-02-14
149,AMCX.OQ,1312368.5705479453,73,2026-02-14
150,AMD.OQ,2333205462.360137,73,2026-02-14
151,AME.N,96850479.71863015,73,2026-02-14
152,AMG.N,29311930.717534248,73,2026-02-14
153,AMGN.OQ,387917391.9849315,73,2026-02-14
154,AMH.N,33546802.80082191,73,2026-02-14
155,AMKR.OQ,61575439.92773972,73,2026-02-14
156,AMLX.OQ,7372416.649726029,73,2026-02-14
157,AMN.N,7241313.098082192,73,2026-02-14
158,AMP.N,101468031.03863014,73,2026-02-14
159,AMPH.OQ,4070842.730547946,73,2026-02-14
160,AMPL.OQ,5611839.357808218,73,2026-02-14
161,AMPX.N,17943268.50109589,73,2026-02-14
162,AMR.N,14398907.954657534,73,2026-02-14
163,AMRC.N,6064233.706712329,73,2026-02-14
164,AMRX.OQ,12013660.610068493,73,2026-02-14
165,AMSC.OQ,12394799.742328767,73,2026-02-14
166,AMSF.OQ,2287421.8861693535,73,2026-02-14
167,AMT.N,166333281.99972606,73,2026-02-14
168,AMTB.N,2176304.358082192,73,2026-02-14
169,AMTM.N,18803142.768356167,73,2026-02-14
170,AMWD.OQ,3835030.925273972,73,2026-02-14
171,AMZN.OQ,3566853461.653013,73,2026-02-14
172,AN.N,23626974.85041096,73,2026-02-14
173,ANAB.OQ,7943011.355821918,73,2026-02-14
174,ANDE.OQ,7969306.424109589,73,2026-02-14
175,ANET.N,257128047.43602738,73,2026-02-14
176,ANF.N,45488204.25191781,73,2026-02-14
177,ANGI.OQ,5129794.929863013,73,2026-02-14
178,ANGO.OQ,2485190.4846575344,73,2026-02-14
179,ANIK.OQ,587255.5724657534,73,2026-02-14
180,ANIP.OQ,11281638.92369863,73,2026-02-14
181,ANNX.OQ,3860465.2182191783,73,2026-02-14
182,AOMR.N,258203.77986301368,73,2026-02-14
183,AON.N,117941614.84904109,73,2026-02-14
184,AORT.N,5702722.909452055,73,2026-02-14
185,AOS.N,30934523.374109596,73,2026-02-14
186,AOSL.OQ,3343773.2441780823,73,2026-02-14
187,AOUT.OQ,192554.66034246577,73,2026-02-14
188,APA.OQ,56407556.44136987,73,2026-02-14
189,APAM.N,7312103.235142432,73,2026-02-14
190,APD.N,112420135.1739726,73,2026-02-14
191,APEI.OQ,3937529.430136987,73,2026-02-14
192,APG.N,30374382.102876715,73,2026-02-14
193,APGE.OQ,21189651.408561643,73,2026-02-14
194,APH.N,317521185.17986304,73,2026-02-14
195,APLD.OQ,215393837.9090411,73,2026-02-14
196,APLE.N,9645164.051917808,73,2026-02-14
197,APLS.OQ,25884156.307739723,73,2026-02-14
198,APO.N,119136684.82438357,73,2026-02-14
199,APOG.OQ,3657752.94089041,73,2026-02-14
200,APP.OQ,812447477.2282876,73,2026-02-14
201,APPF.OQ,23379610.639246576,73,2026-02-14
202,APPN.OQ,11568665.241643837,73,2026-02-14
203,APPS.OQ,4623690.236369864,73,2026-02-14
204,APTV.N,59841748.311232865,73,2026-02-14
205,AQST.OQ,5079479.525068494,73,2026-02-14
206,AR.N,46042227.10575342,73,2026-02-14
207,ARAI.OQ,312196.82123287674,73,2026-02-14
208,ARAY.OQ,213729.0215246575,73,2026-02-14
209,ARCB.OQ,10900465.962465754,73,2026-02-14
210,ARCT.OQ,1816669.943561644,73,2026-02-14
211,ARDT.N,1673187.2771232878,73,2026-02-14
212,ARDX.OQ,8427093.578493152,73,2026-02-14
213,ARE.N,46083119.04589041,73,2026-02-14
214,AREN.A,80282.79589041095,73,2026-02-14
215,ARES.N,145948137.5856164,73,2026-02-14
216,ARHS.OQ,4392153.016575343,73,2026-02-14
217,ARI.N,3784687.9024657533,73,2026-02-14
218,ARKO.OQ,949185.2797945205,73,2026-02-14
219,ARL.N,9802.308873239437,71,2026-02-14
220,ARLO.N,6268135.052054795,73,2026-02-14
221,ARMK.N,29629774.31931507,73,2026-02-14
222,AROC.N,15215690.88479452,73,2026-02-14
223,AROW.OQ,890692.2838356164,73,2026-02-14
224,ARQ.OQ,441503.88452054793,73,2026-02-14
225,ARQT.OQ,18240643.353424657,73,2026-02-14
226,ARR.N,15955684.943835614,73,2026-02-14
227,ARRY.OQ,16512139.808356164,73,2026-02-14
228,ARVN.OQ,6030478.909178082,73,2026-02-14
229,ARW.N,23037463.78767123,73,2026-02-14
230,ARWR.OQ,55263859.570273966,73,2026-02-14
231,AS.N,35982643.2439726,73,2026-02-14
232,ASAN.N,15138134.191917809,73,2026-02-14
233,ASB.N,21358643.10109589,73,2026-02-14
234,ASC.N,2460032.9678082187,73,2026-02-14
235,ASGN.N,10109465.451643836,73,2026-02-14
236,ASH.N,19272259.60041096,73,2026-02-14
237,ASIC.N,649161.5765753426,73,2026-02-14
238,ASIX.N,2988784.6498630135,73,2026-02-14
239,ASLE.OQ,927069.5158904109,73,2026-02-14
240,ASO.OQ,30911189.575547945,73,2026-02-14
241,ASPI.OQ,11564366.662739726,73,2026-02-14
242,ASPN.N,2472364.6465753424,73,2026-02-14
243,ASST.OQ,12121717.837643836,73,2026-02-14
244,ASTE.OQ,3964126.9045205475,73,2026-02-14
245,ASTH.OQ,5483468.348150685,73,2026-02-14
246,ASTS.OQ,322911036.3386986,73,2026-02-14
247,ASUR.OQ,350890.206849315,73,2026-02-14
248,ATEC.OQ,17490361.978356164,73,2026-02-14
249,ATEN.N,5121149.373287671,73,2026-02-14
250,ATEX.OQ,2546843.4332876713,73,2026-02-14
251,ATGE.N,18294853.003013697,73,2026-02-14
252,ATI.N,48632354.5469863,73,2026-02-14
253,ATKR.N,10137429.788219178,73,2026-02-14
254,ATLC.OQ,1626291.060890411,73,2026-02-14
255,ATLN.OQ,79012.82219178083,73,2026-02-14
256,ATLO.OQ,311333.37082191784,73,2026-02-14
257,ATMU.N,12287694.94671233,73,2026-02-14
258,ATNI.OQ,488731.13712328766,73,2026-02-14
259,ATO.N,80933762.14561644,73,2026-02-14
260,ATOM.OQ,429723.16,73,2026-02-14
261,ATR.N,22450121.476575345,73,2026-02-14
262,ATRC.OQ,7674505.20890411,73,2026-02-14
263,ATRO.OQ,14166889.127465755,73,2026-02-14
264,ATYR.OQ,354430.41508630133,73,2026-02-14
265,AU.N,65337306.19630137,73,2026-02-14
266,AUB.N,14457452.531369863,73,2026-02-14
267,AUPH.OQ,6592206.904931507,73,2026-02-14
268,AUR.OQ,18439070.023972604,73,2026-02-14
269,AURA.OQ,440697.3608219178,73,2026-02-14
270,AVA.N,12259534.044657534,73,2026-02-14
271,AVAH.OQ,3785505.0636301367,73,2026-02-14
272,AVAV.OQ,99685986.36465754,73,2026-02-14
273,AVB.N,66607417.12232877,73,2026-02-14
274,AVBH.OQ,683505.225479452,73,2026-02-14
275,AVBP.OQ,3246308.0606849315,73,2026-02-14
276,AVD.N,229729.69452054793,73,2026-02-14
277,AVGO.OQ,3317199199.498219,73,2026-02-14
278,AVIR.OQ,493414.54438356165,73,2026-02-14
279,AVNS.N,2234195.81260274,73,2026-02-14
280,AVNT.N,9156533.483972602,73,2026-02-14
281,AVNW.OQ,983918.194520548,73,2026-02-14
282,AVO.OQ,2972086.112191781,73,2026-02-14
283,AVPT.OQ,8445146.761369862,73,2026-02-14
284,AVR.OQ,1178786.6182876714,73,2026-02-14
285,AVT.OQ,22426610.21,73,2026-02-14
286,AVTR.N,33240717.85465753,73,2026-02-14
287,AVXL.OQ,3001175.587534247,73,2026-02-14
288,AVY.N,41353961.86684932,73,2026-02-14
289,AWI.N,21152196.640821915,73,2026-02-14
290,AWK.N,77103256.64520548,73,2026-02-14
291,AWR.N,7765322.108356162,73,2026-02-14
292,AX.N,12198301.38150685,73,2026-02-14
293,AXGN.OQ,9409649.616095891,73,2026-02-14
294,AXON.OQ,173511243.59465754,73,2026-02-14
295,AXP.N,265349648.61904112,73,2026-02-14
296,AXS.N,21296670.742876712,73,2026-02-14
297,AXSM.OQ,30240148.10486301,73,2026-02-14
298,AXTA.N,31691403.923561644,73,2026-02-14
299,AYI.N,28053217.321643837,73,2026-02-14
300,AZO.N,140598683.1720548,73,2026-02-14
301,AZTA.OQ,9924304.247534245,73,2026-02-14
302,AZZ.N,7676332.81,73,2026-02-14
303,BA.N,357069267.9238356,73,2026-02-14
304,BAC.N,674888118.5471233,73,2026-02-14
305,BAH.N,70117354.70835617,73,2026-02-14
306,BALL.N,51140908.70397261,73,2026-02-14
307,BALY.N,548000.7208219178,73,2026-02-14
308,BAM.N,41500034.90972602,73,2026-02-14
309,BANC.N,13554862.236849315,73,2026-02-14
310,BAND.OQ,1248870.527808219,73,2026-02-14
311,BANF.OQ,5698010.238219178,73,2026-02-14
312,BANR.OQ,6429392.545068493,73,2026-02-14
313,BARK.N,135035.27261780822,73,2026-02-14
314,BATRA.OQ,1094834.7773972603,73,2026-02-14
315,BATRK.OQ,5150376.672465753,73,2026-02-14
316,BAX.N,51497898.099863015,73,2026-02-14
317,BBAI.N,52212215.90561644,73,2026-02-14
318,BBBY.N,3186470.1767123286,73,2026-02-14
319,BBCP.OQ,234190.5842465753,73,2026-02-14
320,BBIO.OQ,57715701.24623287,73,2026-02-14
321,BBNX.OQ,7972393.289452055,73,2026-02-14
322,BBSI.OQ,3195898.420273972,73,2026-02-14
323,BBT.N,10439438.037945207,73,2026-02-14
324,BBUC.N,1227885.342328767,73,2026-02-14
325,BBW.N,6439383.8935616445,73,2026-02-14
326,BBWI.N,34431907.82657535,73,2026-02-14
327,BBY.N,89117248.21452054,73,2026-02-14
328,BC.N,18668538.561780818,73,2026-02-14
329,BCAL.OQ,1625513.6747945207,73,2026-02-14
330,BCAX.OQ,3294719.820958904,73,2026-02-14
331,BCBP.OQ,262385.7606849316,73,2026-02-14
332,BCC.N,11599672.459452054,73,2026-02-14
333,BCML.OQ,306658.17520547943,73,2026-02-14
334,BCO.N,11016802.812465753,73,2026-02-14
335,BCPC.OQ,11472767.47089041,73,2026-02-14
336,BCRX.OQ,9625529.010136986,73,2026-02-14
337,BDC.N,11697478.715068493,73,2026-02-14
338,BDN.N,4394220.680821918,73,2026-02-14
339,BDX.N,101820929.62368828,73,2026-02-14
340,BE.N,293747213.1164383,73,2026-02-14
341,BEAM.OQ,17623876.312876716,73,2026-02-14
342,BEEP.OQ,65151.000136986295,73,2026-02-14
343,BELFA.OQ,1553047.7083561644,73,2026-02-14
344,BELFB.OQ,9060507.396643836,73,2026-02-14
345,BEN.N,38754969.69178083,73,2026-02-14
346,BEPC.N,13933130.847260274,73,2026-02-14
347,BETR.OQ,5361219.540410959,73,2026-02-14
348,BFAM.N,20869865.40219178,73,2026-02-14
349,BFC.OQ,3294084.111506849,73,2026-02-14
350,BFH.N,18606659.216849316,73,2026-02-14
351,BFLY.N,4924028.266575342,73,2026-02-14
352,BFS.N,955684.9260273974,73,2026-02-14
353,BFST.OQ,1563085.4416438357,73,2026-02-14
354,BFa.N,2025216.7545205478,73,2026-02-14
355,BFb.N,38674786.68657534,73,2026-02-14
356,BG.N,54640745.073972605,73,2026-02-14
357,BGC.OQ,8924291.673561646,73,2026-02-14
358,BGS.N,2241151.2806849317,73,2026-02-14
359,BH.N,4055137.9875342464,73,2026-02-14
360,BHB.A,715424.3123287671,73,2026-02-14
361,BHE.N,5271419.004246576,73,2026-02-14
362,BHF.OQ,27140004.987054795,73,2026-02-14
363,BHR.N,390599.46410958905,73,2026-02-14
364,BHRB.OQ,2065445.8323972605,73,2026-02-14
365,BHVN.N,11008049.67410959,73,2026-02-14
366,BIIB.OQ,125691803.57150687,73,2026-02-14
367,BILL.N,35669587.892602734,73,2026-02-14
368,BIO.N,15695660.774383562,73,2026-02-14
369,BIOA.OQ,2980668.461643836,73,2026-02-14
370,BIPC.N,9205145.717671232,73,2026-02-14
371,BIRK.N,30520894.361232877,73,2026-02-14
372,BJ.N,51550123.2650685,73,2026-02-14
373,BJRI.OQ,7015191.308493151,73,2026-02-14
374,BK.N,121383956.39328769,73,2026-02-14
375,BKD.N,17071560.092876714,73,2026-02-14
376,BKE.N,9596142.075928764,73,2026-02-14
377,BKH.N,24860935.406438358,73,2026-02-14
378,BKKT.N,4385627.672328766,73,2026-02-14
379,BKNG.OQ,465014659.7083562,73,2026-02-14
380,BKR.OQ,173982476.84246576,73,2026-02-14
381,BKSY.N,7776453.7757534245,73,2026-02-14
382,BKTI.A,482577.49109589035,73,2026-02-14
383,BKU.N,15702853.193698628,73,2026-02-14
384,BKV.N,6877123.436986302,73,2026-02-14
385,BL.OQ,15375435.119863017,73,2026-02-14
386,BLBD.OQ,9004735.946780821,73,2026-02-14
387,BLD.N,37160791.63520548,73,2026-02-14
388,BLDR.N,61759628.64876712,73,2026-02-14
389,BLFS.OQ,3578113.8678082195,73,2026-02-14
390,BLFY.OQ,1226462.4958904113,73,2026-02-14
391,BLK.N,186839675.13808218,73,2026-02-14
392,BLKB.OQ,8633292.583561644,73,2026-02-14
393,BLMN.OQ,5812282.88150685,73,2026-02-14
394,BLND.N,2293394.005068493,73,2026-02-14
395,BLSH.N,20165718.56739726,73,2026-02-14
396,BLX.N,2023832.1427397262,73,2026-02-14
397,BLZE.OQ,1234836.1652054796,73,2026-02-14
398,BMBL.OQ,3416221.399794521,73,2026-02-14
399,BMI.N,16386021.485753424,73,2026-02-14
400,BMRC.OQ,1021928.1284246577,73,2026-02-14
401,BMRN.OQ,61584800.09863014,73,2026-02-14
402,BMY.N,203832294.6460274,73,2026-02-14
403,BNED.N,797188.2117808219,73,2026-02-14
404,BNL.N,13624937.436164383,73,2026-02-14
