Date,EUR=,SEK=,CHF=,PLN=,GBp=,USD=,NOK=,DKK=
2026-03-24,1.16075,9.304,0.78825,3.67995,1.3411,1,9.6951,6.4371
2026-03-25,1.15585,9.35305,0.79175,3.69925,1.3365,1,9.69505,6.4647
2026-03-26,1.1528,9.43695,0.7956,3.70985,1.3332,1,9.7012,6.4821
2026-03-27,1.151,9.4721,0.79885,3.72195,1.32595,1,9.7518,6.4926
2026-03-30,1.1466,9.55075,0.7995,3.7441,1.31875,1,9.7444,6.5193
2026-03-31,1.15535,9.4694,0.7994,3.7123,1.32255,1,9.6963,6.46655
2026-04-01,1.15885,9.404,0.79435,3.69665,1.3306,1,9.7154,6.4476
2026-04-02,1.15385,9.43125,0.7988,3.706,1.32265,1,9.73195,6.4762
2026-04-03,1.1517,9.48635,0.801,3.71355,1.31935,1,9.77515,6.4878
2026-04-06,1.15415,9.4522,0.79835,3.69915,1.3234,1,9.7145,6.4747
2026-04-07,1.1595,9.47375,0.798,3.68465,1.3292,1,9.63095,6.44485
2026-04-08,1.1663,9.3175,0.79145,3.64855,1.3394,1,9.57515,6.4075
2026-04-09,1.17,9.2747,0.79015,3.6306,1.34355,1,9.50735,6.38695
2026-04-10,1.172,9.26565,0.78915,3.6262,1.3462,1,9.5278,6.3729
2026-04-13,1.1759,9.1941,0.78385,3.60955,1.3506,1,9.45095,6.3546
2026-04-14,1.1796,9.1859,0.7809,3.5927,1.3567,1,9.45415,6.33515
2026-04-15,1.17995,9.1637,0.78195,3.58905,1.35615,1,9.39055,6.3335
2026-04-16,1.17815,9.1881,0.7836,3.5976,1.3527,1,9.3759,6.3429
2026-04-17,1.17635,9.16525,0.78185,3.59355,1.35165,1,9.37705,6.35315
2026-04-20,1.17885,9.12615,0.7784,3.58895,1.3535,1,9.3189,6.3397
2026-04-21,1.1743,9.19585,0.781,3.6099,1.3509,1,9.34835,6.36395
2026-04-22,1.1705,9.2125,0.7849,3.6259,1.35025,1,9.3047,6.3843
2026-04-23,1.16835,9.26245,0.78625,3.6317,1.34675,1,9.34605,6.3965
2026-04-24,1.1722,9.2197,0.78475,3.61965,1.35325,1,9.3161,6.37505
2026-04-27,1.1721,9.21935,0.78535,3.6246,1.35335,1,9.29525,6.3752
2026-04-28,1.1712,9.2711,0.7893,3.6272,1.35175,1,9.32425,6.38005
2026-04-29,1.16775,9.3204,0.79115,3.64785,1.3476,1,9.3375,6.4003
2026-04-30,1.17315,9.24285,0.78135,3.6276,1.36045,1,9.2625,6.37
2026-05-01,1.1721,9.2145,0.78185,3.62085,1.35755,1,9.29165,6.3754
2026-05-04,1.1692,9.29085,0.7839,3.64225,1.3532,1,9.2766,6.3917
2026-05-05,1.1693,9.26765,0.783,3.63315,1.35415,1,9.25685,6.3912
2026-05-06,1.1748,9.23635,0.7789,3.60345,1.35925,1,9.30115,6.36075
2026-05-07,1.17255,9.28125,0.78035,3.61005,1.3552,1,9.3119,6.3733
2026-05-08,1.1786,9.21625,0.77645,3.5952,1.3634,1,9.2114,6.3401
2026-05-11,1.1783,9.21875,0.77795,3.59815,1.3611,1,9.18445,6.3415
2026-05-12,1.1738,9.2929,0.78075,3.62255,1.3539,1,9.1862,6.3644
2026-05-13,1.17105,9.32575,0.782,3.62675,1.3523,1,9.1744,6.3787
2026-05-14,1.16695,9.36,0.7838,3.63695,1.3402,1,9.23505,6.4036
2026-05-15,1.1626,9.45095,0.78705,3.6537,1.3325,1,9.3108,6.4285
2026-05-18,1.1656,9.38355,0.78445,3.63875,1.34335,1,9.25995,6.4108
2026-05-19,1.1605,9.4051,0.78915,3.66215,1.3396,1,9.2731,6.4393
2026-05-20,1.1628,9.3318,0.78675,3.65245,1.34345,1,9.2578,6.4282
2026-05-21,1.16185,9.34185,0.78675,3.65015,1.3432,1,9.23835,6.43175
2026-05-22,1.1603,9.3633,0.785,3.65295,1.34305,1,9.27245,6.4395
2026-05-25,1.16445,9.28445,0.78275,3.63385,1.35025,1,9.23825,6.4168
2026-05-26,1.163,9.30855,0.78545,3.64135,1.34465,1,9.26785,6.42465
2026-05-27,1.1626,9.2927,0.7871,3.64235,1.34275,1,9.2802,6.4278
2026-05-28,1.16515,9.25265,0.784,3.62895,1.3445,1,9.2535,6.4135
2026-05-29,1.166,9.2428,0.78115,3.6289,1.34605,1,9.25935,6.41
2026-06-01,1.16315,9.30695,0.7868,3.6419,1.34535,1,9.27735,6.4249
2026-06-02,1.16315,9.31295,0.78725,3.64155,1.3466,1,9.28785,6.4256
2026-06-03,1.1597,9.41125,0.7921,3.6584,1.3418,1,9.32495,6.4438
2026-06-04,,,,,,1,,
