Date,RIC,Currency,Price to Earning
2026-03-24,ABNd.AS,EUR,10.9172354426662
2026-03-24,ACLN.S,CHF,38.2668788955625
2026-03-24,AIRP.PA,EUR,27.7350122558061
2026-03-24,AKZO.AS,EUR,13.4489714037604
2026-03-24,ALEP.WA,PLN,15.9066316277632
2026-03-24,AMBUb.CO,DKK,33.0683624801272
2026-03-24,ANA.MC,EUR,14.2335523771661
2026-03-24,ANDR.VI,EUR,13.1147188243015
2026-03-24,ARGX.BR,EUR,34.5938422559266
2026-03-24,BARC.L,GBp,9.0966152680073
2026-03-24,BC8G.DE,EUR,14.5344202998137
2026-03-24,BCP.LS,EUR,9.96043521266073
2026-03-24,BMEB.L,GBp,6.31991277308888
2026-03-24,BTRW.L,GBp,17.9816764665664
2026-03-24,CAST.ST,SEK,16.7976935381145
2026-03-24,CRDA.L,GBp,61.8154775318881
2026-03-24,CTEC.L,GBp,34.8807828863999
2026-03-24,DLG.MI,EUR,13.6690081171312
2026-03-24,ERST.VI,EUR,11.0268177551196
2026-03-24,ESSITYb.ST,SEK,13.4292049007072
2026-03-24,EZJ.L,GBp,5.67665247771264
2026-03-24,FRAG.DE,EUR,15.9533348894081
2026-03-24,GBFG.DE,EUR,21.2524704135403
2026-03-24,GRLS.MC,EUR,15.0225167813748
2026-03-24,INCH.L,GBp,11.2823295868382
2026-03-24,JMAT.L,GBp,
2026-03-24,KSP.I,EUR,19.199473137066
2026-03-24,LEGD.PA,EUR,29.2049779938874
2026-03-24,LIFCOb.ST,SEK,35.4104755777498
2026-03-24,METSO.HE,EUR,24.7261666752106
2026-03-24,MICCT.AS,EUR,26.6851164643479
2026-03-24,MKS.L,GBp,357.433155080214
2026-03-24,NEKG.DE,EUR,34.948308395567
2026-03-24,PERP.PA,EUR,11.2171399324832
2026-03-24,QQ.L,GBp,
2026-03-24,RENA.PA,EUR,
2026-03-24,REY.MI,EUR,12.2203689711922
2026-03-24,SABE.MC,EUR,12.7317624408823
2026-03-24,SAND.ST,SEK,29.440636450857
2026-03-24,SAVE.ST,SEK,24.233972916166
2026-03-24,SIKA.S,CHF,20.0829768323025
2026-03-24,SKAb.ST,SEK,17.8079903552157
2026-03-24,SOPR.PA,EUR,7.39044652813978
2026-03-24,SPX.L,GBp,30.2528877756513
2026-03-24,SUN.S,CHF,18.9021120598512
2026-03-24,UNPI.MI,EUR,23.2128773212877
2026-03-24,VACN.S,CHF,72.4540303254273
2026-03-24,VNAn.DE,EUR,4.86099998376574
2026-03-24,WIHL.ST,SEK,11.3458399505911
2026-03-24,ZALG.DE,EUR,26.483655588374
2026-03-25,ABNd.AS,EUR,11.1375384000294
2026-03-25,ACLN.S,CHF,38.6478609471208
2026-03-25,AIRP.PA,EUR,28.079322528549
2026-03-25,AKZO.AS,EUR,13.7952260823207
2026-03-25,ALEP.WA,PLN,16.3085484618952
2026-03-25,AMBUb.CO,DKK,33.3129509600098
2026-03-25,ANA.MC,EUR,14.7084564126292
2026-03-25,ANDR.VI,EUR,13.6418896384039
2026-03-25,ARGX.BR,EUR,35.5111088342103
2026-03-25,BARC.L,GBp,9.33702835216372
2026-03-25,BC8G.DE,EUR,15.4249558855057
2026-03-25,BCP.LS,EUR,10.217606330366
2026-03-25,BMEB.L,GBp,6.38048701692041
2026-03-25,BTRW.L,GBp,18.6653904006564
2026-03-25,CAST.ST,SEK,17.2433631688893
2026-03-25,CRDA.L,GBp,63.8436922522198
2026-03-25,CTEC.L,GBp,34.8548185706797
2026-03-25,DLG.MI,EUR,13.8542250292874
2026-03-25,ERST.VI,EUR,11.433644181107
2026-03-25,ESSITYb.ST,SEK,13.5816239267387
2026-03-25,EZJ.L,GBp,5.76339249859449
2026-03-25,FRAG.DE,EUR,16.1674736127558
2026-03-25,GBFG.DE,EUR,21.699219040852
2026-03-25,GRLS.MC,EUR,15.2264423485428
2026-03-25,INCH.L,GBp,11.1403179371636
2026-03-25,JMAT.L,GBp,
2026-03-25,KSP.I,EUR,19.8934299974419
2026-03-25,LEGD.PA,EUR,29.9270198852492
2026-03-25,LIFCOb.ST,SEK,36.2019137485575
2026-03-25,METSO.HE,EUR,25.7001760051947
2026-03-25,MICCT.AS,EUR,26.4796528083527
2026-03-25,MKS.L,GBp,357.005347593583
2026-03-25,NEKG.DE,EUR,34.576235150291
2026-03-25,PERP.PA,EUR,11.3384063101316
2026-03-25,QQ.L,GBp,
2026-03-25,RENA.PA,EUR,
2026-03-25,REY.MI,EUR,12.4658851332836
2026-03-25,SABE.MC,EUR,13.0331059306073
2026-03-25,SAND.ST,SEK,30.1753708486439
2026-03-25,SAVE.ST,SEK,25.113977519267
2026-03-25,SIKA.S,CHF,20.5135460140058
2026-03-25,SKAb.ST,SEK,18.1929102119964
2026-03-25,SOPR.PA,EUR,7.46962988379843
2026-03-25,SPX.L,GBp,30.5710999686334
2026-03-25,SUN.S,CHF,19.2993134257567
2026-03-25,UNPI.MI,EUR,23.6610023661002
2026-03-25,VACN.S,CHF,72.2860534390468
2026-03-25,VNAn.DE,EUR,5.00710828480451
2026-03-25,WIHL.ST,SEK,11.4285556731957
2026-03-25,ZALG.DE,EUR,26.6449899476284
2026-03-26,ABNd.AS,EUR,10.9743510242048
2026-03-26,ACLN.S,CHF,38.0727763271875
2026-03-26,AIRP.PA,EUR,28.0891599649131
2026-03-26,AKZO.AS,EUR,13.6330909550583
2026-03-26,ALEP.WA,PLN,16.4631318596383
2026-03-26,AMBUb.CO,DKK,33.8755044637398
2026-03-26,ANA.MC,EUR,14.6541816657191
2026-03-26,ANDR.VI,EUR,13.620372462318
2026-03-26,ARGX.BR,EUR,35.4482183597867
2026-03-26,BARC.L,GBp,9.12977569340818
2026-03-26,BC8G.DE,EUR,15.0621450913349
2026-03-26,BCP.LS,EUR,10.0989119683482
2026-03-26,BMEB.L,GBp,6.34010418769939
2026-03-26,BTRW.L,GBp,18.3440448516341
2026-03-26,CAST.ST,SEK,17.1137138217548
2026-03-26,CRDA.L,GBp,63.7535493757606
2026-03-26,CTEC.L,GBp,35.1075359657616
2026-03-26,DLG.MI,EUR,13.6227038890921
2026-03-26,ERST.VI,EUR,11.3607797466018
2026-03-26,ESSITYb.ST,SEK,13.6088416099586
2026-03-26,EZJ.L,GBp,5.72002248815357
2026-03-26,FRAG.DE,EUR,16.1888874850906
2026-03-26,GBFG.DE,EUR,21.2418335414615
2026-03-26,GRLS.MC,EUR,14.7268247089812
2026-03-26,INCH.L,GBp,11.2098579991933
2026-03-26,JMAT.L,GBp,
2026-03-26,KSP.I,EUR,19.1722591425415
2026-03-26,LEGD.PA,EUR,28.5799268043504
2026-03-26,LIFCOb.ST,SEK,36.2529742757064
2026-03-26,METSO.HE,EUR,25.0593803933631
2026-03-26,MICCT.AS,EUR,26.8780007128331
2026-03-26,MKS.L,GBp,354.010695187166
2026-03-26,NEKG.DE,EUR,33.6194753767242
2026-03-26,PERP.PA,EUR,10.6892745238957
2026-03-26,QQ.L,GBp,
2026-03-26,RENA.PA,EUR,
2026-03-26,REY.MI,EUR,12.3787664951222
2026-03-26,SABE.MC,EUR,12.7694303770979
2026-03-26,SAND.ST,SEK,29.6798523012992
2026-03-26,SAVE.ST,SEK,24.9955153611573
2026-03-26,SIKA.S,CHF,19.9830232722643
2026-03-26,SKAb.ST,SEK,17.9968189642024
2026-03-26,SOPR.PA,EUR,7.42343959299755
2026-03-26,SPX.L,GBp,30.4347233144982
2026-03-26,SUN.S,CHF,19.5329612880539
2026-03-26,UNPI.MI,EUR,23.3383523338352
2026-03-26,VACN.S,CHF,71.6981343367153
2026-03-26,VNAn.DE,EUR,4.87027670129202
2026-03-26,WIHL.ST,SEK,11.3458399505911
2026-03-26,ZALG.DE,EUR,25.6149321154658
2026-03-27,ABNd.AS,EUR,10.8723589143144
2026-03-27,ACLN.S,CHF,35.7758857034127
2026-03-27,AIRP.PA,EUR,28.3547707467434
2026-03-27,AKZO.AS,EUR,13.4874441458227
2026-03-27,ALEP.WA,PLN,16.1385067243778
2026-03-27,AMBUb.CO,DKK,33.0928213281155
2026-03-27,ANA.MC,EUR,14.4777887382614
2026-03-27,ANDR.VI,EUR,13.4267178775458
2026-03-27,ARGX.BR,EUR,35.7220829280342
2026-03-27,BARC.L,GBp,9.05279613444184
2026-03-27,BC8G.DE,EUR,14.9961794923947
2026-03-27,BCP.LS,EUR,9.55534531693472
2026-03-27,BMEB.L,GBp,6.40067843153091
2026-03-27,BTRW.L,GBp,17.4825652946807
2026-03-27,CAST.ST,SEK,16.8949305484654
2026-03-27,CRDA.L,GBp,63.8887636904494
2026-03-27,CTEC.L,GBp,33.7417773943378
2026-03-27,DLG.MI,EUR,13.4652695137593
