Date,RIC,0
2026-02-19,Price Close,6059.62
2026-02-20,Price Close,6131.31
2026-02-23,Price Close,6113.92
2026-02-24,Price Close,6116.6
2026-02-25,Price Close,6173.32
2026-02-26,Price Close,6161.56
2026-02-27,Price Close,6138.41
2026-03-02,Price Close,5986.93
2026-03-03,Price Close,5771.73
2026-03-04,Price Close,5870.92
2026-03-05,Price Close,5782.89
2026-03-06,Price Close,5719.9
2026-03-09,Price Close,5685.2
2026-03-10,Price Close,5837.17
2026-03-11,Price Close,5794.68
2026-03-12,Price Close,5748.89
2026-03-13,Price Close,5716.61
2026-03-16,Price Close,5739.01
2026-03-17,Price Close,5769.25
2026-03-18,Price Close,5736.85
2026-03-19,Price Close,5613.83
2026-03-20,Price Close,5501.28
2026-03-23,Price Close,5574.32
2026-03-24,Price Close,5581.29
