Date,RIC,Currency,Daily Total Return,Price Close,Volume,0
2026-03-24,AAF.L,GBp,1.804850535815,361.0,2191792,
2026-03-24,AAK.ST,SEK,0.449640287769784,223.4,314479,
2026-03-24,AIR.PA,EUR,-1.10576923076923,164.56,1186305,
2026-03-24,AVANZ.ST,SEK,-0.632720699005714,329.8,157612,
2026-03-24,BAB.L,GBp,-2.20472440944882,1242.0,2386605,
2026-03-24,BATS.L,GBp,1.12044817927171,4332,2320304,
2026-03-24,BAYGn.DE,EUR,-1.88483036526713,37.74,3185697,
2026-03-24,BESI.AS,EUR,0.849082443166246,184.1,342473,
2026-03-24,BIOX.PA,EUR,1.17845117845119,90.15,86063,
2026-03-24,CPG.L,USD,0.521574205784723,27.956461767,4589631,
2026-03-24,DNP.WA,PLN,-0.23076923076924,38.91,3748582,
2026-03-24,DSV.CO,DKK,0.781504395962227,1547.5,333302,
2026-03-24,DTEGn.DE,EUR,2.85351934051997,32.44,5633976,
2026-03-24,DTGGe.DE,EUR,0.024372410431387,41.04,707379,
2026-03-24,EMSN.S,CHF,1.56121610517666,618.0,13121,
2026-03-24,EXOR.AS,EUR,-1.854714064915,63.5,767884,
2026-03-24,FBK.MI,EUR,1.48488120950325,18.795,2568417,
2026-03-24,FHZN.S,CHF,0.821692686935086,245.4,62079,
2026-03-24,FLS.CO,DKK,1.29761406446212,484.0,113315,
2026-03-24,FORTUM.HE,EUR,1.07632093933463,20.66,882620,
2026-03-24,GALD.S,CHF,0.701754385964912,143.5,838253,
2026-03-24,HMb.ST,SEK,-0.144969556393157,172.2,1359483,
2026-03-24,HRA.MI,EUR,-0.205867215645909,3.878,3218934,
2026-03-24,IDR.MC,EUR,-4.19063270336894,46.64,1695945,
2026-03-24,IHG.L,USD,-0.076132470498663,131.25,194823,
2026-03-24,INGA.AS,EUR,-1.42598460842011,21.775,11787354,
2026-03-24,ISP.MI,EUR,-0.741752879172365,5.085,56132891,
2026-03-24,ISS.CO,DKK,1.15452930728243,227.8,325762,
2026-03-24,KBX.DE,EUR,-0.504540867810293,98.6,138298,
2026-03-24,KEMIRA.HE,EUR,1.43846563665423,19.04,341053,
2026-03-24,KNIN.S,CHF,2.34630234630236,172.3,172458,
2026-03-24,LPPP.WA,PLN,-0.743589743589744,19355,2236,
2026-03-24,LUNDb.ST,SEK,0.196463654223969,510.0,101105,
2026-03-24,NEXII.MI,EUR,2.3448275862069,2.968,15711748,
2026-03-24,NSISb.CO,DKK,3.40747077274023,358.4,920112,
2026-03-24,PEO.WA,PLN,-1.63781001403837,210.2,450506,
2026-03-24,PSON.L,GBp,0.485232067510551,952.6,2911628,
2026-03-24,PUIGb.MC,EUR,12.9736673089274,17.59,8017650,
2026-03-24,QLT.L,GBp,-0.702576112412188,169.6,4989210,
2026-03-24,RYA.I,EUR,0.204081632653064,24.55,1453842,
2026-03-24,SAPG.DE,EUR,-4.05563499285065,147.62,4380715,
2026-03-24,SASY.PA,EUR,1.22348041129767,77.77,1799326,
2026-03-24,SCAb.ST,SEK,0.281425891181999,106.9,2017167,
2026-03-24,SCHN.PA,EUR,-0.61652281134402,241.8,781302,
2026-03-24,SDR.L,GBp,0.262237762237762,573.5,4401139,
2026-03-24,SQN.S,CHF,-0.208441896821264,383.0,20164,
2026-03-24,SSE.L,GBp,1.32211538461538,2529.0,2841223,
2026-03-24,STMMI.MI,EUR,1.92556933901129,27.525,3588575,
2026-03-24,URW.PA,EUR,0.084566596194516,94.68,445040,
2026-03-24,ZEG.L,GBp,1.19047619047619,1700,813009,
2026-03-25,AAF.L,GBp,1.21883656509695,365.4,2024189,
2026-03-25,AAK.ST,SEK,1.8800358102059,227.6,408707,
2026-03-25,AIR.PA,EUR,2.3699562469616,168.46,1202507,
2026-03-25,AVANZ.ST,SEK,4.30563978168587,344.0,348128,
2026-03-25,BAB.L,GBp,1.04669887278583,1255.0,7189269,
2026-03-25,BATS.L,GBp,0.715604801477378,4363,2025549,
2026-03-25,BAYGn.DE,EUR,1.03338632750398,38.13,2317577,
2026-03-25,BESI.AS,EUR,0.760456273764262,185.5,468166,
2026-03-25,BIOX.PA,EUR,1.05379922351635,91.1,106068,
2026-03-25,CPG.L,USD,2.07547169811321,28.536690219,1561013,
2026-03-25,DNP.WA,PLN,1.64482138267798,39.55,3040586,
2026-03-25,DSV.CO,DKK,-3.39256865912763,1495.0,604344,
2026-03-25,DTEGn.DE,EUR,-0.369913686806404,32.32,4927703,
2026-03-25,DTGGe.DE,EUR,0.877192982456139,41.4,888010,
2026-03-25,EMSN.S,CHF,1.77993527508091,629.0,18975,
2026-03-25,EXOR.AS,EUR,2.67716535433071,65.2,355068,
2026-03-25,FBK.MI,EUR,1.755786113328,19.125,2738005,
2026-03-25,FHZN.S,CHF,1.95599022004889,250.2,48637,
2026-03-25,FLS.CO,DKK,2.39669421487604,491.6,90624,
2026-03-25,FORTUM.HE,EUR,2.85575992255566,21.25,1275946,
2026-03-25,GALD.S,CHF,3.34494773519165,148.3,471877,
2026-03-25,HMb.ST,SEK,1.36469221835077,174.55,1785189,
2026-03-25,HRA.MI,EUR,1.90820010314595,3.952,1931417,
2026-03-25,IDR.MC,EUR,2.95883361921098,48.02,1240269,
2026-03-25,IHG.L,USD,1.52380952380952,133.25,289267,
2026-03-25,INGA.AS,EUR,2.47990815154996,22.315,8430051,
2026-03-25,ISP.MI,EUR,1.6125860373648,5.167,54795093,
2026-03-25,ISS.CO,DKK,0.438981562774363,228.8,546821,
2026-03-25,KBX.DE,EUR,1.72413793103449,100.3,179983,
2026-03-25,KEMIRA.HE,EUR,1.62815126050421,19.35,407017,
2026-03-25,KNIN.S,CHF,0.928612884503769,173.9,258963,
2026-03-25,LPPP.WA,PLN,2.84164298630845,19905,4107,
2026-03-25,LUNDb.ST,SEK,2.15686274509804,521.0,141989,
2026-03-25,NEXII.MI,EUR,2.93126684636119,3.055,20028925,
2026-03-25,NSISb.CO,DKK,2.34375000000001,366.8,1225760,
2026-03-25,PEO.WA,PLN,2.04567078972408,214.5,632528,
2026-03-25,PSON.L,GBp,0.230946882217083,954.8,1607002,
2026-03-25,PUIGb.MC,EUR,-1.36441159749857,17.35,1615566,
2026-03-25,QLT.L,GBp,4.00943396226416,176.4,4487223,
2026-03-25,RYA.I,EUR,2.44399185336048,25.15,2485889,
2026-03-25,SAPG.DE,EUR,-0.487738788782007,146.9,3757697,
2026-03-25,SASY.PA,EUR,2.94458017230295,80.06,2338680,
2026-03-25,SCAb.ST,SEK,2.85313376987839,109.95,1777278,
2026-03-25,SCHN.PA,EUR,2.54342431761786,247.95,1034901,
2026-03-25,SDR.L,GBp,0.0871839581517,574.0,3286802,
