Date,RIC,Price Target - Mean,Recommendation - Mean (1-5),Revenue - Mean,0
2025-08-18,BESI.AS,,,857168640,
2025-09-26,LPPP.WA,,2.14286,,
2025-11-25,LUNDb.ST,,2.75,,
2025-12-12,BATS.L,,2.1875,,
2025-12-22,DTEGn.DE,,1.65,,
2026-01-13,EMSN.S,,3,,
2026-01-16,EXOR.AS,,1.55556,1000000,
2026-01-16,EXOR.AS,,1.55556,,
2026-01-20,AAK.ST,,2.09091,,
2026-01-20,URW.PA,,2.05556,,
2026-01-23,HRA.MI,4.52,,,
2026-01-23,PSON.L,,2.33333,,
2026-01-28,AIR.PA,,2.04546,,
2026-01-29,HRA.MI,,1.83333,13133683000,
2026-01-29,HRA.MI,,1.83333,,
2026-02-02,LPPP.WA,22006.63636,,,
2026-02-04,DNP.WA,,2.57143,33723498820,
2026-02-04,LPPP.WA,,,24144091820,
2026-02-04,DNP.WA,,2.57143,,
2026-02-04,DNP.WA,,2.57143,39320795270,
2026-02-05,BAB.L,,1.9,5109792890,
2026-02-06,CPG.L,,2.13636,,
2026-02-06,CPG.L,2840.0,2.13636,,
2026-02-06,ISP.MI,,2.08,,
2026-02-09,HRA.MI,,,13248999670,
2026-02-11,EMSN.S,602,,,
2026-02-12,QLT.L,,2.26667,,
2026-02-12,SASY.PA,,2.23077,,
2026-02-13,BESI.AS,,2.43478,,
2026-02-13,KEMIRA.HE,,2.42857,,
2026-02-13,SCHN.PA,,2.0,,
2026-02-13,SQN.S,,2.63636,,
2026-02-16,KEMIRA.HE,,,2820166670,
2026-02-17,BAB.L,1411.0,,,
2026-02-17,HMb.ST,,3.39286,,
2026-02-18,AAK.ST,,,46557786000,
2026-02-18,FLS.CO,,2.73333,,
2026-02-19,LUNDb.ST,575.0,,,
2026-02-19,SDR.L,,2.58333,,
2026-02-20,ZEG.L,,2.11111,,
2026-02-25,AAF.L,,2.54546,,
2026-02-25,SDR.L,527.09091,,2668777540,
2026-02-26,AAK.ST,301.90909,,,
2026-03-02,HMb.ST,167.48333,,,
2026-03-03,AVANZ.ST,,2.28571,,
2026-03-03,BATS.L,4638.46154,,,
2026-03-03,EMSN.S,,,1963023830,
2026-03-03,ISP.MI,6.72619,,,
2026-03-03,KNIN.S,,3.0,,
2026-03-04,AAF.L,320.34003,,,
2026-03-04,DNP.WA,49.11083,,,
2026-03-05,AVANZ.ST,383.5,,4857434550,
2026-03-05,BIOX.PA,,2.38462,,
2026-03-05,DSV.CO,,1.81818,,
2026-03-05,FBK.MI,,1.875,,
2026-03-05,INGA.AS,,,24024707500,
2026-03-05,AVANZ.ST,,,4857434550,
2026-03-06,FBK.MI,,,1418822070,
2026-03-06,FBK.MI,24.68933,,1418822070,
2026-03-06,FHZN.S,,2.75,,
2026-03-06,FLS.CO,562.66667,,,
2026-03-06,QLT.L,204.33929,,,
2026-03-09,PSON.L,1159.22222,,,
2026-03-09,ZEG.L,,,3630017500,
2026-03-09,BESI.AS,186.95,,,
