Date,RIC,Close Price
2014-12-31,Price Close,3146.43
2015-01-02,Price Close,3139.44
2015-01-05,Price Close,3023.14
2015-01-06,Price Close,3007.91
2015-01-07,Price Close,3026.79
2015-01-08,Price Close,3135.08
2015-01-09,Price Close,3042.9
2015-01-12,Price Close,3084.18
2015-01-13,Price Close,3133.86
2015-01-14,Price Close,3089.67
2015-01-15,Price Close,3157.36
2015-01-16,Price Close,3202.24
2015-01-19,Price Close,3220.9
2015-01-20,Price Close,3244.92
2015-01-21,Price Close,3269.73
2015-01-22,Price Close,3322.65
2015-01-23,Price Close,3382.55
2015-01-26,Price Close,3414.28
2015-01-27,Price Close,3372.58
2015-01-28,Price Close,3358.96
2015-01-29,Price Close,3371.83
2015-01-30,Price Close,3351.44
2015-02-02,Price Close,3370.11
2015-02-03,Price Close,3414.18
2015-02-04,Price Close,3415.53
2015-02-05,Price Close,3408.96
2015-02-06,Price Close,3398.16
2015-02-09,Price Close,3347.75
2015-02-10,Price Close,3383.13
2015-02-11,Price Close,3374.14
2015-02-12,Price Close,3417.61
2015-02-13,Price Close,3447.59
2015-02-16,Price Close,3433.3
2015-02-17,Price Close,3438.44
2015-02-18,Price Close,3465.8
2015-02-19,Price Close,3488.08
2015-02-20,Price Close,3490.53
2015-02-23,Price Close,3519.58
2015-02-24,Price Close,3547.1
2015-02-25,Price Close,3541.78
2015-02-26,Price Close,3574.94
2015-02-27,Price Close,3599.0
2015-03-02,Price Close,3591.09
2015-03-03,Price Close,3549.11
2015-03-04,Price Close,3583.44
2015-03-05,Price Close,3618.21
2015-03-06,Price Close,3617.62
2015-03-09,Price Close,3610.28
2015-03-10,Price Close,3567.25
2015-03-11,Price Close,3649.54
2015-03-12,Price Close,3641.32
2015-03-13,Price Close,3656.21
2015-03-16,Price Close,3706.75
2015-03-17,Price Close,3672.16
2015-03-18,Price Close,3668.52
2015-03-19,Price Close,3670.73
2015-03-20,Price Close,3726.07
2015-03-23,Price Close,3699.04
2015-03-24,Price Close,3731.35
2015-03-25,Price Close,3684.04
2015-03-26,Price Close,3669.79
2015-03-27,Price Close,3679.03
2015-03-30,Price Close,3727.8
2015-03-31,Price Close,3697.38
2015-04-01,Price Close,3714.89
2015-04-02,Price Close,3715.27
2015-04-07,Price Close,3768.72
2015-04-08,Price Close,3742.63
2015-04-09,Price Close,3781.79
2015-04-10,Price Close,3816.76
2015-04-13,Price Close,3828.78
2015-04-14,Price Close,3784.53
2015-04-15,Price Close,3803.55
2015-04-16,Price Close,3751.72
2015-04-17,Price Close,3674.05
2015-04-20,Price Close,3718.04
2015-04-21,Price Close,3719.38
2015-04-22,Price Close,3724.49
2015-04-23,Price Close,3697.88
2015-04-24,Price Close,3713.96
2015-04-27,Price Close,3771.45
2015-04-28,Price Close,3715.42
2015-04-29,Price Close,3617.11
2015-04-30,Price Close,3615.59
2015-05-01,Price Close,3615.59
2015-05-04,Price Close,3632.94
2015-05-05,Price Close,3546.56
2015-05-06,Price Close,3558.03
2015-05-07,Price Close,3556.21
2015-05-08,Price Close,3649.48
2015-05-11,Price Close,3624.41
2015-05-12,Price Close,3573.1
2015-05-13,Price Close,3553.42
2015-05-14,Price Close,3602.22
2015-05-15,Price Close,3573.07
2015-05-18,Price Close,3589.22
2015-05-19,Price Close,3670.52
2015-05-20,Price Close,3683.48
2015-05-21,Price Close,3688.72
2015-05-22,Price Close,3679.14
2015-05-25,Price Close,3655.41
2015-05-26,Price Close,3619.3
2015-05-27,Price Close,3682.87
2015-05-28,Price Close,3650.71
2015-05-29,Price Close,3570.78
2015-06-01,Price Close,3575.04
2015-06-02,Price Close,3561.89
2015-06-03,Price Close,3583.82
2015-06-04,Price Close,3556.38
2015-06-05,Price Close,3510.01
2015-06-08,Price Close,3468.31
2015-06-09,Price Close,3456.79
2015-06-10,Price Close,3526.48
2015-06-11,Price Close,3551.91
2015-06-12,Price Close,3502.77
2015-06-15,Price Close,3438.07
2015-06-16,Price Close,3454.09
2015-06-17,Price Close,3428.76
2015-06-18,Price Close,3450.45
2015-06-19,Price Close,3455.8
2015-06-22,Price Close,3596.07
2015-06-23,Price Close,3625.97
2015-06-24,Price Close,3610.95
2015-06-25,Price Close,3610.91
2015-06-26,Price Close,3621.37
2015-06-29,Price Close,3468.9
2015-06-30,Price Close,3424.3
2015-07-01,Price Close,3496.28
2015-07-02,Price Close,3463.25
2015-07-03,Price Close,3441.76
2015-07-06,Price Close,3365.2
2015-07-07,Price Close,3294.19
2015-07-08,Price Close,3327.5
2015-07-09,Price Close,3420.03
2015-07-10,Price Close,3528.81
2015-07-13,Price Close,3590.43
2015-07-14,Price Close,3607.19
2015-07-15,Price Close,3623.87
2015-07-16,Price Close,3676.41
2015-07-17,Price Close,3670.34
2015-07-20,Price Close,3686.58
2015-07-21,Price Close,3647.96
2015-07-22,Price Close,3635.58
2015-07-23,Price Close,3634.64
2015-07-24,Price Close,3600.0
2015-07-27,Price Close,3513.1
2015-07-28,Price Close,3554.11
2015-07-29,Price Close,3575.53
2015-07-30,Price Close,3583.79
2015-07-31,Price Close,3600.69
2015-08-03,Price Close,3635.4
2015-08-04,Price Close,3619.31
2015-08-05,Price Close,3676.75
2015-08-06,Price Close,3668.47
2015-08-07,Price Close,3637.8
2015-08-10,Price Close,3674.94
2015-08-11,Price Close,3605.28
2015-08-12,Price Close,3484.41
2015-08-13,Price Close,3516.15
2015-08-14,Price Close,3491.03
2015-08-17,Price Close,3497.9
2015-08-18,Price Close,3495.38
2015-08-19,Price Close,3429.84
2015-08-20,Price Close,3353.48
2015-08-21,Price Close,3247.26
2015-08-24,Price Close,3073.39
2015-08-25,Price Close,3218.01
2015-08-26,Price Close,3170.73
2015-08-27,Price Close,3280.78
2015-08-28,Price Close,3286.59
2015-08-31,Price Close,3269.63
2015-09-01,Price Close,3188.73
2015-09-02,Price Close,3198.86
2015-09-03,Price Close,3270.09
2015-09-04,Price Close,3180.25
2015-09-07,Price Close,3197.97
2015-09-08,Price Close,3233.84
2015-09-09,Price Close,3269.98
2015-09-10,Price Close,3221.14
2015-09-11,Price Close,3187.94
2015-09-14,Price Close,3175.62
2015-09-15,Price Close,3207.6
2015-09-16,Price Close,3251.79
2015-09-17,Price Close,3255.79
2015-09-18,Price Close,3157.3
2015-09-21,Price Close,3184.72
2015-09-22,Price Close,3076.05
2015-09-23,Price Close,3079.99
2015-09-24,Price Close,3019.34
2015-09-25,Price Close,3113.16
2015-09-28,Price Close,3039.44
2015-09-29,Price Close,3029.86
2015-09-30,Price Close,3100.67
2015-10-01,Price Close,3069.05
2015-10-02,Price Close,3088.18
2015-10-05,Price Close,3190.39
2015-10-06,Price Close,3220.09
2015-10-07,Price Close,3226.4
2015-10-08,Price Close,3224.96
2015-10-09,Price Close,3250.31
2015-10-12,Price Close,3247.33
2015-10-13,Price Close,3221.28
2015-10-14,Price Close,3191.57
2015-10-15,Price Close,3238.81
2015-10-16,Price Close,3264.93
2015-10-19,Price Close,3272.04
2015-10-20,Price Close,3255.72
2015-10-21,Price Close,3272.23
2015-10-22,Price Close,3353.11
2015-10-23,Price Close,3425.81
2015-10-26,Price Close,3414.6
2015-10-27,Price Close,3381.01
2015-10-28,Price Close,3421.09
2015-10-29,Price Close,3413.39
2015-10-30,Price Close,3418.23
2015-11-02,Price Close,3434.5
2015-11-03,Price Close,3442.68
2015-11-04,Price Close,3439.16
2015-11-05,Price Close,3447.49
2015-11-06,Price Close,3468.21
2015-11-09,Price Close,3418.36
2015-11-10,Price Close,3425.4
2015-11-11,Price Close,3448.42
2015-11-12,Price Close,3387.7
2015-11-13,Price Close,3360.65
2015-11-16,Price Close,3362.23
2015-11-17,Price Close,3451.94
2015-11-18,Price Close,3431.92
2015-11-19,Price Close,3448.93
2015-11-20,Price Close,3452.45
2015-11-23,Price Close,3445.26
2015-11-24,Price Close,3409.6
2015-11-25,Price Close,3462.06
2015-11-26,Price Close,3498.62
2015-11-27,Price Close,3488.99
2015-11-30,Price Close,3506.45
2015-12-01,Price Close,3479.64
2015-12-02,Price Close,3468.66
2015-12-03,Price Close,3343.34
2015-12-04,Price Close,3330.75
2015-12-07,Price Close,3360.21
2015-12-08,Price Close,3297.46
2015-12-09,Price Close,3277.21
2015-12-10,Price Close,3269.97
2015-12-11,Price Close,3203.21
2015-12-14,Price Close,3139.24
2015-12-15,Price Close,3241.51
2015-12-16,Price Close,3246.78
2015-12-17,Price Close,3306.47
2015-12-18,Price Close,3260.72
2015-12-21,Price Close,3213.01
2015-12-22,Price Close,3214.32
2015-12-23,Price Close,3286.68
2015-12-24,Price Close,3284.47
2015-12-28,Price Close,3256.49
2015-12-29,Price Close,3314.28
2015-12-30,Price Close,3287.98
2015-12-31,Price Close,3267.52
2016-01-04,Price Close,3164.76
2016-01-05,Price Close,3178.01
2016-01-06,Price Close,3139.32
2016-01-07,Price Close,3084.68
2016-01-08,Price Close,3033.47
