Date,RIC,Earnings Per Share - Mean,Earnings Per Share - Standard Deviation,Earnings Per Share - Predicted Surprise PCT,Earnings Per Share - SmartEstimate®
2016-01-04,MWDP.PA1,4.861,1.99254,,
2016-01-04,MWDP.PA1,4.59967,2.29989,,
2016-01-25,BYG.L,0.3107482,0.0070557,,
2016-02-12,TUI1n.DE,2.80181,0.34407,,
2016-02-13,TUI1n.DE,,,0.92,2.82765
2016-02-19,AAK.ST,4.14501,0.21972,-1.383,4.08769
2016-02-22,GBLB.BR,6.004,0.87193,,
2016-02-22,EMSN.S,17.197,1.08571,1.424,17.44185
2016-02-22,GBLB.BR,6.004,0.87193,-2.094,5.8783
2016-03-03,ITPG.MI,0.808,0.03684,-0.909,0.80066
2016-03-08,ADSGn.DE,4.01318,0.14434,0.282,4.02452
2016-03-08,CPG.L,0.85132,0.01792,0.277,0.85367
2016-03-08,MONC.MI,0.75595,0.02728,0.57,0.76026
2016-03-10,HIAB.HE,2.6589,0.22938,-2.363,2.59607
2016-03-14,EDP.LS,0.24285,0.01785,-1.291,0.23971
2016-03-14,MWDP.PA1,,,-29.161,3.25834
2016-03-14,RR.L,0.0887784,0.0159002,,
2016-03-14,TEPRF.PA1,4.35892,0.16441,-0.7,4.32839
2016-03-14,TKAG.DE,1.06912,0.22448,-3.571,1.03094
2016-03-14,MWDP.PA1,,,-0.112,4.85557
2016-03-15,ELI.BR,2.70285,0.2626,3.286,2.79168
2016-03-15,EXPN.L,0.87903,0.03714,-0.047,0.87862
2016-03-15,GL9.I,0.94692,0.02069,1.327,0.95948
2016-03-15,ELI.BR,2.70285,0.2626,,
2016-03-16,LEGn.DE,4.23125,0.68226,-1.992,4.14695
2016-03-16,SASY.PA,5.5903,0.12871,-0.237,5.57704
2016-03-16,SDR.L,0.2981387,0.0134106,-2.02,0.2921166
2016-03-17,ENEI.MI,0.31737,0.01192,,
2016-03-17,SSE.L,1.1120835,0.0953046,3.119,1.1467699
2016-03-17,UMI.BR,1.10553,0.07123,2.196,1.12981
2016-03-18,BKWB.S,,,14.26,3.75
2016-03-18,SFZN.S,,,12.243,1.531
2016-03-18,BKWB.S,3.282,0.468,14.26,3.75
2016-03-18,BYG.L,,,-0.511,0.3091591
2016-03-18,HEIG.DE,5.14864,0.46155,-1.101,5.09197
2016-03-18,HNRGn.DE,8.45803,0.40634,2.941,8.70678
2016-03-18,LGEN.L,0.203595,0.0116859,-1.603,0.2003313
2016-03-18,NSISb.CO,1.3649,0.0664,-0.144,1.36294
2016-03-18,PRU.L,1.68431,0.06889,-1.57,1.65786
2016-03-18,RR.L,,,1.391,0.0900137
2016-03-18,SFZN.S,0.971,0.028,2.884,0.999
2016-03-18,SUBC.OL,0.46427,0.12916,7.303,0.49818
2016-03-18,UBSG.S,1.42536,0.24742,-2.292,1.3927
2016-03-18,URW.PA,11.104,0.14023,-0.255,11.07571
2016-03-18,VIE.PA,0.9966,0.07227,2.312,1.01964
2016-03-19,ENEI.MI,,,-1.917,0.31056
2016-03-19,FORTUM.HE,0.63726,0.09051,-3.755,0.61333
2016-03-20,MBGn.DE,8.56593,0.44841,0.102,8.57468
2016-03-20,SAF.PA,3.80616,0.24888,1.76,3.87314
2016-03-21,AIR.PA,3.4282,0.18757,-1.768,3.3676
2016-03-21,BIRG.I,0.8043,0.1383,-3.634,0.6954
2016-03-21,BMPS.MI,50.49847,86.3527,13.89,57.51429
2016-03-21,PKO.WA,2.0865,0.30259,-4.115,2.00063
2016-03-21,RACE.MI,1.64683,0.04442,0.037,1.64744
2016-03-21,SAMPO.HE,0.56217,0.02722,0.475,0.56484
2016-03-21,PKO.WA,2.0865,0.30259,,
2016-03-22,ENEI.MI,0.30479,0.0171,0.43,0.30611
2016-03-22,HEIG.DE,5.15727,0.46717,-1.124,5.09929
2016-03-22,HIAB.HE,2.6549,0.23416,-2.664,2.58418
2016-03-22,HNRGn.DE,8.46528,0.40048,2.69,8.69296
2016-03-22,LEGn.DE,4.23813,0.69108,-1.953,4.15534
2016-03-22,LGEN.L,0.20256,0.0105228,-1.544,0.1994329
2016-03-22,PKO.WA,,,-4.143,2.00006
2016-03-22,PRU.L,1.70834,0.07163,-1.849,1.67675
2016-03-22,SFZN.S,1.364,0.167,,
2016-03-22,UBSG.S,1.41413,0.24269,-2.072,1.38483
2016-03-22,VIE.PA,1.00004,0.07202,2.772,1.02776
2016-03-22,LEGn.DE,4.23813,0.69108,,
2016-03-23,BYG.L,,,-0.757,0.3083968
2016-03-23,EDP.LS,0.242,0.01728,-0.903,0.23981
2016-03-23,ENEI.MI,0.30376,0.01765,-0.023,0.30369
2016-03-23,FORTUM.HE,0.63689,0.09035,-3.633,0.61375
2016-03-23,HEIG.DE,5.12955,0.49918,-1.746,5.03999
2016-03-23,LGEN.L,0.2021158,0.0106119,-1.333,0.1994222
2016-03-23,MBGn.DE,8.54627,0.44714,0.142,8.55843
2016-03-23,PKO.WA,,,-4.388,1.99495
2016-03-23,SAF.PA,3.81336,0.25119,1.739,3.87966
2016-03-23,SFZN.S,1.215,0.25287,5.092,1.27687
2016-03-23,TEPRF.PA1,4.36815,0.15849,-0.602,4.34186
2016-03-23,SFZN.S,1.215,0.25287,,
2016-03-24,HEIG.DE,5.11,0.49674,,
2016-03-24,LGEN.L,0.201105,0.0111562,,
2016-03-24,AIR.PA,3.42653,0.18759,-1.753,3.36646
2016-03-24,BKWB.S,3.282,0.468,,
2016-03-24,BMPS.MI,58.86453,82.05611,-2.22,57.55805
2016-03-24,EDP.LS,0.24206,0.01692,-1.273,0.23897
