Date,RIC,Earnings Per Share - Mean
2014-08-14,VATN.S,5.86
2014-09-18,BFT.WA,14.835
2014-12-17,HOCM.L,-0.06447
2015-01-07,HOCM.L,-0.06148
2015-01-15,HOCM.L,-0.06479
2015-01-16,VATN.S,5.84
2015-01-19,HOCM.L,-0.06964
2015-01-20,HOCM.L,-0.07045
2015-01-21,HOCM.L,-0.07849
2015-01-22,HOCM.L,-0.07688
2015-01-23,HOCM.L,-0.08717
2015-02-03,HOCM.L,-0.08728
2015-02-04,HOCM.L,-0.08717
2015-02-04,BFT.WA,16.57
2015-02-11,VATN.S,5.99
2015-02-17,HOCM.L,-0.08476
2015-02-23,HOCM.L,-0.08958
2015-02-25,HOCM.L,-0.0903
2015-03-04,VATN.S,5.84
2015-03-04,VATN.S,6.55
2015-03-06,BFT.WA,19.68
2015-03-09,HOCM.L,-0.09594
2015-03-11,HOCM.L,-0.10156
2015-03-12,HOCM.L,-0.10558
2015-03-18,HOCM.L,-0.01288
2015-03-19,HOCM.L,-0.00233
2015-03-20,HOCM.L,-0.00785
2015-03-24,HOCM.L,-0.00564
2015-03-26,HOCM.L,-0.00774
2015-04-01,HOCM.L,0.00332
2015-04-08,HOCM.L,-0.00553
2015-04-09,HOCM.L,-0.00663
2015-04-13,HOCM.L,-0.00874
2015-04-21,HOCM.L,-0.02311
2015-04-22,HOCM.L,-0.02938
2015-05-05,HOCM.L,-0.03037
2015-05-08,VATN.S,6.505
2015-05-28,VATN.S,6.12
2015-06-02,HOCM.L,-0.03135
2015-06-04,VATN.S,5.83667
2015-06-23,HOCM.L,-0.03332
2015-06-30,HOCM.L,-0.03921
2015-07-02,HOCM.L,-0.04501
2015-07-07,HOCM.L,-0.04305
2015-07-09,HOCM.L,-0.04403
2015-07-13,HOCM.L,-0.04501
2015-07-15,HOCM.L,-0.04903
2015-07-27,BFT.WA,19.89
2015-08-11,HOCM.L,-0.0572
2015-08-12,HOCM.L,-0.05272
2015-08-13,VATN.S,5.85
2015-08-14,VATN.S,6.132
2015-08-19,HOCM.L,-0.06811
2015-08-20,HOCM.L,-0.07961
2015-08-26,HOCM.L,-0.0914
2015-09-11,HOCM.L,-0.0931
2015-09-28,VATN.S,6.171
2015-10-08,HOCM.L,-0.09531
2015-10-09,HOCM.L,-0.09748
2015-10-15,HOCM.L,-0.10957
2015-10-16,HOCM.L,-0.13429
2015-10-20,HOCM.L,-0.11459
2015-10-22,HOCM.L,-0.1217
2015-10-23,HOCM.L,-0.11714
2015-11-03,HOCM.L,-0.09714
2015-11-05,HOCM.L,-0.09498
2015-11-05,VATN.S,6.44767
2015-11-06,VATN.S,6.64167
2015-11-10,HOCM.L,-0.09157
2015-11-24,HOCM.L,-0.08638
2015-11-30,HOCM.L,-0.08888
2015-12-16,HOCM.L,-0.09013
2015-12-17,HOCM.L,-0.09871
2015-12-18,HOCM.L,-0.09929
2015-12-23,HOCM.L,-0.10071
2016-01-06,HOCM.L,-0.09813
2016-01-07,HOCM.L,-0.10167
2016-01-12,HOCM.L,-0.10278
2016-01-15,BFT.WA,20.44
2016-01-15,BFT.WA,25.07
2016-01-18,HOCM.L,-0.10611
2016-01-21,HOCM.L,-0.10367
2016-01-26,HOCM.L,-0.10544
2016-02-02,HOCM.L,-0.10388
2016-02-06,HOCM.L,-0.10513
2016-02-10,HOCM.L,-0.10888
2016-02-15,HOCM.L,-0.11763
2016-02-23,VATN.S,7.43467
2016-03-01,HOCM.L,-0.12388
2016-03-07,HOCM.L,-0.12263
2016-03-09,HOCM.L,-0.01911
2016-03-10,HOCM.L,-0.01938
2016-03-21,HOCM.L,-0.00938
2016-04-07,HOCM.L,-0.00813
2016-04-08,HOCM.L,-0.01
2016-04-10,HOCM.L,-0.00825
2016-04-18,HOCM.L,-0.0045
