Date,RIC,Currency,Price to Earning,0
2015-01-02,BFT.WA,PLN,23.434645084,
2015-01-02,HOCM.L,GBp,,
2015-01-05,BFT.WA,PLN,23.490807359,
2015-01-05,HOCM.L,GBp,,
2015-01-05,VATN.S,CHF,19.117387183,
2015-01-06,HOCM.L,GBp,,
2015-01-06,VATN.S,CHF,19.071487094,
2015-01-07,BFT.WA,PLN,23.363506203,
2015-01-07,HOCM.L,GBp,,
2015-01-07,VATN.S,CHF,19.105912161,
2015-01-08,BFT.WA,PLN,23.962570465,
2015-01-08,HOCM.L,GBp,,
2015-01-08,VATN.S,CHF,18.899361759,
2015-01-09,BFT.WA,PLN,24.336985628,
2015-01-09,HOCM.L,GBp,,
2015-01-09,VATN.S,CHF,19.048537049,
2015-01-12,BFT.WA,PLN,23.74540967,
2015-01-12,HOCM.L,GBp,,
2015-01-12,VATN.S,CHF,18.807561581,
2015-01-13,BFT.WA,PLN,23.887687432,
2015-01-13,HOCM.L,GBp,,
2015-01-13,VATN.S,CHF,18.933786826,
2015-01-14,BFT.WA,PLN,24.033709346,
2015-01-14,HOCM.L,GBp,,
2015-01-14,VATN.S,CHF,18.692811358,
2015-01-15,BFT.WA,PLN,23.775362883,
2015-01-15,HOCM.L,GBp,,
2015-01-15,VATN.S,CHF,18.348560688,
2015-01-16,BFT.WA,PLN,23.213740138,
2015-01-16,HOCM.L,GBp,,
2015-01-16,VATN.S,CHF,18.096110197,
2015-01-19,BFT.WA,PLN,22.097982951,
2015-01-19,HOCM.L,GBp,,
2015-01-19,VATN.S,CHF,18.164960331,
2015-01-20,BFT.WA,PLN,22.92169631,
2015-01-20,HOCM.L,GBp,,
2015-01-20,VATN.S,CHF,18.268235532,
2015-01-21,BFT.WA,PLN,22.801883458,
2015-01-21,HOCM.L,GBp,,
2015-01-21,VATN.S,CHF,17.61415926,
2015-01-22,BFT.WA,PLN,22.917952159,
2015-01-22,HOCM.L,GBp,,
2015-01-22,VATN.S,CHF,17.76333455,
2015-01-23,BFT.WA,PLN,23.097671437,
2015-01-23,HOCM.L,GBp,,
2015-01-23,VATN.S,CHF,17.671534371,
2015-01-26,BFT.WA,PLN,23.251181654,
2015-01-26,HOCM.L,GBp,,
2015-01-26,VATN.S,CHF,17.694484416,
2015-01-27,BFT.WA,PLN,23.213740138,
2015-01-27,HOCM.L,GBp,,
2015-01-27,VATN.S,CHF,17.487934014,
2015-01-28,BFT.WA,PLN,23.213740138,
2015-01-28,HOCM.L,GBp,,
2015-01-28,VATN.S,CHF,17.051883166,
2015-01-29,BFT.WA,PLN,22.790651003,
2015-01-29,HOCM.L,GBp,,
2015-01-29,VATN.S,CHF,17.097783255,
2015-01-30,BFT.WA,PLN,23.719200609,
2015-01-30,HOCM.L,GBp,,
2015-01-30,VATN.S,CHF,17.212533478,
2015-02-02,BFT.WA,PLN,23.322320535,
2015-02-02,HOCM.L,GBp,,
2015-02-02,VATN.S,CHF,17.545309126,
2015-02-03,BFT.WA,PLN,23.221228441,
2015-02-03,HOCM.L,GBp,,
2015-02-03,VATN.S,CHF,17.843659706,
2015-02-04,BFT.WA,PLN,23.266158261,
2015-02-04,HOCM.L,GBp,,
2015-02-04,VATN.S,CHF,17.91250984,
2015-02-05,BFT.WA,PLN,23.288623171,
2015-02-05,HOCM.L,GBp,,
2015-02-05,VATN.S,CHF,17.91250984,
2015-02-06,BFT.WA,PLN,23.329808839,
2015-02-06,HOCM.L,GBp,,
2015-02-06,VATN.S,CHF,17.832184684,
2015-02-09,BFT.WA,PLN,23.326064687,
2015-02-09,HOCM.L,GBp,,
2015-02-09,VATN.S,CHF,17.901034818,
2015-02-10,BFT.WA,PLN,23.101415589,
2015-02-10,HOCM.L,GBp,,
