Date,GBp=,EUR=,CHF=,DKK=,SEK=,PLN=,NOK=,USD=
2026-02-19,1.34655,1.17735,0.7751,6.3459,9.06565,3.58495,9.55935,1
2026-02-20,1.34835,1.17815,0.77585,6.3407,9.05925,3.58245,9.5273,1
2026-02-23,1.349,1.17855,0.77475,6.3389,9.06435,3.58065,9.57095,1
2026-02-24,1.3489,1.17725,0.7739,6.34665,9.0573,3.58125,9.5708,1
2026-02-25,1.3559,1.18105,0.77255,6.32575,9.02015,3.57045,9.5442,1
2026-02-26,1.3482,1.17975,0.77415,6.3333,9.0561,3.57865,9.5549,1
2026-02-27,1.34855,1.1814,0.76885,6.3248,9.0295,3.57465,9.51195,1
2026-03-02,1.34085,1.16885,0.77925,6.39155,9.16055,3.62625,9.5819,1
2026-03-03,1.33565,1.16145,0.78185,6.434,9.26645,3.69445,9.6717,1
2026-03-04,1.33765,1.16335,0.77925,6.4218,9.173,3.66795,9.63045,1
2026-03-05,1.3358,1.16085,0.78095,6.4359,9.22575,3.683,9.6843,1
2026-03-06,1.34125,1.16185,0.77595,6.4308,9.17525,3.6759,9.58625,1
2026-03-09,1.34395,1.16365,0.77745,6.42035,9.1353,3.65195,9.5905,1
2026-03-10,1.34175,1.1611,0.77855,6.4355,9.1806,3.67495,9.6382,1
2026-03-11,1.34115,1.1567,0.78055,6.45925,9.23145,3.67305,9.6499,1
2026-03-12,1.3343,1.15115,0.78605,6.4911,9.36025,3.7134,9.70865,1
2026-03-13,1.3226,1.14165,0.7914,6.54525,9.481,3.74815,9.7703,1
2026-03-16,1.33195,1.15045,0.7878,6.4949,9.343,3.70925,9.6734,1
2026-03-17,1.33555,1.15395,0.7848,6.47545,9.2789,3.69225,9.58005,1
2026-03-18,1.32575,1.1452,0.79325,6.5252,9.42205,3.73555,9.61465,1
2026-03-19,1.34315,1.1589,0.78815,6.4473,9.28815,3.68265,9.4882,1
2026-03-20,1.33415,1.1571,0.788,6.4576,9.3429,3.69465,9.565,1
2026-03-23,1.34295,1.1613,0.7864,6.4336,9.32255,3.66735,9.7379,1
2026-03-24,1.3411,1.16075,0.78825,6.4371,9.304,3.67995,9.6951,1
2026-03-25,,,,,,,,1
