Date,RIC,Currency,Daily Total Return,Price Close,Volume
2014-12-30,AIXGn.DE,EUR,2.449158102,9.37,
2015-01-01,AIXGn.DE,,,,0
2015-01-02,AIXGn.DE,EUR,-0.106723586,9.36,907585
2015-01-02,BFT.WA,PLN,0.951612903,312.95,100
2015-01-02,HOCM.L,GBp,1.988636364,78.207310857,430201
2015-01-02,INGP.WA,PLN,-1.03645461,138.45,11956
2015-01-02,PAFR.L,GBp,3.44827586206897,11.25,242769
2015-01-02,PIRC.MI,,,,0
2015-01-02,TPE.WA,PLN,-0.198019802,5.04,1376376
2015-01-02,TPRO.MI,,,,0
2015-01-02,ZAB.WA,,,,0
2015-01-05,AIXGn.DE,EUR,0.224358974,9.381,618851
2015-01-05,BFT.WA,PLN,0.239654897,313.7,73
2015-01-05,HOCM.L,GBp,-4.178272981,74.939595919,628689
2015-01-05,INGP.WA,PLN,-2.491874323,135.0,4988
2015-01-05,PAFR.L,GBp,1.11111111111111,11.375,5442314
2015-01-05,PIRC.MI,,,,0
2015-01-05,TPE.WA,PLN,-1.19047619,4.98,2110122
2015-01-05,TPRO.MI,,,,0
2015-01-05,VATN.S,CHF,0.908540279,83.3,10136
2015-01-05,ZAB.WA,,,,0
2015-01-06,AIXGn.DE,EUR,-5.031446541,8.909,1190329
2015-01-06,HOCM.L,GBp,4.360465116,78.207310857,659706
2015-01-06,PAFR.L,GBp,3.2967032967033,11.75,1993482
2015-01-06,PIRC.MI,,,,0
2015-01-06,TPRO.MI,,,,0
2015-01-06,VATN.S,CHF,-0.240096038,83.1,8776
2015-01-07,AIXGn.DE,EUR,-0.437759569,8.87,1130399
2015-01-07,BFT.WA,PLN,-0.541919031,312.0,303
2015-01-07,HOCM.L,GBp,2.506963788,80.16793982,909385
2015-01-07,INGP.WA,PLN,0.740740741,136.0,75029
2015-01-07,PAFR.L,GBp,2.12765957446809,12.0,3535409
2015-01-07,PIRC.MI,,,,0
2015-01-07,TPE.WA,PLN,2.81124498,5.12,3013797
2015-01-07,TPRO.MI,,,,0
2015-01-07,VATN.S,CHF,0.180505415,83.25,9865
2015-01-07,ZAB.WA,,,,0
2015-01-08,AIXGn.DE,EUR,1.691093574,9.02,1068012
2015-01-08,BFT.WA,PLN,2.564102564,320.0,3974
2015-01-08,HOCM.L,GBp,1.358695652,81.257178133,783625
2015-01-08,INGP.WA,PLN,1.470588235,138.0,19061
2015-01-08,PAFR.L,GBp,0.0,12.0,140893
2015-01-08,PIRC.MI,,,,0
2015-01-08,TPE.WA,PLN,-0.5859375,5.09,2711808
2015-01-08,TPRO.MI,,,,0
2015-01-08,VATN.S,CHF,-1.081081081,82.35,9542
2015-01-08,ZAB.WA,,,,0
2015-01-09,AIXGn.DE,EUR,-5.964523282,8.482,2438813
2015-01-09,BFT.WA,PLN,1.5625,325.0,5049
2015-01-09,HOCM.L,GBp,2.412868633,83.217807096,749930
2015-01-09,INGP.WA,PLN,1.086956522,139.5,2923
2015-01-09,PAFR.L,GBp,4.16666666666667,12.5,180902
2015-01-09,PIRC.MI,,,,0
2015-01-09,TPE.WA,PLN,-0.589390963,5.06,4005630
2015-01-09,TPRO.MI,,,,0
2015-01-09,VATN.S,CHF,0.789313904,83.0,7173
2015-01-09,ZAB.WA,,,,0
2015-01-12,AIXGn.DE,EUR,-3.077104456,8.221,1458380
2015-01-12,BFT.WA,PLN,-2.430769231,317.1,365
2015-01-12,HOCM.L,GBp,0.523560209,83.653502421,861704
2015-01-12,INGP.WA,PLN,0.752688172,140.55,12682
2015-01-12,PAFR.L,GBp,-6.0,11.75,2956205
2015-01-12,PIRC.MI,,,,0
2015-01-12,TPE.WA,PLN,1.581027668,5.14,1843479
2015-01-12,TPRO.MI,,,,0
2015-01-12,VATN.S,CHF,-1.265060241,81.95,9741
2015-01-12,ZAB.WA,,,,0
2015-01-13,AIXGn.DE,EUR,-2.736893322,7.996,1929216
2015-01-13,BFT.WA,PLN,0.599180069,319.0,729
2015-01-13,HOCM.L,GBp,3.125,86.267674372,1183126
2015-01-13,INGP.WA,PLN,-0.462468872,139.9,30216
2015-01-13,PAFR.L,GBp,0.0,11.75,2114074
2015-01-13,PIRC.MI,,,,0
2015-01-13,TPE.WA,PLN,2.918287938,5.29,4233381
2015-01-13,TPRO.MI,,,,0
2015-01-13,VATN.S,CHF,0.67114094,82.5,22869
2015-01-13,ZAB.WA,,,,0
2015-01-14,AIXGn.DE,EUR,0.037518759,7.999,1602016
2015-01-14,BFT.WA,PLN,0.611285266,320.95,7011
2015-01-14,HOCM.L,GBp,0.252525253,86.485522035,959451
2015-01-14,INGP.WA,PLN,-0.786275911,138.8,45514
2015-01-14,PAFR.L,GBp,2.12765957446809,12.0,3733477
2015-01-14,PIRC.MI,,,,0
2015-01-14,TPE.WA,PLN,-3.59168242,5.1,3652974
2015-01-14,TPRO.MI,,,,0
2015-01-14,VATN.S,CHF,-1.272727273,81.45,11316
2015-01-14,ZAB.WA,,,,0
2015-01-15,AIXGn.DE,EUR,-0.662582823,7.946,1869425
2015-01-15,BFT.WA,PLN,-1.07493379,317.5,66
2015-01-15,HOCM.L,GBp,13.350125945,98.03144815,1334956
2015-01-15,INGP.WA,PLN,-0.648414986,137.9,149819
2015-01-15,PAFR.L,GBp,0.0,12.0,2381564
2015-01-15,PIRC.MI,,,,0
2015-01-15,TPE.WA,PLN,-1.960784314,5.0,4048200
2015-01-15,TPRO.MI,,,,0
2015-01-15,VATN.S,CHF,-1.841620626,79.95,25761
2015-01-15,ZAB.WA,,,,0
2015-01-16,AIXGn.DE,EUR,-2.693178958,7.732,1200231
2015-01-16,BFT.WA,PLN,-2.362204724,310.0,9819
2015-01-16,HOCM.L,GBp,1.333333333,99.338534125,1017165
2015-01-16,INGP.WA,PLN,-0.652646846,137.0,38077
2015-01-16,PAFR.L,GBp,0.0,12.0,451626
2015-01-16,PIRC.MI,,,,0
2015-01-16,TPE.WA,PLN,0.8,5.04,2365818
2015-01-16,TPRO.MI,,,,0
2015-01-16,VATN.S,CHF,-1.375859912,78.85,18819
2015-01-16,ZAB.WA,,,,0
2015-01-19,AIXGn.DE,EUR,3.297982411,7.987,1476647
2015-01-19,BFT.WA,PLN,-4.806451613,295.1,621
2015-01-19,HOCM.L,GBp,5.263157895,104.566878027,1147358
2015-01-19,INGP.WA,PLN,-0.693430657,136.05,11428
2015-01-19,PAFR.L,GBp,4.16666666666667,12.5,251414
2015-01-19,PIRC.MI,,,,0
2015-01-19,TPE.WA,PLN,-3.174603175,4.88,1776031
2015-01-19,TPRO.MI,,,,0
2015-01-19,VATN.S,CHF,0.380469245,79.15,13603
2015-01-19,ZAB.WA,,,,0
2015-01-20,AIXGn.DE,EUR,-1.214473519,7.89,1194707
2015-01-20,BFT.WA,PLN,3.727549983,306.1,7260
2015-01-20,HOCM.L,GBp,8.75,113.716479854,1260281
2015-01-20,INGP.WA,PLN,-0.036751194,136.0,111852
2015-01-20,PAFR.L,GBp,2.0,12.75,825088
2015-01-20,PIRC.MI,,,,0
2015-01-20,TPE.WA,PLN,-0.204918033,4.87,2343704
2015-01-20,TPRO.MI,,,,0
2015-01-20,VATN.S,CHF,0.568540745,79.6,8510
2015-01-20,ZAB.WA,,,,0
2015-01-21,AIXGn.DE,EUR,-1.34347275,7.784,2104631
2015-01-21,BFT.WA,PLN,-0.522704998,304.5,9298
2015-01-21,HOCM.L,GBp,-11.494252874,100.645620101,1632856
2015-01-21,INGP.WA,PLN,1.397058824,137.9,101554
2015-01-21,PAFR.L,GBp,3.92156862745098,13.25,2113470
2015-01-21,PIRC.MI,,,,0
2015-01-21,TPE.WA,PLN,1.642710472,4.95,2248960
2015-01-21,TPRO.MI,,,,0
2015-01-21,VATN.S,CHF,-3.58040201,76.75,20268
2015-01-21,ZAB.WA,,,,0
2015-01-22,AIXGn.DE,EUR,-0.989208633,7.707,1207680
2015-01-22,BFT.WA,PLN,0.509031199,306.05,82
2015-01-22,HOCM.L,GBp,-3.246753247,97.377905162,594705
2015-01-22,INGP.WA,PLN,-1.341551849,136.05,22125
2015-01-22,PAFR.L,GBp,-5.66037735849057,12.5,1176829
2015-01-22,PIRC.MI,,,,0
2015-01-22,TPE.WA,PLN,1.212121212,5.01,2472582
2015-01-22,TPRO.MI,,,,0
2015-01-22,VATN.S,CHF,0.846905537,77.4,26156
2015-01-22,ZAB.WA,,,,0
2015-01-23,AIXGn.DE,EUR,-2.439340859,7.519,2698872
2015-01-23,BFT.WA,PLN,0.784185591,308.45,12
2015-01-23,HOCM.L,GBp,-7.158836689,90.406779961,848047
2015-01-23,INGP.WA,PLN,0.33076075,136.5,98797
2015-01-23,PAFR.L,GBp,2.0,12.75,1207650
2015-01-23,PIRC.MI,,,,0
2015-01-23,TPE.WA,PLN,0.0,5.01,1875871
2015-01-23,TPRO.MI,,,,0
2015-01-23,VATN.S,CHF,-0.516795866,77.0,10230
2015-01-23,ZAB.WA,,,,0
2015-01-26,AIXGn.DE,EUR,-0.545285277,7.478,1678664
2015-01-26,BFT.WA,PLN,0.66461339,310.5,45
2015-01-26,HOCM.L,GBp,-4.096385542,86.703369697,609182
2015-01-26,INGP.WA,PLN,0.366300366,137.0,37571
