Date,RIC,Price Target - Mean,Recommendation - Mean (1-5),Revenue - Mean
2021-02-02,GAW.L,,1.5,
2021-09-28,AAK.ST,,2.22222,
2021-10-07,LGEN.L,,,13542895000
2021-10-07,WALLb.ST,,3.0,
2021-11-25,INDUc.ST,,2.2,4362017000
2021-11-25,INDUc.ST,,,4362017000
2021-11-26,GBLB.BR,,,14926591500
2021-11-29,BKWB.S,,2.4,
2022-01-17,BYG.L,,2.75,
2022-01-17,GAW.L,,,383540000
2022-01-17,INWT.MI,,1.90476,
2022-01-20,INPST.AS,,2.25,
2022-01-21,BCVN.S,,,999141000
2022-01-21,BCVN.S,,,
2022-01-21,BCVN.S,,,982596000
2022-01-25,WISEa.L,,2.4,
2022-02-07,PLUSP.L,1848.0,,
2022-02-08,LGEN.L,,2.36842,
2022-02-08,TUI1n.DE,,3.61539,
2022-02-09,AAK.ST,218.11111,,
2022-02-09,AAK.ST,218.11111,,41616608750
2022-02-09,WALLb.ST,74.16667,,
2022-02-11,HLMA.L,,,1495976560
2022-02-14,INDUc.ST,316.5315,,
2022-02-14,VEND.OL,,1.6,
2022-02-15,WALLb.ST,,,2532142860
2022-02-17,BAWG.VI,,1.77778,
2022-02-17,NG.L,,2.3125,
2022-02-23,ASRNL.AS,,2.26667,
2022-02-28,EDP.LS,,1.91304,
2022-03-01,SASY.PA,,1.93103,
2022-03-02,ASRNL.AS,,,5917074500
2022-03-03,GBLB.BR,,1.77778,
2022-03-03,RR.L,,2.85,
2022-03-04,SUBC.OL,,1.9,
2022-03-07,TUI1n.DE,,,14955164850
2022-03-07,GALP.LS,,2.30435,
2022-03-07,INWT.MI,12.0975,,
2022-03-07,KYGa.I,,2.125,
2022-03-07,RAND.AS,,2.94737,
2022-03-07,TUI1n.DE,13.61047,,14955164850
2022-03-08,EQNR.OL,,2.83333,
2022-03-08,NG.L,1022.76178,,
2022-03-09,NG.L,,,15580170140
2022-03-09,SSE.L,,2.25,
2022-03-11,VEND.OL,421.0,,
2022-03-11,VEND.OL,421.0,,15596094000
2022-03-13,ULVR.L,,2.54546,
2022-03-14,INPST.AS,14.05833,,
2022-03-14,INPST.AS,14.05833,,6811503600
2022-03-14,GBLB.BR,109.875,,
2022-03-14,INPST.AS,14.05833,,4597858640
2022-03-14,SDR.L,,2.94444,
2022-03-15,SUBC.OL,93.77797,,
