index,Instrument,Company Common Name,Company Market Cap,TRBC Economic Sector Name,Book Value Per Share,Enterprise Value To EBITDA (Daily Time Series Ratio),Revenue,Free Cash Flow,Dividend yield,Currency
0,LOGN.S,Logitech International SA,11573265430.8,Technology,14.0588942784,15.1509760001932,4554900000,447461000.0,1.75048624617949,CHF
1,TCAPI.L,TP ICAP Group PLC,1983680821.49798,Financials,2.7415852334,1.83406044345679,2353000000,82000000.0,6.31578947368421,GBp
2,LATOb.ST,Investment AB Latour,115260721206.725,Financials,66.6694560964,24.0446524150805,28145000000,2154000000.0,2.63022176379577,SEK
3,BGN.MI,Banca Generali SpA,5939516451.40807,Financials,13.7428755145,31.9933723810483,1601200000,,5.71428571428571,EUR
4,SBMO.AS,SBM Offshore NV,5935957683.6,Energy,25.4502355187,9.17214569946438,5903000000,654000000.0,2.86309922219627,EUR
5,AOO.BR,Aedifica NV,5705794706.25505,Real Estate,43.8925794501,29.0055074140998,360501000,-35477000.0,5.86080586080586,EUR
6,IETB.BR,D'Ieteren Group SA,8517840169.32647,Consumer Cyclicals,0.2707051585,18.8715659188165,8033500000,465000000.0,1.01010101010101,EUR
7,PSPN.S,PSP Swiss Property AG,7160255160.70436,Real Estate,123.1325444172,19.4029016535109,591542000,230669000.0,2.54019292604502,CHF
8,CDR.WA,CD Projekt SA,23575673389.2573,Technology,32.9280573185,40.0284364299707,866989000,412134000.0,0.425170068027211,PLN
9,VOLVb.ST,Volvo AB,612352425259.718,Industrials,87.7296306879,10.0988567184894,479183000000,-7036000000.0,4.33188937020993,SEK
10,STMN.S,Straumann Holding AG,13030243498.8661,Healthcare,13.5522355816,15.9053783480915,2605393000,141365000.0,1.22850122850123,CHF
11,GBLB.BR,Groep Brussel Lambert NV,10165750307.0539,Financials,,16.9995334167399,6330600000,,6.7257217847769,EUR
12,LGEN.L,Legal & General Group PLC,13684254560.694,Financials,0.3757406188,1.03508105480156,,-679000000.0,9.05652535328346,GBp
13,SAMPO.HE,Sampo Oyj,24126279152.5264,Financials,3.0137802607,9.23554568731887,,1121000000.0,3.96737932554552,EUR
14,TKAG.DE,thyssenkrupp AG,4702604771.514,Basic Materials,15.6891598812,1.12570487591779,32837000000,-558000000.0,1.98570293884035,EUR
15,SUBC.OL,Subsea 7 SA,84307440000.0,Energy,14.899099288,6.17169608935752,7086300000,426200000.0,4.61975835110163,NOK
16,EDP.LS,EDP SA,18229024115.0311,Utilities,2.7397510442,9.12952336772755,13847573000,-1710477000.0,4.59770114942529,EUR
17,RR.L,Rolls-Royce Holdings PLC,93157690906.74,Industrials,0.3239453357,17.8804402321025,21207000000,4868000000.0,0.85701398285972,GBp
18,ASRNL.AS,ASR Nederland NV,12147598847.0023,Financials,48.9770761514,2.72892856909118,,7000000.0,5.87931034482759,EUR
19,MBGn.DE,Mercedes-Benz Group AG,49714718185.89,Consumer Cyclicals,96.9004571904,6.25955839345301,132214000000,6570000000.0,6.77900445477436,EUR
20,BYG.L,Big Yellow Group PLC,1711875325.97832,Real Estate,13.1162883436,16.0024220610263,204495000,57629000.0,5.50289017341041,GBp
21,INPST.AS,InPost SA,7531787920.70078,Industrials,6.7082976076,10.3644101434237,14711200000,859300000.0,,EUR
22,BKWB.S,BKW AG,7951680000.0,Utilities,103.6925252118,11.2063871763255,2309000000,69100000.0,2.52324037184595,CHF
23,TUI1n.DE,TUI AG,3363252886.724,Consumer Cyclicals,3.4733784412,4.35346589684983,24178700000,993300000.0,1.50875075437538,EUR
24,BAB.L,Babcock International Group PLC,5723357050.95,Industrials,1.20025972,11.5001074810663,4831300000,213400000.0,0.606060606060606,GBp
25,KNIN.S,Kuehne und Nagel International AG,20777863876.4781,Industrials,18.3652779652,11.1176026039015,24476000000,616000000.0,3.50058343057176,CHF
26,NEXII.MI,Nexi SpA,3517278369.67908,Industrials,6.2102714317,4.25638304280834,6273000000,,10.016694490818,EUR
27,DNP.WA,Dino Polska SA,32232601356.0346,Consumer Non-Cyclicals,8.8263902489,12.5909157106902,33634155000,-23215000.0,,PLN
28,DTEGn.DE,Deutsche Telekom AG,155445477849.97,Technology,12.7632929583,6.12032048135991,119081000000,13170000000.0,3.15556958030925,EUR
29,FBK.MI,FinecoBank Banca Fineco SpA,11417633599.6427,Financials,4.1755528316,10.2917618564829,,,4.2381974248927,EUR
30,ISS.CO,ISS A/S,40514766570.5998,Industrials,58.4391906029,9.65968849557522,84684000000,3063000000.0,1.37812230835487,DKK
31,IHG.L,InterContinental Hotels Group PLC,19573476371.1,Consumer Cyclicals,-17.7525906736,17.692614252571,5189000000,359000000.0,1.41451809450634,USD
32,BESI.AS,BE Semiconductor Industries NV,14188507139.3,Technology,5.2625266477,68.5115951779436,591331000,-49610000.0,0.903631684300829,EUR
33,SQN.S,Swissquote Group Holding SA,5873754744.0,Financials,93.7597241645,30.8301732131336,795522410,238505420.0,1.56576200417537,CHF
34,HMb.ST,H & M Hennes & Mauritz AB,241022556799.424,Consumer Cyclicals,26.7581776684,8.41418804994443,228285000000,10926000000.0,4.16911332941867,SEK
35,RYA.I,Ryanair Holdings PLC,25793650443.5327,Industrials,6.3884702678,6.57034317674509,13948500000,835800000.0,1.70662332385209,EUR
36,BIOX.PA,Biomerieux SA,10598080009.6465,Healthcare,34.7670507589,10.7765820489611,4069800000,404800000.0,1.09619686800895,EUR
37,INGA.AS,ING Groep NV,63529418159.0127,Financials,16.6230725491,5.51258480689976,,3033000000.0,5.79189686924494,EUR
38,HRA.MI,Hera SpA,5821291023.29529,Utilities,2.7865685973,6.88990108670081,12812200000,,4.10046130189646,EUR
39,IDR.MC,Indra Sistemas SA,7949448090.0,Technology,9.8721579346,13.8628892019946,5515367000,375851000.0,0.666666666666667,EUR
40,EXOR.AS,Exor NV,13266722795.9225,Industrials,161.9868621106,,-3518000000,,0.768627450980392,EUR
41,MAERSKb.CO,AP Moeller - Maersk A/S,253017885882.657,Industrials,3650.8058493291,5.11160378370619,53988000000,2282000000.0,2.98229263746505,DKK
42,RKT.L,Reckitt Benckiser Group PLC,33263611032.32,Consumer Non-Cyclicals,11.8760399009,10.2065417707075,14205000000,1662000000.0,4.17731786986832,GBp
43,VALMT.HE,Valmet Corp,4478161051.10441,Industrials,14.0279484071,6.85000298992297,5197000000,137000000.0,5.57160544779199,EUR
44,SGEF.PA,Vinci SA,73537739289.5667,Industrials,54.9136041972,7.14029328580452,75372000000,2944000000.0,3.96510705789056,EUR
45,ENX.PA,Euronext NV,13750067212.2979,Financials,44.7716753444,13.8905485110925,1818791000,439178000.0,2.19033232628399,EUR
46,ALVG.DE,Allianz SE,133488990957.3,Financials,163.8191204144,,,4887000000.0,4.8731832430892,EUR
47,LSEG.L,London Stock Exchange Group PLC,41116118617.0,Financials,37.7461832061,11.2305925816864,9346000000,2029000000.0,1.81906378850352,GBp
48,QIA.DE,Qiagen NV,6995207490.585,Healthcare,17.4225619898,11.7725296896556,2089999000,329652000.0,0.625295034789357,EUR
49,HOLN.S,Holcim AG,36812895814.22,Basic Materials,27.825127056,11.0935007651495,15724000000,-1199000000.0,2.61780104712042,CHF
