Date,LCOc1,LCOc1,CLc1,CLc1
,Close Price,SETTLE,Close Price,SETTLE
2015-01-02,56.51,56.42,52.81,52.69
2015-01-05,53.15,53.11,49.95,50.04
2015-01-06,50.9,51.1,48.01,47.93
2015-01-07,51.02,51.15,48.77,48.65
2015-01-08,51.05,50.96,48.92,48.79
2015-01-09,49.95,50.11,48.21,48.36
2015-01-12,47.2,47.43,45.71,46.07
2015-01-13,46.79,46.59,46.11,45.89
2015-01-14,48.61,48.69,48.62,48.48
2015-01-15,47.68,47.67,46.21,46.25
2015-01-16,49.9,50.17,48.48,48.69
2015-01-19,48.85,48.84,,
2015-01-20,48.17,47.99,46.13,46.39
2015-01-21,48.75,49.03,47.34,47.78
2015-01-22,49.0,48.52,46.52,46.31
2015-01-23,48.55,48.79,45.29,45.59
2015-01-26,48.11,48.16,45.08,45.15
2015-01-27,49.26,49.6,45.78,46.23
2015-01-28,48.65,48.47,44.38,44.45
2015-01-29,49.05,49.13,44.59,44.53
2015-01-30,52.95,52.99,47.85,48.24
2015-02-02,54.85,54.75,49.83,49.57
2015-02-03,57.0,57.91,51.57,53.05
2015-02-04,54.54,54.16,48.7,48.45
2015-02-05,56.89,56.57,50.92,50.48
2015-02-06,58.16,57.8,52.34,51.69
2015-02-09,57.85,58.34,52.43,52.86
2015-02-10,56.9,56.43,50.96,50.02
2015-02-11,55.05,54.66,49.45,48.84
2015-02-12,57.06,57.05,51.34,51.21
2015-02-13,61.48,61.52,52.65,52.78
2015-02-16,61.5,61.4,,
2015-02-17,62.53,62.53,53.24,53.53
2015-02-18,60.16,60.53,50.48,52.14
2015-02-19,60.11,60.21,51.5,51.16
2015-02-20,60.34,60.22,49.91,50.34
2015-02-23,58.81,58.9,49.38,49.45
2015-02-24,58.61,58.66,49.16,49.28
2015-02-25,61.54,61.63,51.03,50.99
2015-02-26,60.46,60.05,48.92,48.17
2015-02-27,62.33,62.58,49.52,49.76
2015-03-02,59.69,59.54,49.79,49.59
2015-03-03,61.05,61.02,50.65,50.52
2015-03-04,60.55,60.55,51.6,51.53
2015-03-05,60.68,60.48,50.97,50.76
2015-03-06,59.77,59.73,49.78,49.61
2015-03-09,58.61,58.53,50.03,50.0
2015-03-10,56.42,56.39,48.75,48.29
2015-03-11,57.94,57.54,48.42,48.17
2015-03-12,56.99,57.08,46.93,47.05
2015-03-13,54.6,54.67,45.0,44.84
2015-03-16,53.38,53.44,43.79,43.88
2015-03-17,53.3,53.51,42.43,43.46
2015-03-18,56.27,55.91,44.69,44.66
2015-03-19,54.46,54.43,43.85,43.96
2015-03-20,55.22,55.32,45.87,45.72
2015-03-23,55.89,55.92,47.49,47.45
2015-03-24,55.31,55.11,47.73,47.51
2015-03-25,56.38,56.48,48.97,49.21
2015-03-26,58.86,59.19,51.0,51.43
2015-03-27,56.12,56.41,48.43,48.87
2015-03-30,56.44,56.29,48.74,48.68
2015-03-31,55.1,55.11,47.49,47.6
2015-04-01,56.67,57.1,49.55,50.09
2015-04-02,55.13,54.95,49.55,49.14
2015-04-03,,,,49.14
2015-04-06,57.95,58.12,51.99,52.14
2015-04-07,58.62,59.1,53.25,53.98
2015-04-08,56.1,55.55,50.98,50.42
2015-04-09,56.64,56.57,50.75,50.79
2015-04-10,58.04,57.87,51.77,51.64
2015-04-13,57.93,57.93,51.99,51.91
2015-04-14,58.85,58.43,53.44,53.29
2015-04-15,60.35,60.32,55.96,56.39
2015-04-16,63.94,63.98,56.53,56.71
2015-04-17,63.72,63.45,56.14,55.74
2015-04-20,63.48,63.45,56.5,56.38
2015-04-21,61.78,62.08,55.58,55.26
2015-04-22,62.85,62.73,56.22,56.16
2015-04-23,64.75,64.85,57.48,57.74
2015-04-24,65.49,65.28,57.42,57.15
2015-04-27,64.65,64.83,56.65,56.99
2015-04-28,64.57,64.64,56.93,57.06
2015-04-29,65.6,65.84,58.53,58.58
2015-04-30,66.8,66.78,59.77,59.63
2015-05-01,66.51,66.46,59.26,59.15
2015-05-04,66.33,66.45,59.02,58.93
2015-05-05,67.57,67.52,60.68,60.4
2015-05-06,67.45,67.77,60.7,60.93
2015-05-07,65.63,65.54,58.96,58.94
2015-05-08,65.59,65.39,59.47,59.39
2015-05-11,64.77,64.91,59.37,59.25
2015-05-12,67.37,66.86,61.17,60.75
2015-05-13,66.51,66.81,60.03,60.5
2015-05-14,66.58,66.59,59.67,59.88
2015-05-15,66.86,66.81,59.96,59.69
2015-05-18,66.3,66.27,59.55,59.43
2015-05-19,64.45,64.02,57.3,57.26
2015-05-20,64.96,65.03,58.76,58.98
2015-05-21,66.48,66.54,60.69,60.72
2015-05-22,65.57,65.37,59.99,59.72
2015-05-25,65.9,65.52,,
2015-05-26,63.89,63.72,58.35,58.03
2015-05-27,62.25,62.06,57.65,57.51
2015-05-28,62.85,62.58,57.97,57.68
2015-05-29,65.45,65.56,60.23,60.3
2015-06-01,64.98,64.88,60.24,60.2
2015-06-02,65.39,65.49,61.04,61.26
2015-06-03,63.72,63.8,59.61,59.64
2015-06-04,62.1,62.03,57.98,58.0
2015-06-05,63.23,63.31,58.88,59.13
2015-06-08,62.68,62.69,58.26,58.14
2015-06-09,65.11,64.88,60.52,60.14
2015-06-10,65.43,65.7,61.12,61.43
2015-06-11,64.8,65.11,60.56,60.77
2015-06-12,63.78,63.87,59.94,59.96
2015-06-15,62.61,62.61,59.61,59.52
2015-06-16,63.67,63.7,60.02,59.97
