internal_code,currency,target_notional
A2.MI,EUR,7524.86
AAF.L,GBP,15745.78
AAK.ST,SEK,-41718.33
AAL.L,GBP,917.53
AALB.AS,EUR,-10838.37
ABBN.S,CHF,1520.93
ABDN.L,GBP,2548.99
ABF.L,GBP,-2293.08
ABI.BR,EUR,-1747.49
ABNd.AS,EUR,17431.85
ABVX.PA,EUR,4799.46
ACCP.PA,EUR,44.3
ACKB.BR,EUR,246.24
ACLN.S,CHF,1598.22
ACPP.WA,PLN,69220.13
ACS.MC,EUR,7055.05
AD.AS,EUR,-1576.51
ADDTb.ST,SEK,25329.54
ADEN.S,CHF,-4014.02
ADML.L,GBP,1426.2
ADP.PA,EUR,1302.96
ADSGn.DE,EUR,-13176.62
ADYEN.AS,EUR,-7769.04
AEGN.AS,EUR,4838.95
AENA.MC,EUR,8821.45
AG1G.DE,EUR,16190.39
AGES.BR,EUR,2250.92
AHT.L,GBP,-13906.98
AIBG.I,EUR,12431.48
AIR.PA,EUR,7629.56
AIRP.PA,EUR,-1797.07
AKE.PA,EUR,-3030.85
AKRBP.OL,NOK,21416.5
AKZO.AS,EUR,-1281.21
ALCC.S,CHF,-5884.29
ALEP.WA,PLN,-26119.22
ALFA.ST,SEK,-41063.51
ALKb.CO,DKK,19007.21
ALLFG.AS,EUR,-1411.33
ALLN.S,CHF,1275.15
ALSO.PA,EUR,952.62
ALSYDB.CO,DKK,108885.77
ALVG.DE,EUR,5181.28
AM.PA,EUR,4918.84
AMA.MC,EUR,-7211.23
AMBUb.CO,DKK,-29669.25
AMPF.MI,EUR,-10309.44
AMRZ.S,CHF,-3335.81
AMUN.PA,EUR,-1334.04
AMV0n.DE,EUR,-1345.59
ANA.MC,EUR,4821.35
ANDR.VI,EUR,1213.15
ANTO.L,GBP,5358.17
AOO.BR,EUR,-1337.02
ARDS.AS,EUR,-21150.82
ARGX.BR,EUR,1451.25
ASMI.AS,EUR,-3641.76
ASML.AS,EUR,-1345.33
ASRNL.AS,EUR,1679.38
ASSAb.ST,SEK,-2299.22
ATCOa.ST,SEK,-12974.53
AUTOA.L,GBP,-14052.76
AV.L,GBP,1323.76
AVANZ.ST,SEK,16070.99
AVOL.S,CHF,1268.57
AXAF.PA,EUR,1186.92
AXFO.ST,SEK,22978.19
AYV.PA,EUR,27929.39
AZE.BR,EUR,-23072.21
AZMT.MI,EUR,11168.14
AZN.L,GBP,-2905.48
BAB.L,GBP,17330.32
BAER.S,CHF,1095.65
BAES.L,GBP,1576.51
BAKKA.OL,NOK,-14000.54
BALDb.ST,SEK,-9921.0
BALF.L,GBP,10031.68
BAMI.MI,EUR,26972.82
BARC.L,GBP,25053.63
BARN.S,CHF,1867.72
BASFn.DE,EUR,-391.76
BATS.L,GBP,12294.92
BAVA.CO,DKK,-86316.66
BAWG.VI,EUR,17984.97
BAYGn.DE,EUR,18621.21
BBOXT.L,GBP,-1605.67
BBVA.MC,EUR,21817.36
BC8G.DE,EUR,-6550.67
BCP.LS,EUR,22020.74
BCU.MI,EUR,-1591.09
BCVN.S,CHF,469.11
BEAN.S,CHF,6087.38
BEIG.DE,EUR,-5922.66
BEIJb.ST,SEK,-32574.04
BESI.AS,EUR,-3838.99
BEZG.L,GBP,-281.48
BGEO.L,GBP,16437.79
BGN.MI,EUR,290.06
BIOX.PA,EUR,-5286.02
BIRG.I,EUR,8635.96
BKGH.L,GBP,-8002.48
BKT.MC,EUR,12714.59
BKWB.S,CHF,1287.99
BLND.L,GBP,-1541.55
BMEB.L,GBP,-32304.92
BMED.MI,EUR,18392.78
BMPS.MI,EUR,33150.22
BMWG.DE,EUR,-1518.99
BNPP.PA,EUR,5886.85
BNRGn.DE,EUR,-6240.77
BNZL.L,GBP,-34871.63
BOL.ST,SEK,80238.16
BOLL.PA,EUR,-1631.47
BOUY.PA,EUR,2517.42
BP.L,GBP,1355.6
BPTB.L,GBP,97.84
BRBY.L,GBP,1459.38
BT.L,GBP,1391.98
BTRW.L,GBP,-1388.4
BUCN.S,CHF,1252.09
BVI.PA,EUR,-10302.79
BWY.L,GBP,-1419.92
BYG.L,GBP,-1375.79
BZU.MI,EUR,3652.11
CABK.MC,EUR,15021.07
CAGR.PA,EUR,3388.74
CAMX.ST,SEK,13968.84
CAPP.PA,EUR,-31262.0
CARLb.CO,DKK,-10763.03
CARR.PA,EUR,-381.69
CAST.ST,SEK,-3722.39
CBKG.DE,EUR,20685.4
CCH.L,GBP,1423.3
CCL.L,GBP,10092.94
CDR.WA,PLN,-19520.76
CFR.S,CHF,1942.14
CLNX.MC,EUR,-5271.36
CMBN.S,CHF,1322.65
CNA.L,GBP,10251.06
COFB.BR,EUR,1749.38
COLOb.CO,DKK,-43430.88
CONG.DE,EUR,3447.76
CPG.L,GBP,-553.02
CPRI.MI,EUR,-12549.8
CRDA.L,GBP,-7160.9
CRDI.MI,EUR,21135.12
CTEC.L,GBP,-4587.95
CVC.AS,EUR,0.0
CVO.PA,EUR,-1609.03
CWK.L,GBP,-1475.33
DANO.PA,EUR,-1265.24
DANSKE.CO,DKK,103620.55
DAST.PA,EUR,-27250.86
DB1Gn.DE,EUR,-282.29
DBKGn.DE,EUR,26224.85
DCC.L,GBP,-1555.29
DEMANT.CO,DKK,-163278.19
DGE.L,GBP,-4682.13
DHER.DE,EUR,1282.57
DHLn.DE,EUR,-1651.98
DIOR.PA,EUR,-16165.93
DKSH.S,CHF,-4243.02
DLG.MI,EUR,-1272.64
DLN.L,GBP,-3634.73
DNB.OL,NOK,34697.13
DNP.WA,PLN,-11368.71
DPLM.L,GBP,-112.58
DRX.L,GBP,3195.26
DSFIR.AS,EUR,-1318.79
DSV.CO,DKK,12114.47
DTEGn.DE,EUR,-885.58
DTGGe.DE,EUR,-2238.81
EDEN.PA,EUR,-40549.19
EDP.LS,EUR,-1348.41
EDPR.LS,EUR,-1262.95
ELE.MC,EUR,7060.03
ELI.BR,EUR,-1389.01
ELIS.PA,EUR,-1511.69
ELISA.HE,EUR,-3482.92
EMG.L,GBP,-1288.48
EMII.MI,EUR,29465.37
EMSN.S,CHF,-2594.93
ENAG.MC,EUR,-1303.52
ENEI.MI,EUR,2959.53
ENGIE.PA,EUR,8349.64
ENI.MI,EUR,-1594.69
ENR1n.DE,EUR,2328.79
ENT.L,GBP,1638.15
ENX.PA,EUR,-1494.07
EONGn.DE,EUR,-593.31
EPIRa.ST,SEK,15843.04
EQNR.OL,NOK,-10051.31
EQTAB.ST,SEK,24022.41
ERICb.ST,SEK,16244.3
ERST.VI,EUR,15399.03
ESLX.PA,EUR,-16.39
ESSITYb.ST,SEK,-15113.51
EUFI.PA,EUR,1302.1
EURA.PA,EUR,-19071.3
EVDG.DE,EUR,-3642.4
EVKn.DE,EUR,-2633.17
EVOG.ST,SEK,-304068.51
EXHO.PA,EUR,-21977.88
EXOR.AS,EUR,-39556.38
EXPN.L,GBP,-16471.47
EZJ.L,GBP,-1232.39
FBK.MI,EUR,383.6
FDJU.PA,EUR,-19366.62
FER.MC,EUR,3397.31
FHZN.S,CHF,1379.36
FLS.CO,DKK,10882.95
FMEG.DE,EUR,1401.33
FNTGn.DE,EUR,7286.03
FORTUM.HE,EUR,4789.34
FOUG.PA,EUR,3688.33
FPE3_p.DE,EUR,-3859.54
FRAG.DE,EUR,12677.17
FREG.DE,EUR,9130.82
FRES.L,GBP,19745.81
FRO.N,USD,1821.21
FRO.OL,NOK,-73764.64
FTKn.DE,EUR,13175.34
G1AG.DE,EUR,1458.55
G24n.DE,EUR,990.51
GALD.S,CHF,2927.93
GALE.S,CHF,6471.27
GALP.LS,EUR,-2903.42
GASI.MI,EUR,4547.06
GAW.L,GBP,1596.03
GBFG.DE,EUR,26009.51
GBLB.BR,EUR,0.0
GEBN.S,CHF,1306.79
GETIb.ST,SEK,-1388.61
GETP.PA,EUR,-1637.36
GF.S,CHF,2430.58
GFCP.PA,EUR,-1748.01
GFTU_u.L,GBP,-2054.89
GIVN.S,CHF,2222.43
GJFG.OL,NOK,16154.04
GL9.I,EUR,-4456.75
GLEN.L,GBP,-1073.63
GMAB.CO,DKK,14214.44
GRG.L,GBP,-26314.79
GRLS.MC,EUR,1420.01
GSK.L,GBP,-1494.04
GTT.PA,EUR,-652.14
HAGG.DE,EUR,11664.14
HBANC.S,CHF,6958.92
HEIG.DE,EUR,24693.42
HEIN.AS,EUR,-6105.8
HEIO.AS,EUR,-6501.68
HEXAb.ST,SEK,-60136.06
HIAB.HE,EUR,-1635.42
HIK.L,GBP,-5298.92
HLMA.L,GBP,-1654.4
HLN.L,GBP,-1520.53
HMb.ST,SEK,19074.72
HNKG_p.DE,EUR,-5928.23
HNRGn.DE,EUR,-646.3
HOLMb.ST,SEK,-21535.49
HOLN.S,CHF,15249.36
HOTG.DE,EUR,13242.64
HPOLb.ST,SEK,-154937.18
HRA.MI,EUR,-689.46
HRMS.PA,EUR,-3868.87
HSBA.L,GBP,9237.0
HSX.L,GBP,-495.94
HUBN.S,CHF,1284.98
HUH1V.HE,EUR,-17177.73
HWDN.L,GBP,-5903.97
IBE.MC,EUR,1257.58
ICAG.L,GBP,35798.39
ICGIN.L,GBP,-10556.8
IDR.MC,EUR,17837.53
IETB.BR,EUR,1173.65
IFXGn.DE,EUR,-2478.65
IG.MI,EUR,18448.97
IGG.L,GBP,3160.01
IHG.L,USD,-365.53
III.L,GBP,545.64
IMB.L,GBP,12095.56
IMCD.AS,EUR,-15939.54
IMI.L,GBP,-532.3
INCH.L,GBP,-2495.19
INDT.ST,SEK,-40927.05
INDUc.ST,SEK,23703.63
INF.L,GBP,-2175.72
INGA.AS,EUR,7962.96
INPST.AS,EUR,-11607.69
INVEb.ST,SEK,19895.59
INVP.L,GBP,-1266.44
INWT.MI,EUR,-4228.04
IPN.PA,EUR,-6172.59
ISP.MI,EUR,16143.75
ISS.CO,DKK,227543.63
ITPG.MI,EUR,-1217.74
ITRK.L,GBP,-1888.29
ITV.L,GBP,-4430.41
ITX.MC,EUR,-2518.69
IVG.MI,EUR,4167.35
JD.L,GBP,-29128.31
JDEP.AS,EUR,1382.29
JMAT.L,GBP,4084.15
JMT.LS,EUR,-1355.19
JYSK.CO,DKK,154561.08
KBC.BR,EUR,6829.71
KBCA.BR,EUR,1688.2
KBX.DE,EUR,-217.58
KCRA.HE,EUR,171.23
KEMIRA.HE,EUR,-10237.09
KESKOB.HE,EUR,-1440.72
KGF.L,GBP,-134.82
KGH.WA,PLN,7019.97
KGX.DE,EUR,3277.32
KINVb.ST,SEK,12999.95
KNEBV.HE,EUR,-1302.91
KNIN.S,CHF,-8300.39
KOG.OL,NOK,15435.04
KPN.AS,EUR,-78.01
KSP.I,EUR,-11916.93
KYGa.I,EUR,-2076.77
LAGRb.ST,SEK,22442.26
LAND.L,GBP,-1448.21
LATOb.ST,SEK,16779.29
LDOF.MI,EUR,7591.74
LEGD.PA,EUR,-2177.99
LEGn.DE,EUR,-18888.59
LGEN.L,GBP,-363.14
LHAG.DE,EUR,10081.49
LIFCOb.ST,SEK,23107.64
LIGHT.AS,EUR,-1343.64
LISP.S,CHF,1128.29
LLOY.L,GBP,12339.52
LMPL.L,GBP,-1342.13
LOGN.S,CHF,-5846.47
LOIM.PA,EUR,1414.1
LONN.S,CHF,1339.33
LOOMIS.ST,SEK,-16154.77
LOTB.BR,EUR,-6698.8
LPPP.WA,PLN,-5968.13
LSEG.L,GBP,-982.96
LTEN.PA,EUR,-15131.86
LTMC.MI,EUR,3066.14
LUNDb.ST,SEK,-37661.32
LVMH.PA,EUR,-14055.33
MAERSKb.CO,DKK,46101.76
MANTA.HE,EUR,1168.05
MAP.MC,EUR,21874.02
MBGn.DE,EUR,-9382.56
MBK.WA,PLN,8257.52
METSO.HE,EUR,-370.87
MICCT.AS,EUR,-1631.28
MICP.PA,EUR,-5575.55
MKS.L,GBP,-1312.65
MNDI.L,GBP,-4027.74
MNG.L,GBP,-1300.16
MOBN.S,CHF,1297.2
MONC.MI,EUR,-17117.16
MOWI.OL,NOK,14276.48
MRCG.DE,EUR,-21472.5
MRL.MC,EUR,-465.43
MRON.L,GBP,5953.57
MT.AS,EUR,7705.15
MTO.L,GBP,-544.25
MTXGn.DE,EUR,5002.34
MUVGn.DE,EUR,328.14
MWDP.PA,EUR,-1248.94
MYCR.ST,SEK,-5361.56
NAFG.DE,EUR,18341.16
NDAFI.HE,EUR,7303.66
NDXG.DE,EUR,1398.67
NEKG.DE,EUR,-9437.2
NESN.S,CHF,-1255.32
NESTE.HE,EUR,-7145.95
NEXII.MI,EUR,-13467.32
NEXS.PA,EUR,-1819.18
NG.L,GBP,-1307.92
NHY.OL,NOK,16947.9
NIBEb.ST,SEK,-20137.73
NKT.CO,DKK,15682.52
NN.AS,EUR,2867.32
NOD.OL,NOK,-26277.53
NOKIA.HE,EUR,1074.51
NOVN.S,CHF,1282.25
NOVOb.CO,DKK,-81906.05
NSISb.CO,DKK,-8927.97
NTGY.MC,EUR,-92.9
NWG.L,GBP,28673.62
NXT.L,GBP,1171.3
OMVV.VI,EUR,-1441.74
ORAN.PA,EUR,1414.41
OREP.PA,EUR,-2643.57
ORK.OL,NOK,24281.94
ORNBV.HE,EUR,5878.42
ORSTED.CO,DKK,-11407.27
P911_p.DE,EUR,-7962.92
PEO.WA,PLN,-2430.34
PERP.PA,EUR,-20101.53
PGHN.S,CHF,2326.47
PHG.AS,EUR,-4703.78
PHNX.L,GBP,-1437.67
PHP.L,GBP,-1314.53
PKN.WA,PLN,-8959.97
PKO.WA,PLN,7096.47
PLUSP.L,GBP,23587.36
PNDORA.CO,DKK,-189554.84
PNN.L,GBP,-1310.97
PRTP.PA,EUR,-862.31
PRU.L,GBP,5597.95
PRX.AS,EUR,7043.33
PRY.MI,EUR,1475.45
PSHG_p.DE,EUR,-10226.3
PSN.L,GBP,-3113.31
PSON.L,GBP,-9369.88
PSPN.S,CHF,1340.82
PST.MI,EUR,26207.26
PUBP.PA,EUR,-20688.52
PUIGb.MC,EUR,-20344.17
PUMG.DE,EUR,-18669.86
PZU.WA,PLN,503.29
QGEN.N,USD,-1810.18
QIA.DE,EUR,-6135.3
QLT.L,GBP,667.28
QQ.L,GBP,1477.57
R3NK.DE,EUR,10643.12
RAAG.DE,EUR,-12349.84
RACE.MI,EUR,-10647.36
RAND.AS,EUR,-14293.47
RBIV.VI,EUR,9475.8
RBREW.CO,DKK,-10957.19
RECI.MI,EUR,-4410.79
REDE.MC,EUR,-1506.98
REL.L,GBP,-15744.44
RENA.PA,EUR,-11616.98
REP.MC,EUR,-1240.19
REY.MI,EUR,-21181.28
RHMG.DE,EUR,7544.81
RILBA.CO,DKK,35961.26
RIO.L,GBP,-553.69
RKT.L,GBP,5273.02
RMV.L,GBP,-9227.93
ROCKb.CO,DKK,-31055.96
ROG.S,CHF,2508.16
ROR.L,GBP,-2900.39
RR.L,GBP,12401.38
RS1R.L,GBP,-15028.41
RTO.L,GBP,-2466.76
RUBF.PA,EUR,-1443.58
RWEG.DE,EUR,4790.09
RXL.PA,EUR,-593.71
RYA.I,EUR,19129.51
SAABb.ST,SEK,101135.51
SABE.MC,EUR,18313.32
SAF.PA,EUR,7263.32
SAGAb.ST,SEK,16272.64
SALM.OL,NOK,-9311.99
SAMPO.HE,EUR,-1215.05
SAN.MC,EUR,19492.07
SAND.ST,SEK,2481.04
SAPG.DE,EUR,-7491.09
SASY.PA,EUR,-11445.36
SATG_p.DE,EUR,-1928.23
SAVE.ST,SEK,3589.32
SB1NO.OL,NOK,3406.33
SBMO.AS,EUR,923.04
SBRY.L,GBP,1617.17
SCAb.ST,SEK,-16184.77
SCHN.PA,EUR,-8455.12
SCHP.S,CHF,1191.58
SCMN.S,CHF,1361.62
SCOR.PA,EUR,13781.07
SCTS.L,GBP,-10090.09
SDFGn.DE,EUR,-3378.69
SDLF.L,GBP,0.0
SDR.L,GBP,-1511.79
SDZ.S,CHF,3087.5
SEBa.ST,SEK,18616.49
SECTb.ST,SEK,-4621.19
SECUb.ST,SEK,16167.22
SFSN.S,CHF,171.87
SFZN.S,CHF,48.28
SGE.L,GBP,-9337.15
SGEF.PA,EUR,-1383.1
SGOB.PA,EUR,-1349.23
SGRO.L,GBP,-2648.07
SGSN.S,CHF,2562.43
SHBa.ST,SEK,127654.56
SHCS.L,GBP,-1507.3
SHEL.AS,EUR,-4659.27
SHEL.L,GBP,1379.6
SHLG.DE,EUR,-19529.78
SIEGn.DE,EUR,1334.99
SIGNC.S,CHF,591.85
SIKA.S,CHF,-10469.65
SJP.L,GBP,3594.55
SKAb.ST,SEK,14660.12
SKFb.ST,SEK,14040.74
SLHN.S,CHF,1340.99
SMIN.L,GBP,-445.75
SN.L,GBP,-2577.33
SOBIV.ST,SEK,-15488.25
SOF.BR,EUR,-1413.6
SOGN.PA,EUR,30211.24
SOON.S,CHF,-10474.9
SOPR.PA,EUR,-21853.95
SPIE.PA,EUR,-681.25
SPL1.WA,PLN,-26709.7
SPMI.MI,EUR,-1420.01
SPSN.S,CHF,-1297.34
SPX.L,GBP,-8931.34
SQN.S,CHF,4723.45
SRENH.S,CHF,1415.2
SRG.MI,EUR,-1351.0
SRP.L,GBP,-724.43
SSABb.ST,SEK,124486.24
SSE.L,GBP,-1470.95
STAN.L,GBP,18207.66
STB.OL,NOK,16036.32
STDM.PA,EUR,-1457.87
STERV.HE,EUR,-7102.73
STLAM.MI,EUR,-31023.44
STMMI.MI,EUR,-14340.97
STMN.S,CHF,1000.42
STMPA.PA,EUR,-210.87
SUBC.OL,NOK,15363.78
SUN.S,CHF,585.94
SUNB.L,GBP,0.0
SUNN.S,CHF,0.0
SVT.L,GBP,-1207.91
SWECb.ST,SEK,-3656.99
SWEDa.ST,SEK,202674.21
SY1G.DE,EUR,-15729.52
SYENS.BR,EUR,624.84
TBCG.L,GBP,7043.25
TCAPI.L,GBP,1205.37
TCFP.PA,EUR,6813.12
TE.PA,EUR,2125.95
TECN.S,CHF,-11386.83
TEF.MC,EUR,-1265.55
TEGG.DE,EUR,-4837.94
TEL.OL,NOK,21867.14
TEL2b.ST,SEK,31075.04
TELIA.ST,SEK,14135.88
TEMN.S,CHF,-7504.64
TENR.MI,EUR,905.29
TEPRF.PA,EUR,-32114.19
THULE.ST,SEK,-55936.51
TKAG.DE,EUR,38563.56
TLIT.MI,EUR,7777.88
TLXGn.DE,EUR,1749.58
TOM.OL,NOK,-36967.12
TRELb.ST,SEK,22765.3
TRN.MI,EUR,-1512.21
TRYG.CO,DKK,-10710.6
TSCO.L,GBP,1548.15
TTEF.PA,EUR,-4923.15
TUB.BR,EUR,-1491.89
TUI1n.DE,EUR,9768.62
TW.L,GBP,-3300.6
UBSG.S,CHF,3297.46
UCB.BR,EUR,1621.2
UHR.S,CHF,1272.19
ULVR.L,GBP,-1595.35
UMG.AS,EUR,-4926.37
UMI.BR,EUR,12530.89
UNI.MC,EUR,29810.53
UNPI.MI,EUR,18594.87
UPM.HE,EUR,-7713.06
URW.PA,EUR,-1265.82
UTG.L,GBP,-7328.08
UU.L,GBP,-1228.18
VACN.S,CHF,-2153.65
VALMT.HE,EUR,-5995.61
VAR.OL,NOK,24898.24
VEND.OL,NOK,2369.91
VERB.VI,EUR,-5472.81
VID.MC,EUR,-6099.23
VIE.PA,EUR,-1386.07
VIS.MC,EUR,-1570.92
VLLP.PA,EUR,-1646.83
VLOF.PA,EUR,-1048.05
VNAn.DE,EUR,-11462.62
VOD.L,GBP,13880.96
VOES.VI,EUR,1342.03
VOLVb.ST,SEK,15509.38
VOPA.AS,EUR,-1582.69
VOWG_p.DE,EUR,-1635.75
VSURE.ST,EUR,0.0
VTYV.L,GBP,-1538.28
VWS.CO,DKK,28070.29
VZN.S,CHF,1478.27
WALLb.ST,SEK,-35331.46
WBSV.VI,EUR,-1654.12
WDPP.BR,EUR,-3399.24
WEIR.L,GBP,1570.02
WIHL.ST,SEK,-3294.78
WISEa.L,GBP,-1342.01
WLSNc.AS,EUR,-33509.13
WPP.L,GBP,-21899.16
WRT1V.HE,EUR,-631.83
WTB.L,GBP,-1427.05
YAR.OL,NOK,-9106.04
ZALG.DE,EUR,-5112.5
ZEG.L,GBP,21667.33
ZELA.CO,DKK,-102975.47
ZURN.S,CHF,1183.63
SX5E,EUR,-209086.38
