internal_code,currency,target_notional
A.N,USD,631.8
AA.N,USD,3681.02
AAL.OQ,USD,-1240.28
AAMI.N,USD,0.0
AAOI.OQ,USD,569.0
AAON.OQ,USD,451.03
AAP.N,USD,-3683.33
AAPL.OQ,USD,312.42
AARD.OQ,USD,-2729.51
AAT.N,USD,0.0
ABAT.OQ,USD,-564.2
ABBV.N,USD,2745.56
ABCB.N,USD,818.55
ABEO.OQ,USD,0.0
ABG.N,USD,-3518.65
ABM.N,USD,-287.87
ABNB.OQ,USD,-2367.06
ABR.N,USD,170.48
ABSI.OQ,USD,0.0
ABT.N,USD,1635.15
ABUS.OQ,USD,0.0
ABX.N,USD,0.0
ACA.N,USD,1219.6
ACAD.OQ,USD,-667.37
ACCO.N,USD,0.0
ACDC.OQ,USD,0.0
ACEL.N,USD,972.56
ACGL.OQ,USD,1222.52
ACH.N,USD,0.0
ACHC.OQ,USD,-444.52
ACHR.N,USD,-1498.85
ACI.N,USD,1226.59
ACIC.OQ,USD,0.0
ACIW.OQ,USD,-1816.6
ACLS.OQ,USD,-2742.94
ACLX.OQ,USD,1868.49
ACM.N,USD,357.63
ACMR.OQ,USD,-68.63
ACN.N,USD,-3292.34
ACNB.OQ,USD,0.0
ACNT.OQ,USD,1513.57
ACR.N,USD,0.0
ACRE.N,USD,-1102.55
ACRS.OQ,USD,0.0
ACT.OQ,USD,1170.88
ACTG.OQ,USD,0.0
ACTU.OQ,USD,0.0
ACU.A,USD,0.0
ACVA.N,USD,-1457.57
ADAM.OQ,USD,0.0
ADBE.OQ,USD,-2996.95
ADC.N,USD,2691.19
ADCT.N,USD,0.0
ADEA.OQ,USD,514.77
ADI.OQ,USD,99.5
ADM.N,USD,2395.25
ADMA.OQ,USD,-414.75
ADNT.N,USD,-1659.04
ADP.OQ,USD,18.71
ADPT.OQ,USD,-58.78
ADSK.OQ,USD,-2081.22
ADT.N,USD,-482.32
ADTN.OQ,USD,0.0
ADUS.OQ,USD,967.06
ADV.OQ,USD,-591.17
AEBI.OQ,USD,896.03
AEE.N,USD,2332.56
AEHR.OQ,USD,-487.87
AEIS.OQ,USD,1873.78
AEO.N,USD,-1529.87
AEP.OQ,USD,2836.44
AES.N,USD,976.54
AESI.N,USD,-1624.05
